Level	Life	Exp	AI	AttackSpeed	MoveSpeed	PhysicalAttack	MagicAttack	PhysicalDefence	MagicDefence	DropItemCount	MagicEquip1	MagicEquip2	MagicEquip3	BornRate	BornPercent	MaxCoexistNum	BornDelay	DropSuperItemCount	DropRateFile
1	900	500	5	0	0	100	100	100	100	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
2	887	500	5	0	0	103	103	103	103	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
3	875	500	5	0	0	106	106	106	106	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
4	862	500	5	0	0	109	109	109	109	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
5	850	500	5	0	0	112	112	112	112	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
6	837	500	5	0	0	115	115	115	115	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
7	825	500	5	0	0	118	118	118	118	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
8	812	500	5	0	0	121	121	121	121	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
9	800	500	5	0	0	124	124	124	124	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
10	787	500	5	0	0	127	127	127	127	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate1-10.ini
11	775	500	5	0	0	130	130	130	130	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
12	762	500	5	0	0	133	133	133	133	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
13	750	500	5	0	0	136	136	136	136	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
14	737	500	5	0	0	139	139	139	139	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
15	725	500	5	0	0	142	142	142	142	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
16	712	500	5	0	0	145	145	145	145	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
17	700	500	5	0	0	148	148	148	148	5	0	0	0	40	1	1	60	5	\settings\droprate\blueboss\npcdroprate10-20.ini
