name	temp
§èn gç Êt (Héi Tiªn LÜnh)	§èn c©y
§èn gç Gi¸p (Héi Tiªn LÜnh)	§èn c©y
§èn gç §inh (Héi Tiªn LÜnh)	§èn c©y
§èn gç BÝnh (Héi Tiªn LÜnh)	§èn c©y
§èn gç Gi¸p (H­ng An LÜnh)	§èn c©y
§èn gç Êt (H­ng An LÜnh)	§èn c©y
§èn gç BÝnh (H­ng An LÜnh)	§èn c©y
§èn gç §inh (H­ng An LÜnh)	§èn c©y
N«ng d©n	Xa phu Trung Nguyªn
H¸i thuèc Gi¸p	H¸i thuèc
H¸i thuèc Êt	H¸i thuèc
H¸i thuèc BÝnh	H¸i thuèc
H¸i thuèc §inh	H¸i thuèc
H¸i thuèc Êt	H¸i thuèc
H¸i thuèc BÝnh	H¸i thuèc
ThiÕu niªn Gi¸p	Thu ho¹ch
ThiÕu niªn Êt	Thu ho¹ch
Xa phu	Xa phu Trung Nguyªn
ThiÕu niªn BÝnh	Thu ho¹ch
Thî má Êt	§µo kho¸ng
Thî má BÝnh	§µo kho¸ng
Thî má §inh	§µo kho¸ng
Thî may Gi¸p	KÐo t¬
Thî s¨n Gi¸p	Lµm da
Thî may Êt	KÐo t¬
Thî may BÝnh	KÐo t¬
Thî may §inh	KÐo t¬
Ng­êi h¸i d©u	Du Ph­¬ng ®¹i phu
LiÖp Hé	ThÇy luyÖn thó
Th«n d©n vïng nói	Xa phu Trung Nguyªn
TiÖm hµng da	Chñ Vò khÝ Trung Nguyªn
Thî má Gi¸p	§µo kho¸ng
Thî má Êt	§µo kho¸ng
Thî má BÝnh	§µo kho¸ng
Thî má §inh	§µo kho¸ng
ThiÕu niªn §inh	Thu ho¹ch
Thî má Êt	§µo kho¸ng
Thî má Gi¸p	§µo kho¸ng
Thî má §inh	§µo kho¸ng
Thî má BÝnh	§µo kho¸ng
Thî má	ThiÕu niªn trong th«n
Thî may Gi¸p	KÐo t¬
Thî may Êt	KÐo t¬
Thî s¨n Êt	Lµm da
Thî s¨n §inh	Lµm da
Thî may BÝnh	KÐo t¬
Thî s¨n BÝnh	Lµm da
Thî may §inh	KÐo t¬
Thî may Gi¸p	KÐo t¬
Thî s¨n Gi¸p	Lµm da
Thî s¨n Êt	Lµm da
Thî may Êt	KÐo t¬
Thî s¨n BÝnh	Lµm da
Thî s¨n §inh	Lµm da
Thî may BÝnh	KÐo t¬
Thî may §inh	KÐo t¬
§èn gç Êt	§èn c©y
§èn gç Gi¸p	§èn c©y
§èn gç BÝnh	§èn c©y
§èn gç §inh	§èn c©y
H¸i thuèc Gi¸p	H¸i thuèc
ThiÕu niªn Gi¸p	Thu ho¹ch
ThiÕu niªn Êt	Thu ho¹ch
ThiÕu niªn BÝnh	Thu ho¹ch
ThiÕu niªn §inh	Thu ho¹ch
M· TÞnh Sinh	C¸i Bang tr­ëng l·o
TrÇn Chung H¹c	C¸i Bang tr­ëng l·o
Long T¹i Thiªn	C¸i Bang ch­ëng m«n
Thñ khè	R­¬ng ®å Trung Nguyªn
V­u Tri VÞ	Ch­ëng d­îc T©y Nam
Tèng Nguyªn An	C¸i Bang m«n nh©n
Hång ThÊt	Xa phu T©y Nam
Trém vÆt	Minh Th©u
Phi tÆc	¸m TÆc
Êu Lang v­¬ng	Sãi n©u
Heo rõng	TiÓu D· tr­
V« Danh T¨ng	ThiÕu L©m Trô tr×
HuyÒn DiÖt T«n Gi¶	ThiÕu L©m Ph­¬ng Tr­îng
Tæ V¨n §¹t	Xa phu
HuyÒn Khæ	ThiÕu L©m T¨ng Nh©n
HuyÒn Minh	ThiÕu L©m Thñ Täa
TÞnh Th«ng	ThiÕu L©m T¨ng Nh©n
C­u Ma La	ThiÕu L©m T¨ng Nh©n
HuyÒn Tõ	ThiÕu L©m Ph­¬ng Tr­îng
HuyÒn Bi	ThiÕu L©m T¨ng Nh©n
HuyÒn Hèi	ThiÕu L©m Trô tr×
Háa C«ng §Çu	ThiÕu L©m T¨ng Nh©n
TÞnh Viªn	ThiÕu L©m T¨ng Nh©n
H­¬ng kh¸ch	Cô giµ
C¬ quan Méc nh©n	C¬ quan nh©n1
C¬ quan §ång nh©n	C¬ quan nh©n2
Tr­¬ng V©n	Giang hå hµo kiÖt
B¸ch Thóy B×nh	Th«n phô1
Vi ¦ng	T­ M· Quang
ThiÕt Gi¸p Trïng	ThiÕt Gi¸p
Tèng qu©n tö sÜ	Tèng th­¬ng qu©n
Quan viªn tho¸i nhiÖm	Cô giµ
Xa Th¸i Qu©n	Xa Th¸i Qu©n
ThÞ VÖ T­íng phñ	VÖ binh thµnh m«n
TriÖu Phæ	Quan sø-trung niªn1
Bé ®Çu	Nha dÞch
Xa phu	Xa phu Trung Nguyªn
Tiªu s­	ThiÖu Ung
CÊm qu©n	VÖ binh thµnh m«n
LÔ quan	Tö Thanh Th­îng Nh©n
Sø gi¶ bang ph¸i	Quan sø-trung niªn1
Tiªu ViÔn L©u	Giang hå tuÊn kiÖt
Chñ TiÖm vò khÝ	Chñ Vò khÝ Trung Nguyªn
KhÊu ChuÈn	ThÈm Qu¸t
Qu¶n lý cöa hiÖu	Chñ cÇm ®å Trung Nguyªn
D· TÈu	TrÝch ThÇn
TiÓu ®ång	§ång tö1
Vò N­¬ng	Phu nh©n (cao)
ThÇy bãi	Du Ph­¬ng T­íng SÜ
Chñ D­îc ®iÕm	Ch­ëng d­îc Trung Nguyªn
