name	temp
会仙岭伐木人乙	伐木
会仙岭伐木人甲	伐木
会仙岭伐木人丁	伐木
会仙岭伐木人丙	伐木
兴安岭伐木人甲	伐木
兴安岭伐木人乙	伐木
兴安岭伐木人丙	伐木
兴安岭伐木人丁	伐木
农民	中原马车船夫
南槐谷采药人甲	采药
南槐谷采药人乙	采药
南槐谷采药人丙	采药
南槐谷采药人丁	采药
含幽谷采药人乙	采药
含幽谷采药人丙	采药
岚岳村少年甲	收种
岚岳村少年乙	收种
车夫	中原马车船夫
岚岳村少年丙	收种
悬星洞石匠乙	采矿
悬星洞石匠丙	采矿
悬星洞石匠丁	采矿
昆吾山丝女甲	抽丝
昆吾山猎户甲	制皮
昆吾山丝女乙	抽丝
昆吾山丝女丙	抽丝
昆吾山丝女丁	抽丝
采桑者	游方医生
猎户	驯兽师
深山村民	中原马车船夫
皮货商	中原武器店老板
灵岩洞石匠甲	采矿
灵岩洞石匠乙	采矿
灵岩洞石匠丙	采矿
灵岩洞石匠丁	采矿
盈民村少年丁	收种
石门洞石匠乙	采矿
石门洞石匠甲	采矿
石门洞石匠丁	采矿
石门洞石匠丙	采矿
矿工	村中少年
空桑山丝女甲	抽丝
空桑山丝女乙	抽丝
空桑山猎户乙	制皮
空桑山猎户丁	制皮
空桑山丝女丙	抽丝
空桑山猎户丙	制皮
空桑山丝女丁	抽丝
紫桑山丝女甲	抽丝
紫桑山猎户甲	制皮
紫桑山猎户乙	制皮
紫桑山丝女乙	抽丝
紫桑山猎户丙	制皮
紫桑山猎户丁	制皮
紫桑山丝女丙	抽丝
紫桑山丝女丁	抽丝
苍龙岭伐木人乙	伐木
苍龙岭伐木人甲	伐木
苍龙岭伐木人丙	伐木
苍龙岭伐木人丁	伐木
轩辕谷采药人甲	采药
青水村少年甲	收种
青水村少年乙	收种
青水村少年丙	收种
青水村少年丁	收种
马靖生	丐帮长老
陈钟鹤	丐帮长老
龙在天	丐帮掌门
物品保管人	中原储物柜
尤知味	西南药店掌柜
宋元安	丐帮门人
洪七	西南马车船夫
小偷	冥偷
飞贼	暗贼
幼狼王	小苍狼
野猪	小野猪
无名僧	少林主持
玄灭尊者	少林方丈
祖闻达	吐蕃马车船夫
玄苦	少林僧人
玄明	少林首座
净通	少林僧人
鸠摩罗	少林僧人
