人物显示类型	人物类型	资源文件路经	阴影大小	高度	缩放比例	头部	躯体	下身	坐骑	躯体基本动作	下身基本动作	头部基本动作	坐骑基本动作	情绪动作无门派	情绪动作少林	情绪动作武当	情绪动作丐帮	情绪动作唐门	情绪动作峨嵋
标准男主角	主角	\image\player	2	130	60	标准男主角头部.txt	标准男主角躯体.txt	标准男主角下身.txt	标准男主角坐骑.txt	\MA_STD	\MA_STD	\MA_STD	\RD_HORSE						
魁梧男主角	主角	\image\player	2	135	60	魁梧男主角头部.txt	魁梧男主角躯体.txt	魁梧男主角下身.txt	魁梧男主角坐骑.txt	\MA_SUP	\MA_SUP	\MA_SUP	\RD_HORSE						
性感女主角	主角	\image\player	2	130	60	性感女主角头部.txt	性感女主角躯体.txt	性感女主角下身.txt	性感女主角坐骑.txt	\FM_SEX	\FM_SEX	\FM_SEX	\RD_HORSE						
娇小女主角	主角	\image\player	2	110	60	娇小女主角头部.txt	娇小女主角躯体.txt	娇小女主角下身.txt	娇小女主角坐骑.txt	\FM_EFF	\FM_EFF	\FM_EFF	\RD_HORSE						
木人桩	普通npc	\image\enemy\001	2	130	50														
木人桩2	普通npc	\image\enemy\001	2	130	50														
大黄蜂	普通npc	\image\enemy\002	2	105	55														
毒蜂	普通npc	\image\enemy\002	2	100	60														
狐狸	普通npc	\image\enemy\003	2	100	60														
银狐	普通npc	\image\enemy\003	2	100	60														
饿狼	普通npc	\image\enemy\004	2	80	70														
恶狼	普通npc	\image\enemy\004	2	100	60														
蜘蛛	普通npc	\image\enemy\005	2	90	70														
红毛蜘蛛	普通npc	\image\enemy\005	2	90	60														
白毛蜘蛛	普通npc	\image\enemy\005	2	90	60														
天蝎	普通npc	\image\enemy\006	2	100	60														
海蝎	普通npc	\image\enemy\006	2	100	60														
铁甲	普通npc	\image\enemy\007	2	120	60														
金甲	普通npc	\image\enemy\007	2	100	60														
老虎	普通npc	\image\enemy\008	2	110	60														
白虎	普通npc	\image\enemy\008	2	100	60														
灰熊	普通npc	\image\enemy\009	2	100	60														
疯熊	普通npc	\image\enemy\009	2	100	60														
蟾蜍1	普通npc	\image\enemy\010	2	100	60														
蟾蜍2	普通npc	\image\enemy\010	2	100	60														
蝙蝠	普通npc	\image\enemy\011	2	160	70														
吸血蝙蝠	普通npc	\image\enemy\011	2	160	75														
巨猿	普通npc	\image\enemy\012	4	100	60														
巨猿2	普通npc	\image\enemy\012	4	100	60														
食人鳄1	普通npc	\image\enemy\013	2	100	60														
食人鳄2	普通npc	\image\enemy\013	2	100	60														
突鹰	普通npc	\image\enemy\014	2	100	60														
白雕	普通npc	\image\enemy\014	2	100	60														
眼睛蛇	普通npc	\image\enemy\015	2	70	70														
修蛇	普通npc	\image\enemy\015	2	70	60														
黑鸦	普通npc	\image\enemy\016	2	170	60														
白鸦	普通npc	\image\enemy\016	2	180	60														
流氓	普通npc	\image\enemy\017	2	130	60														
地痞	普通npc	\image\enemy\017	2	130	60														
无赖	普通npc	\image\enemy\017	2	130	60														
混混	普通npc	\image\enemy\017	2	130	60														
山贼	普通npc	\image\enemy\017	2	135	60														
浪人	普通npc	\image\enemy\017	2	140	60														
刀匪	普通npc	\image\enemy\018	2	140	60														
棍匪	普通npc	\image\enemy\018	2	140	60														
枪匪	普通npc	\image\enemy\018	2	140	60														
箭匪	普通npc	\image\enemy\018	2	140	60														
草寇	普通npc	\image\enemy\019	2	140	60														
莽寇	普通npc	\image\enemy\019	2	140	60														
穷寇	普通npc	\image\enemy\019	2	140	60														
流寇	普通npc	\image\enemy\019	2	140	60														
鬼窃	普通npc	\image\enemy\020	2	140	60														
冥偷	普通npc	\image\enemy\020	2	90	60														
诡盗	普通npc	\image\enemy\020	2	140	60														
暗贼	普通npc	\image\enemy\020	2	130	60														
剑客	普通npc	\image\enemy\021	2	140	60														
中级剑客	普通npc	\image\enemy\021	2	140	60														
浪剑客	普通npc	\image\enemy\021	2	140	60														
刀客	普通npc	\image\enemy\022	2	140	50														
中级刀客	普通npc	\image\enemy\022	2	140	60														
荡刀客	普通npc	\image\enemy\022	2	140	60														
枪客	普通npc	\image\enemy\023	2	130	60														
中级枪客	普通npc	\image\enemy\023	2	130	60														
金枪客	普通npc	\image\enemy\023	2	140	60														
刺客1	普通npc	\image\enemy\024	2	100	60														
刺客2	普通npc	\image\enemy\024	2	100	60														
飞爪	普通npc	\image\enemy\025	2	140	60														
暗弓	普通npc	\image\enemy\025	2	140	60														
铁钩	普通npc	\image\enemy\025	2	140	60														
百日箭	普通npc	\image\enemy\026	2	130	60														
千里镖	普通npc	\image\enemy\026	2	140	60														
武松	普通npc	\image\enemy\027	3	165	70														
头陀2	普通npc	\image\enemy\027	3	140	60														
头陀3	普通npc	\image\enemy\027	3	140	60														
鲁智深	普通npc	\image\enemy\028	3	165	75														
恶僧	普通npc	\image\enemy\028	3	140	60														
邪僧	普通npc	\image\enemy\028	3	160	60														
明教左护法	普通npc	\image\enemy\029	2	120	60														
红袍使者1	普通npc	\image\enemy\029	2	140	60														
红袍使者2	普通npc	\image\enemy\029	2	140	60														
红袍使者3	普通npc	\image\enemy\029	2	120	60														
明教右护法	普通npc	\image\enemy\030	2	140	60														
黑袍使者1	普通npc	\image\enemy\030	2	140	60														
黑袍使者2	普通npc	\image\enemy\030	2	140	60														
黑袍使者3	普通npc	\image\enemy\030	2	140	60														
明教男弟子1	普通npc	\image\enemy\031	2	120	60														
明教男弟子2	普通npc	\image\enemy\031	2	120	60														
明教男弟子3	普通npc	\image\enemy\031	2	140	60														
明教女弟子1	普通npc	\image\enemy\032	2	140	60														
明教女弟子2	普通npc	\image\enemy\032	2	140	60														
明教女弟子3	普通npc	\image\enemy\032	2	140	60														
倭寇1	普通npc	\image\enemy\033	2	140	60														
倭寇2	普通npc	\image\enemy\033	2	140	60														
倭寇3	普通npc	\image\enemy\033	2	140	60														
倭寇4	普通npc	\image\enemy\033	2	140	60														
番夷刀客	普通npc	\image\enemy\034	2	140	60														
番夷蛊师	普通npc	\image\enemy\034	2	140	60														
番夷镖手	普通npc	\image\enemy\034	2	140	60														
恶霸	普通npc	\image\enemy\035	2	140	60														
异族武士	普通npc	\image\enemy\035	2	145	60														
异族巫师	普通npc	\image\enemy\035	2	145	60														
异族箭手	普通npc	\image\enemy\035	2	145	60														
外族杀手	普通npc	\image\enemy\036	2	140	60														
外族术士	普通npc	\image\enemy\036	2	145	60														
外族强盗	普通npc	\image\enemy\036	2	145	60														
外族弓手	普通npc	\image\enemy\036	2	150	60														
宋枪兵	普通npc	\image\enemy\037	2	130	60														
宋刀兵	普通npc	\image\enemy\037	2	140	60														
宋箭兵	普通npc	\image\enemy\037	2	140	60														
宋弩兵	普通npc	\image\enemy\037	2	140	60														
宋盾兵	普通npc	\image\enemy\037	2	140	60														
金枪兵	普通npc	\image\enemy\038	2	140	60														
金刀兵	普通npc	\image\enemy\038	2	140	60														
金箭兵	普通npc	\image\enemy\038	2	140	60														
金弩兵	普通npc	\image\enemy\038	2	140	60														
金盾兵	普通npc	\image\enemy\038	2	140	60														
刀邪	普通npc	\image\enemy\039	2	140	60														
剑邪	普通npc	\image\enemy\039	2	140	60														
枪邪	普通npc	\image\enemy\039	2	140	60														
刀狂	普通npc	\image\enemy\040	2	140	60														
剑狂	普通npc	\image\enemy\040	2	140	60														
枪狂	普通npc	\image\enemy\040	2	140	60														
刀绝	普通npc	\image\enemy\041	2	155	60														
剑绝	普通npc	\image\enemy\041	2	155	60														
枪绝	普通npc	\image\enemy\041	2	140	60														
刀煞	普通npc	\image\enemy\042	2	145	60														
剑煞	普通npc	\image\enemy\042	2	145	60														
枪煞	普通npc	\image\enemy\042	2	140	60														
夜叉1	普通npc	\image\enemy\043	2	140	60														
夜叉2	普通npc	\image\enemy\043	2	140	60														
夜叉3	普通npc	\image\enemy\043	2	140	60														
骷髅刀手	普通npc	\image\enemy\044	2	140	60														
骷髅枪手	普通npc	\image\enemy\044	2	140	60														
骷髅箭手	普通npc	\image\enemy\044	2	140	60														
僵尸1	普通npc	\image\enemy\045	2	140	60														
僵尸2	普通npc	\image\enemy\045	2	140	60														
僵尸3	普通npc	\image\enemy\045	2	140	60														
腐尸1	普通npc	\image\enemy\046	2	130	60														
腐尸2	普通npc	\image\enemy\046	2	130	60														
腐尸3	普通npc	\image\enemy\046	2	130	60														
九凤1	普通npc	\image\enemy\047	2	140	60														
九凤2	普通npc	\image\enemy\047	2	140	60														
九凤3	普通npc	\image\enemy\047	2	140	60														
飞天1	普通npc	\image\enemy\048	2	140	60														
飞天2	普通npc	\image\enemy\048	2	140	60														
飞天3	普通npc	\image\enemy\048	2	140	60														
妖狐1	普通npc	\image\enemy\049	2	140	60														
妖狐2	普通npc	\image\enemy\049	2	130	60														
妖狐3	普通npc	\image\enemy\049	2	140	60														
雪怪1	普通npc	\image\enemy\050	2	140	60														
雪怪2	普通npc	\image\enemy\050	2	140	60														
雪怪3	普通npc	\image\enemy\050	2	140	65														
虫怪1	普通npc	\image\enemy\051	2	170	60														
虫怪2	普通npc	\image\enemy\051	2	170	60														
虫怪3	普通npc	\image\enemy\051	2	170	60														
石人1	普通npc	\image\enemy\052	2	140	60														
石人2	普通npc	\image\enemy\052	2	140	60														
石人3	普通npc	\image\enemy\052	2	140	60														
蛇妖1	普通npc	\image\enemy\053	2	140	60														
蛇妖2	普通npc	\image\enemy\053	2	140	60														
蛇妖3	普通npc	\image\enemy\053	2	140	60														
火麒麟1	普通npc	\image\enemy\054	2	120	60														
玉麒麟2	普通npc	\image\enemy\054	2	120	80														
紫麒麟3	普通npc	\image\enemy\054	2	120	60														
鱼怪1	普通npc	\image\enemy\055	2	140	60														
鱼怪2	普通npc	\image\enemy\055	2	140	60														
鱼怪3	普通npc	\image\enemy\055	2	140	60														
厉鬼	普通npc	\image\enemy\068	2	110	40														
怨鬼	普通npc	\image\enemy\056	2	110	60														
恶鬼	普通npc	\image\enemy\056	2	110	60														
阴魂1	普通npc	\image\enemy\057	2	145	60														
阴魂2	普通npc	\image\enemy\057	2	145	60														
阴魂3	普通npc	\image\enemy\057	2	145	60														
树怪1	普通npc	\image\enemy\058	2	155	60														
树怪2	普通npc	\image\enemy\058	2	155	60														
树怪3	普通npc	\image\enemy\058	2	155	60														
机关人1	普通npc	\image\enemy\059	2	140	60														
机关人2	普通npc	\image\enemy\059	2	140	60														
天兵1	普通npc	\image\enemy\060	2	140	60														
天兵2	普通npc	\image\enemy\060	2	140	60														
天兵3	普通npc	\image\enemy\060	2	140	60														
天兵4	普通npc	\image\enemy\060	2	140	60														
仙女1	普通npc	\image\enemy\061	2	140	60														
仙女2	普通npc	\image\enemy\061	2	140	60														
仙女3	普通npc	\image\enemy\061	2	140	60														
天将1	普通npc	\image\enemy\062	2	140	60														
天将2	普通npc	\image\enemy\062	2	140	60														
天将3	普通npc	\image\enemy\062	2	140	60														
天将4	普通npc	\image\enemy\062	2	140	60														
