主角动作名称	怪物动作对应
战斗站立	站立01
警戒站立	站立01
普通站立	站立01
行走	行走01
奔跑	行走01
被击	被击01
格档	站立01
闪避	站立01
击退	被击01
击倒	被击03
死亡	被击03
爬起	站立01
攻击1	攻击00
攻击2	攻击00
暴击	攻击00
安慰	站立01
安慰被动	站立01
暗器被击	被击01
暗器格档	被击01
暗器闪避	被击01
暗器战斗站立	站立01
拜	站立01
帮忙	站立01
悲伤	站立01
打坐	站立01
单手类被击	被击01
单手类奔跑	行走01
单手类格档	被击01
单手类击倒	被击03
单手类警戒站立	站立01
单手类爬起	站立01
单手类普通站立	站立01
单手类闪避	被击01
单手类行走	行走01
单手类战斗站立	站立01
调皮	站立01
发狂	站立01
弓被击	被击01
弓奔跑	行走01
弓挡格	被击01
弓击倒	被击03
弓警戒站立	站立01
弓爬起	站立01
弓普通站立	站立01
弓闪避	被击01
弓行走	行走01
弓战斗站立	站立01
跪下	站立01
害羞	站立01
鞠躬	站立01
空手被击	被击01
空手奔跑	行走01
空手格档	被击01
空手击倒	被击03
空手警戒站立	站立01
空手爬起	站立01
空手普通站立	站立01
空手闪避	被击01
空手行走	行走01
空手战斗站立	站立01
龙舟攻击	站立01
拍手	站立01
骑马单手类奔跑	行走01
骑马单手类行走	行走01
骑马单手类站立	站立01
骑马弓被击	被击01
骑马弓奔跑	行走01
骑马弓格档	被击01
骑马弓击倒	被击03
骑马弓击退	站立01
骑马弓行走	行走01
骑马弓战斗站立	站立01
骑马弓站立	站立01
骑马空手奔跑	行走01
骑马空手行走	行走01
骑马空手站立	站立01
骑马枪被击	被击01
骑马枪奔跑	行走01
骑马枪格档	被击01
骑马枪击倒	被击03
骑马枪击退	站立01
骑马枪行走	行走01
骑马枪战斗站立	站立01
骑马枪站立	站立01
骑马双刀被击	站立01
骑马双刀奔跑	站立01
骑马双刀行走	站立01
骑马双刀站立	站立01
骑马双手类奔跑	站立01
骑马双手类法师奔跑	站立01
骑马双手类法师行走	站立01
骑马双手类法师站立	站立01
骑马双手类行走	站立01
骑马双手类站立	站立01
骑马死亡	被击03
枪被击	被击01
枪奔跑	行走01
枪格档	被击01
枪击倒	被击03
枪警戒站立	站立01
枪爬起	站立01
枪普通站立	站立01
枪闪避	被击01
枪行走	行走01
枪战斗站立	站立01
轻功-空中	站立01
轻功-落地	站立01
求婚	站立01
生气	站立01
胜利	站立01
耍酷	站立01
双刀被击	被击01
双刀奔跑	行走01
双刀格档.	被击01
双刀击倒	被击03
双刀警戒站立	站立01
双刀爬起	站立01
双刀普通站立	站立01
双刀闪避	被击01
双刀行走	行走01
双刀战斗站立	站立01
双人骑奔跑	站立01
双人骑行走	站立01
双人骑站立	站立01
双人携手跑	站立01
双人携手站立	站立01
双人携手走	站立01
双手类被击	被击01
双手类奔跑	行走01
双手类法师奔跑	行走01
双手类法师击倒	被击03
双手类法师警戒站立	行走01
双手类法师爬起	站立01
双手类法师行走	行走01
双手类法师战斗站立	站立01
双手类格档	被击01
双手类击倒	被击03
双手类警戒站立	站立01
双手类爬起	站立01
双手类普通站立	站立01
双手类闪避	被击01
双手类行走	行走01
双手类战斗站立	站立01
死亡	被击03
躺下	站立01
新建站立00	站立01
新建站立01	站立01
疑惑	站立01
已建站立00	站立01
已建站立01	站立01
晕倒	被击03
招手	站立01
爪被击	被击01
爪奔跑	行走01
爪挡格	被击01
爪击倒	被击03
爪警戒站立	站立01
爪爬起	站立01
爪普通站立	站立01
爪闪避	被击01
爪行走	行走01
爪战斗站立	站立01
自信	站立01
作揖	站立01
坐下	站立01
骑马琴奔跑	站立01
骑马琴行走	站立01
骑马琴站立	站立01
琴被击	被击01
琴奔跑	行走01
琴格档	被击01
琴击倒	被击03
琴警戒站立	站立01
琴爬起	站立01
琴普通站立	站立01
琴闪避	被击01
琴行走	行走01
琴战斗站立	站立01
