装备显示类型	模型	贴图
娇小女躯干000	f1_bd_mod002.mesh	f1_bd_mod002a.mtl
娇小女躯干001	f1_bd_mod001.mesh	f1_bd_mod001a.mtl
娇小女躯干002	f1_bd_mod001.mesh	f1_bd_mod001b.mtl
娇小女躯干003	f1_bd_mod002.mesh	f1_bd_mod002a.mtl
娇小女躯干004	f1_bd_mod002.mesh	f1_bd_mod002b.mtl
娇小女躯干005	f1_bd_mod003.mesh	f1_bd_mod003a.mtl
娇小女躯干006	f1_bd_mod003.mesh	f1_bd_mod003b.mtl
娇小女躯干007	f1_bd_mod004.mesh	f1_bd_mod004a.mtl
娇小女躯干008	f1_bd_mod004.mesh	f1_bd_mod004b.mtl
娇小女躯干009	f1_bd_mod005.mesh	f1_bd_mod005a.mtl
娇小女躯干010	f1_bd_mod005.mesh	f1_bd_mod005b.mtl
娇小女躯干011	f1_bd_mod006.mesh	f1_bd_mod006a.mtl
娇小女躯干012	f1_bd_mod006.mesh	f1_bd_mod006b.mtl
娇小女躯干013	f1_bd_mod007.mesh	f1_bd_mod007a.mtl
娇小女躯干014	f1_bd_mod007.mesh	f1_bd_mod007b.mtl
娇小女躯干015	f1_bd_mod008.mesh	f1_bd_mod008a.mtl
娇小女躯干016	f1_bd_mod008.mesh	f1_bd_mod008b.mtl
娇小女躯干017	f1_bd_mod009.mesh	f1_bd_mod009a.mtl
娇小女躯干018	f1_bd_mod009.mesh	f1_bd_mod009b.mtl
娇小女门派躯干01	f1_mp_bd_mod001.Mesh	f1_mp_bd_mod001a.mtl
娇小女门派躯干02	f1_mp_bd_mod003.mesh	f1_mp_bd_mod003a.mtl
娇小女门派躯干03	f1_mp_bd_mod005.mesh	f1_mp_bd_mod005a.mtl
娇小女门派躯干04	f1_mp_bd_mod007.mesh	f1_mp_bd_mod007a.mtl
娇小女结婚装01	f1_jh_bd_mod001.mesh	f1_jh_bd_mod001a.mtl
娇小女摆摊装01	f1_other_bd_mod002.mesh	f1_other_bd_mod002a.mtl
娇小女子丹装01	f1_other_bd_mod004.mesh	f1_other_bd_mod004a.mtl
娇小女外装01	f1_wz_bd_mod001.Mesh	f1_wz_bd_mod001a.mtl
娇小女门派躯干05	f1_mp_bd_mod013.Mesh	f1_mp_bd_mod013a.mtl
娇小女外装躯干002	f1_wz_bd_mod002.mesh	f1_wz_bd_mod002a.mtl
娇小女外装躯干003	f1_wz_bd_mod003.mesh	f1_wz_bd_mod003a.mtl
娇小女门派躯干06	f1_mp_bd_mod017.Mesh	f1_mp_bd_mod017a.mtl
娇小女外装06	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006.mtl
娇小女外装07	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006b.mtl
娇小女外装08	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006c.mtl
娇小女外装09	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006d.mtl
娇小女外装10	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006e.mtl
娇小女外装11	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006f.mtl
娇小女外装12	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006g.mtl
娇小女外装13	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006h.mtl
娇小女外装14	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006i.mtl
娇小女外装15	f1_wz_bd_mod006.Mesh	f1_wz_bd_mod006j.mtl
娇小女周年纪念衣	f1_wz_bd_mod004.mesh	f1_wz_bd_mod004a.mtl
娇小女冬装衣	f1_wz_bd_mod011.mesh	f1_wz_bd_mod011a.mtl
娇小女结婚装02	f1_wz_bd_mod009.mesh	f1_wz_bd_mod009a.mtl
娇小女结婚装03	f1_wz_bd_mod010.mesh	f1_wz_bd_mod010a.mtl
娇小女外装躯体16	f1_wz_bd_mod012.mesh	f1_wz_bd_mod012a.mtl
娇小女科考外装01	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013a.Mtl
娇小女科考外装02	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013b.Mtl
娇小女科考外装03	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013c.Mtl
娇小女科考外装04	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013d.Mtl
娇小女科考外装05	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013e.Mtl
娇小女科考外装06	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013f.Mtl
娇小女科考外装07	f1_wz_bd_mod013.Mesh	f1_wz_bd_mod013g.Mtl
娇小女黄金甲	f1_wz_bd_modjinjia.Mesh	f1_wz_bd_modjinjia.Mtl
娇小女宋军外装	f1_wz_bd_mod0014.Mesh	f1_wz_bd_mod0014.Mtl
娇小女辽军外装	f1_wz_bd_mod0015.Mesh	f1_wz_bd_mod0015.Mtl
娇小女太守衣	f1_wz_bd_modtaishou.Mesh	f1_wz_bd_modtaishou.Mtl
娇小女师爷衣	f1_wz_bd_modshiye.Mesh	f1_wz_bd_modshiye.Mtl
娇小女捕快衣	f1_wz_bd_modbukuai.Mesh	f1_wz_bd_modbukuai.Mtl
娇小女衣玲珑红	f1_wz_bd_modlinglong.Mesh	f1_wz_bd_modlinglonga.Mtl
娇小女衣玲珑黄	f1_wz_bd_modlinglong.Mesh	f1_wz_bd_modlinglongb.Mtl
娇小女衣玲珑粉	f1_wz_bd_modlinglong.Mesh	f1_wz_bd_modlinglongc.Mtl
娇小女衣玲珑紫	f1_wz_bd_modlinglong.Mesh	f1_wz_bd_modlinglongd.Mtl
娇小女衣玲珑蓝	f1_wz_bd_modlinglong.Mesh	f1_wz_bd_modlinglonge.Mtl
娇小女衣玲珑绿	f1_wz_bd_modlinglong.Mesh	f1_wz_bd_modlinglongf.Mtl
娇小女逍遥衣黑	f1_wz_bd_modxiaoyao01.Mesh	f1_wz_bd_modxiaoyao01.Mtl
娇小女逍遥衣紫	f1_wz_bd_modxiaoyao01.Mesh	f1_wz_bd_modxiaoyao02.Mtl
娇小女逍遥衣蓝	f1_wz_bd_modxiaoyao01.Mesh	f1_wz_bd_modxiaoyao03.Mtl
