ID	DescName	AniName	FrameMan1	FrameMan2	FrameWoman1	FrameWoman2	Distance	LevelLimit
0	亲吻	安慰	33	33	33	33	64	0
1	安慰	安慰	33	33	33	33	64	0
2	拜	拜	115	91	101	115	300	10
3	帮忙	帮忙	64	65	72	75	300	10
4	悲伤	悲伤	81	90	72	98	300	10
5	出发	出发	60	58	44	46	300	12
6	调皮	调皮	66	86	58	64	300	10
7	发狂	发狂	52	80	86	41	300	10
8	跪下	跪下	21	87	88	56	300	10
9	害羞	害羞	64	87	81	104	300	10
10	鞠躬	鞠躬	52	54	65	55	300	10
11	拍手	拍手	110	72	58	75	300	10
12	求婚	求婚	115	108	70	115	300	40
13	生气	生气	84	117	58	72	300	18
14	胜利	胜利	75	52	52	75	300	22
15	耍酷	耍酷	70	63	87	70	300	32
16	躺下	躺下	270	270	270	270	300	10
17	挑衅	挑衅	64	63	51	61	300	25
18	疑惑	疑惑	81	108	87	87	300	10
19	晕倒	晕倒	270	270	270	270	300	35
20	招手	招手	46	54	76	46	300	5
21	自信	自信	64	74	51	78	300	10
22	作揖	作揖	64	54	51	64	300	1
23	坐下	坐下	270	270	270	270	300	10
24	被亲吻	安慰被动	33	33	33	33	300	0
25	被安慰	安慰被动	33	33	33	33	300	0
26	被拜	拜	40	63	70	40	300	15
27	被帮忙	帮忙	22	36	50	26	300	10
28	被悲伤	悲伤	28	50	50	34	300	10
29	被出发	出发	21	40	40	16	300	12
30	被调皮	调皮	23	60	40	22	300	10
31	被发狂	发狂	18	55	60	14	300	10
32	被跪下	跪下	7	60	70	19	300	10
33	被害羞	害羞	22	60	60	36	300	10
34	被鞠躬	鞠躬	18	30	45	19	300	10
35	被拍手	拍手	38	40	40	26	300	10
36	被求婚	求婚	40	75	65	40	300	40
37	被生气	生气	29	65	40	25	300	18
38	被胜利	胜利	26	36	36	26	300	22
39	被耍酷	耍酷	24	36	60	24	300	32
40	被躺下	躺下	20	29	41	21	300	10
41	被挑衅	挑衅	22	35	40	21	300	25
42	被疑惑	疑惑	28	60	60	30	300	10
43	被晕倒	晕倒	33	43	41	27	300	35
44	被招手	招手	16	30	60	16	300	5
45	被自信	自信	22	41	40	27	300	10
46	被作揖	作揖	22	30	40	22	300	1
47	被坐下	坐下	20	26	31	22	300	10
48	双人共骑站	双人骑站立	0	0	0	0	100	0
49	双人共骑走	双人骑行走	0	0	0	0	100	0
50	双人共骑跑	双人骑奔跑	0	0	0	0	100	0
51	双人携手站	双人携手站立	0	0	0	0	100	0
52	双人携手走	双人携手走	0	0	0	0	100	0
53	双人携手跑	双人携手跑	0	0	0	0	100	0
54	背负站	双人携手站立	0	0	0	0	100	0
55	背负走	双人携手走	0	0	0	0	100	0
56	背负跑	双人携手跑	0	0	0	0	100	0
57	怀抱站	双人携手站立	0	0	0	0	100	0
58	怀抱走	双人携手走	0	0	0	0	100	0
59	怀抱跑	双人携手跑	0	0	0	0	100	0
