武器显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	爬起	攻击1	攻击2
空手	空手战斗站立	空手警戒站立	空手普通站立	空手行走	空手奔跑	空手被击	空手格档	空手闪避	击退	空手击倒	死亡	空手爬起		
暗器	暗器战斗站立	空手警戒站立	空手普通站立	空手行走	空手奔跑	暗器被击	空手格档	空手闪避	击退	空手击倒	死亡	空手爬起		
单刀1a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀1b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀1c	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀2a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀2b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀3a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀3b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀4a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀4b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀5a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀5b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀6a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀6b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀7a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀7b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀8a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
单刀8b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑1a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑1b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑1c	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑2a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑2b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑3a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑3b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑4a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑4b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑5a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑5b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑6a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑6b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑7a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑7b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑8a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
长剑8b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔1a	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
笔1b	单手类战斗站立	单手类警戒站立	单手类普通站立	单手类行走	单手类奔跑	单手类被击	单手类格档	单手类闪避	击退	单手类击倒	死亡	单手类爬起		
