Npc显示类型	模型	贴图	动画	偏色	插槽1	武器名称1	插槽2	武器名称2	头像序号
木人桩	001.mesh	001a.Mtl	001a.Ani						
木人桩2	001b.mesh	001b.Mtl	001b.Ani						
大黄蜂	002.mesh	002a.Mtl	002a.Ani						
毒蜂	002.mesh	002b.Mtl	002a.Ani						
狐狸	003.mesh	003a.Mtl	003a.Ani						
银狐	003.mesh	003b.Mtl	003a.Ani						
饿狼	004.mesh	004a.Mtl	004a.Ani						
恶狼	004.mesh	004b.Mtl	004b.Ani						
蜘蛛	005.mesh	005a.Mtl	005a.Ani						
红毛蜘蛛	005.mesh	005b.Mtl	005b.Ani						
白毛蜘蛛	005.mesh	005c.Mtl	005c.Ani						
天蝎	006.mesh	006a.Mtl	006a.Ani						
海蝎	006.mesh	006b.Mtl	006a.Ani						
铁甲	007.mesh	007a.Mtl	007a.Ani						
金甲	007.mesh	007b.Mtl	007a.Ani						
老虎	008.mesh	008a.Mtl	008a.Ani						
白虎	008.mesh	008b.Mtl	008a.Ani						
灰熊	009.mesh	009a.Mtl	009a.Ani						
疯熊	009.mesh	009b.Mtl	009b.Ani						
蟾蜍1	010.mesh	010a.Mtl	010a.Ani						
蟾蜍2	010.mesh	010b.Mtl	010b.Ani						
蝙蝠	011.mesh	011a.Mtl	011a.Ani						
吸血蝙蝠	011.mesh	011b.Mtl	011b.Ani						
巨猿	012.mesh	012a.Mtl	012a.Ani						
巨猿2	012.mesh	012b.Mtl	012a.Ani						
食人鳄1	013.mesh	013a.Mtl	013a.Ani						
食人鳄2	013.mesh	013b.Mtl	013a.Ani						
突鹰	014.mesh	014a.Mtl	014a.Ani						
白雕	014.mesh	014b.Mtl	014a.Ani						
眼睛蛇	015.mesh	015a.Mtl	015a.Ani						
修蛇	015.mesh	015b.Mtl	015b.Ani						
黑鸦	016.mesh	016a.Mtl	016a.Ani						
白鸦	016.mesh	016b.Mtl	016b.Ani						
流氓	017.mesh	017a.Mtl	017a.Ani		017a	短木棒01			
地痞	017.mesh	017b.Mtl	017b.Ani						
无赖	017.mesh	017c.Mtl	017c.Ani						
混混	017.mesh	017d.Mtl	017d.Ani						
山贼	017.mesh	017e.Mtl	017e.Ani		017e	WQ017e			
浪人	017.mesh	017f.Mtl	017f.Ani						
刀匪	018.mesh	018a.Mtl	018a.Ani		018a_1	WQ018a弓	018a_2	WQ018a箭筒	
棍匪	018.mesh	018b.Mtl	018b.Ani						
枪匪	018.mesh	018c.Mtl	018c.Ani						
箭匪	018.mesh	018d.Mtl	018d.Ani						
草寇	019.mesh	019a.Mtl	019a.Ani		019a	WQ019a			
莽寇	019.mesh	019b.Mtl	019b.Ani		019b	WQ019b			
穷寇	019.mesh	019c.Mtl	019c.Ani						
流寇	019.mesh	019d.Mtl	019d.Ani		019d	WQ019a			
鬼窃	020.mesh	020a.Mtl	020a.Ani						
冥偷	020.mesh	020b.Mtl	020b.Ani						
诡盗	020.mesh	020c.Mtl	020c.Ani						
暗贼	020.mesh	020d.Mtl	020d.Ani		020d	WQ020d			
剑客	021.mesh	021a.Mtl	021a.Ani		021a	鬼头刀01			
中级剑客	021.mesh	021b.Mtl	021b.Ani		021b	宝剑05			
浪剑客	021.mesh	021c.Mtl	021c.Ani		021c	宝剑06			
刀客	022.mesh	022a.Mtl	022a.Ani		022a	WQ022a			
中级刀客	022.mesh	022b.Mtl	022b.Ani						
荡刀客	022.mesh	022c.Mtl	022c.Ani		022c	WQ022c			
枪客	023.mesh	023a.Mtl	023a.Ani		023a	普通剑01			
中级枪客	023.mesh	023b.Mtl	023b.Ani		023b	WQ083g			
金枪客	023.mesh	023c.Mtl	023c.Ani						
刺客1	024.mesh	024a.Mtl	024a.Ani						
刺客2	024.mesh	024b.Mtl	024b.Ani		024b_1	短刀01	024b_2	短刀01	
飞爪	025.mesh	025a.Mtl	025a.Ani						
暗弓	025.mesh	025b.Mtl	025b.Ani						
铁钩	025.mesh	025c.Mtl	025c.Ani						
百日箭	026.mesh	026a.Mtl	026a.Ani		026a_1	WQ084a弓	026a_2	WQ084a箭筒	
千里镖	026.mesh	026b.Mtl	026b.Ani		026b	WQ026b			
武松	027.mesh	027a.Mtl	027a.Ani		027a	WQ027a			
头陀2	027.mesh	027b.Mtl	027b.Ani		027b	WQ027b			
头陀3	027.mesh	027c.Mtl	027c.Ani						
鲁智深	028.mesh	028a.Mtl	028a.Ani		S_HR	mon_028aw			
恶僧	028.mesh	028b.Mtl	028b.Ani		S_HR	mon_028bw			
邪僧	028.mesh	028c.Mtl	028c.Ani						
明教左护法	029.mesh	029a.Mtl	029a.Ani		029a	WQ030a			
红袍使者1	029.mesh	029b.Mtl	029b.Ani						
红袍使者2	029.mesh	029c.Mtl	029c.Ani						
红袍使者3	029.mesh	029d.Mtl	029d.Ani		029d_1	WQ084a弓			
明教右护法	030.mesh	030a.Mtl	030a.Ani		030a	WQ030a			
黑袍使者1	030.mesh	030b.Mtl	030b.Ani		030b	圣火令01			
黑袍使者2	030.mesh	030c.Mtl	030c.Ani						
黑袍使者3	030.mesh	030d.Mtl	030d.Ani						
明教男弟子1	031.mesh	031a.Mtl	031a.Ani						
明教男弟子2	031.mesh	031b.Mtl	031b.Ani		031a	短刀01			
