NPC显示类型	战斗站立	警戒站立	普通站立	行走	奔跑	被击	格档	闪避	击退	击倒	死亡	爬起	攻击1	攻击2	暴击
木人桩	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
木人桩2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
大黄蜂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
毒蜂	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
狐狸	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
银狐	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
饿狼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
恶狼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蜘蛛	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
红毛蜘蛛	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
白毛蜘蛛	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
天蝎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
海蝎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
铁甲	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
金甲	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
老虎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
白虎	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
灰熊	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
疯熊	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蟾蜍1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蟾蜍2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
蝙蝠	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
吸血蝙蝠	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
巨猿	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
巨猿2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
食人鳄1	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
食人鳄2	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
突鹰	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
白雕	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
眼睛蛇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
修蛇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
黑鸦	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
白鸦	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
流氓	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
地痞	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
无赖	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
混混	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
山贼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
浪人	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刀匪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
棍匪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
枪匪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
箭匪	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
草寇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
莽寇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
穷寇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
流寇	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
鬼窃	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
冥偷	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
诡盗	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
暗贼	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
剑客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中级剑客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
浪剑客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
刀客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中级刀客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
荡刀客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
枪客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
中级枪客	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
