物件名字标识	类型	障碍类型	持续时间	所在的层	高度	缩放比例	模型文件	贴图文件	动画文件	声音文件	脚本文件
护手	Item	0	2160	2	130	120	\image\item\drop\drop_mod001.Mesh	\image\item\drop\drop_mod001.mtl		\Sound\sound_i005.wav	
套装护手	Item	0	0	2	130	120	\image\item\drop\drop_mod001.Mesh	\image\item\drop\drop_mod001.mtl		\Sound\sound_i005.wav	
长剑	Item	0	2160	2	130	120	\image\item\drop\drop_mod002.Mesh	\image\item\drop\drop_mod002.mtl		\Sound\sound_i005.wav	
棍	Item	0	2160	2	130	120	\image\item\drop\drop_mod003.Mesh	\image\item\drop\drop_mod003.mtl		\Sound\sound_i005.wav	
暗器	Item	0	2160	2	130	250	\image\item\drop\drop_mod004.Mesh	\image\item\drop\drop_mod004.mtl		\Sound\sound_i005.wav	
单刀	Item	0	2160	2	130	120	\image\item\drop\drop_mod005.Mesh	\image\item\drop\drop_mod005.mtl		\Sound\sound_i005.wav	
琴	Item	0	2160	2	130	120	\image\item\drop\drop_mod006.Mesh	\image\item\drop\drop_mod006.mtl		\Sound\sound_i005.wav	
笔	Item	0	2160	2	130	120	\image\item\drop\drop_mod007.Mesh	\image\item\drop\drop_mod007.mtl		\Sound\sound_i005.wav	
锡杖	Item	0	2160	2	130	120	\image\item\drop\drop_mod008.Mesh	\image\item\drop\drop_mod008.mtl		\Sound\sound_i005.wav	
枪	Item	0	2160	2	130	120	\image\item\drop\drop_mod032.Mesh	\image\item\drop\drop_mod032.mtl		\Sound\sound_i005.wav	
弓	Item	0	2160	2	130	120	\image\item\drop\drop_mod033.Mesh	\image\item\drop\drop_mod033.mtl		\Sound\sound_i005.wav	
双刀	Item	0	2160	2	130	120	\image\item\drop\drop_mod034.Mesh	\image\item\drop\drop_mod034.mtl		\Sound\sound_i005.wav	
爪	Item	0	2160	2	130	120	\image\item\drop\drop_mod035.Mesh	\image\item\drop\drop_mod035.mtl		\Sound\sound_i005.wav	
上装	Item	0	2160	2	130	120	\image\item\drop\drop_mod009.Mesh	\image\item\drop\drop_mod009.mtl		\Sound\sound_i004.wav	
帽子	Item	0	2160	2	130	120	\image\item\drop\drop_mod010.Mesh	\image\item\drop\drop_mod010.mtl		\Sound\sound_i004.wav	
下装	Item	0	2160	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
已绑定物品	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
已绑定装备	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
已绑定外装	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
圣诞外装	Item	0	1	2	130	120	\image\item\drop\drop_mod011.Mesh	\image\item\drop\drop_mod011.mtl		\Sound\sound_i004.wav	
