CÊp	Ch­a	V« néi	SÜ	SÜ néi	HiÖp	HiÖp néi	Èn	Èn néi
1	50	11	100	11	75	13	50	16
2	100	12	200	12	150	16	100	22
3	150	13	300	13	225	19	150	28
4	200	14	400	14	300	22	200	34
5	250	15	500	15	375	25	250	40
6	300	16	600	16	450	28	300	46
7	350	17	700	17	525	31	350	52
8	400	18	800	18	600	34	400	58
9	450	19	900	19	675	37	450	64
10	500	20	1000	20	750	40	500	70
11	550	21	1100	21	825	43	550	76
12	600	22	1200	22	900	46	600	82
13	650	23	1300	23	975	49	650	88
14	700	24	1400	24	1050	52	700	94
15	750	25	1500	25	1125	55	750	100
16	800	26	1600	26	1200	58	800	106
17	850	27	1700	27	1275	61	850	112
18	900	28	1800	28	1350	64	900	118
19	950	29	1900	29	1425	67	950	124
20	1000	30	2000	30	1500	70	1000	130
21	1050	31	2100	31	1575	73	1050	136
22	1100	32	2200	32	1650	76	1100	142
23	1150	33	2300	33	1725	79	1150	148
24	1200	34	2400	34	1800	82	1200	154
25	1250	35	2500	35	1875	85	1250	160
26	1300	36	2600	36	1950	88	1300	166
27	1350	37	2700	37	2025	91	1350	172
28	1400	38	2800	38	2100	94	1400	178
29	1450	39	2900	39	2175	97	1450	184
30	1500	40	3000	40	2250	100	1500	190
31	1550	41	3100	41	2325	103	1550	196
32	1600	42	3200	42	2400	106	1600	202
33	1650	43	3300	43	2475	109	1650	208
34	1700	44	3400	44	2550	112	1700	214
35	1750	45	3500	45	2625	115	1750	220
36	1800	46	3600	46	2700	118	1800	226
37	1850	47	3700	47	2775	121	1850	232
38	1900	48	3800	48	2850	124	1900	238
39	1950	49	3900	49	2925	127	1950	244
40	2000	50	4000	50	3000	130	2000	250
41	2050	51	4100	51	3075	133	2050	256
42	2100	52	4200	52	3150	136	2100	262
43	2150	53	4300	53	3225	139	2150	268
44	2200	54	4400	54	3300	142	2200	274
45	2250	55	4500	55	3375	145	2250	280
46	2300	56	4600	56	3450	148	2300	286
47	2350	57	4700	57	3525	151	2350	292
48	2400	58	4800	58	3600	154	2400	298
49	2450	59	4900	59	3675	157	2450	304
50	2500	60	5000	60	3750	160	2500	310
51	2550	61	5100	61	3825	163	2550	316
52	2600	62	5200	62	3900	166	2600	322
53	2650	63	5300	63	3975	169	2650	328
54	2700	64	5400	64	4050	172	2700	334
55	2750	65	5500	65	4125	175	2750	340
56	2800	66	5600	66	4200	178	2800	346
57	2850	67	5700	67	4275	181	2850	352
58	2900	68	5800	68	4350	184	2900	358
59	2950	69	5900	69	4425	187	2950	364
60	3000	70	6000	70	4500	190	3000	370
61	3050	71	6100	71	4575	193	3050	376
62	3100	72	6200	72	4650	196	3100	382
63	3150	73	6300	73	4725	199	3150	388
64	3200	74	6400	74	4800	202	3200	394
65	3250	75	6500	75	4875	205	3250	400
66	3300	76	6600	76	4950	208	3300	406
67	3350	77	6700	77	5025	211	3350	412
68	3400	78	6800	78	5100	214	3400	418
69	3450	79	6900	79	5175	217	3450	424
70	3500	80	7000	80	5250	220	3500	430
71	3550	81	7100	81	5325	223	3550	436
72	3600	82	7200	82	5400	226	3600	442
73	3650	83	7300	83	5475	229	3650	448
74	3700	84	7400	84	5550	232	3700	454
75	3750	85	7500	85	5625	235	3750	460
76	3800	86	7600	86	5700	238	3800	466
77	3850	87	7700	87	5775	241	3850	472
78	3900	88	7800	88	5850	244	3900	478
79	3950	89	7900	89	5925	247	3950	484
80	4000	90	8000	90	6000	250	4000	490
81	4050	91	8100	91	6075	253	4050	496
82	4100	92	8200	92	6150	256	4100	502
83	4150	93	8300	93	6225	259	4150	508
84	4200	94	8400	94	6300	262	4200	514
85	4250	95	8500	95	6375	265	4250	520
86	4300	96	8600	96	6450	268	4300	526
87	4350	97	8700	97	6525	271	4350	532
88	4400	98	8800	98	6600	274	4400	538
89	4450	99	8900	99	6675	277	4450	544
90	4500	100	9000	100	6750	280	4500	550
91	4550	101	9100	101	6825	283	4550	556
92	4600	102	9200	102	6900	286	4600	562
93	4650	103	9300	103	6975	289	4650	568
94	4700	104	9400	104	7050	292	4700	574
95	4750	105	9500	105	7125	295	4750	580
96	4800	106	9600	106	7200	298	4800	586
97	4850	107	9700	107	7275	301	4850	592
98	4900	108	9800	108	7350	304	4900	598
99	4950	109	9900	109	7425	307	4950	604
