AttrId	AttrName	Rate	Event	Time	SkillId	Attr	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	DescColor	Desc
Sи hi÷u thuйc tЁnh: 	 ф–‘√ы≥∆	 	Thuйc tЁnh phЄt sinh khi (0 chЎ tЄc dфng khi trєng bё, 1 ЃЄnh trуng kќ Ѓёch tЄc dфng l™n bґn th©n, 2 ЃЄnh bєi kќ Ѓёch tЄc dфng l™n bґn th©n, 3 bё kќ Ѓёch ЃЄnh trуng tЄc dфng l™n bґn th©n, 4 khi hеi sinh tЄc dфng l™n bґn th©n, 5 khi ЃЄnh trуng kќ Ѓёch cг tЄc dфng l™n ng≠кi kќ Ѓёch, 6 bё kќ Ѓёch ЃЄnh trуng cг tЄc dфng l™n kќ Ѓёch)		N’u lµ thuйc tЁnh kь n®ng, ghi nhЋn ID kь n®ng	Loєi thuйc tЁnh (dЈy kэ tщ)	Trё Lv1	Trё Lv2	Trё Lv3	Trё Lv4	Trё Lv5	Trё Lv6	Trё Lv7	Trё Lv8	Trё Lv9	Trё Lv10	Kэ tщ mµu sЊc mi™u tґ	Chу thЁch
1	»ќ¬цµг—®’ж∆ш					NEED_ZHEN_QI												
2	ґљ¬цµг—®’ж∆ш					NEED_ZHEN_QI												
3	іш¬цµг—®’ж∆ш					NEED_ZHEN_QI												
4	≥е¬цµг—®’ж∆ш					NEED_ZHEN_QI												
5	«ъє«µг—®’ж∆ш					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
6	÷–ЉЂµг—®’ж∆ш					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
7	…сЎ µг—®’ж∆ш					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
8	єЎ‘™µг—®’ж∆ш					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
9	љ®јпµг—®’ж∆ш					NEED_ZHEN_QI	1000	1000	1000	1000	1000	1000						
10	рѓќ≤µг—®’ж∆ш					NEED_ZHEN_QI	1500	1500	1500	1500	1500	1500						
11	лю÷–µг—®’ж∆ш					NEED_ZHEN_QI	1500	1500	1500	1500	1500	1500						
12	Јз≥Ўµг—®’ж∆ш					NEED_ZHEN_QI	2000	2000	2000	2000	2000	2000						
13	∞ўјпµг—®’ж∆ш					NEED_ZHEN_QI	3000	3000	3000	3000	3000	3000						
14	”сћ√µг—®’ж∆ш					NEED_ZHEN_QI	3000	3000	3000	3000	3000	3000						
15	„ѕєђµг—®’ж∆ш					NEED_ZHEN_QI	3000	3000	3000	3000	3000	3000						
16	иѓзбµг—®’ж∆ш					NEED_ZHEN_QI	3000	3000	3000	3000	3000	3000						
17	ЅЃ»™µг—®’ж∆ш					NEED_ZHEN_QI	3000	3000	3000	3000	3000	3000						
18	ћмЌїµг—®’ж∆ш					NEED_ZHEN_QI	3000	3000	3000	3000	3000	3000						
19	–ь аµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
20	Їуґ•µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
21	—∆√≈µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
22	√ь√≈µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
23	÷Ѕ—фµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
24	∞ўїбµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
25	÷– аµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
26	…сµјµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
27	…н÷щµг—®’ж∆ш					NEED_ZHEN_QI	6000	6000	6000	6000	6000	6000						
28	ЈзЄЃµг—®’ж∆ш					NEED_ZHEN_QI	6000	6000	6000	6000	6000	6000						
29	љоЋхµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
30	—ь”бµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
31	Љє÷–µг—®’ж∆ш					NEED_ZHEN_QI	10000	10000	10000	10000	10000	10000						
32	Ѕйћ®µг—®’ж∆ш					NEED_ZHEN_QI	10000	10000	10000	10000	10000	10000						
33	іу„µµг—®’ж∆ш					NEED_ZHEN_QI	10000	10000	10000	10000	10000	10000						
34	“хЅкµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
35	ƒ‘їІµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
36	Њ¶√чµг—®’ж∆ш					NEED_ZHEN_QI	14000	14000	14000	14000	14000	14000						
37	Ќв«рµг—®’ж∆ш					NEED_ZHEN_QI	6000	6000	6000	6000	6000	6000						
38	ћм„Џµг—®’ж∆ш					NEED_ZHEN_QI	6000	6000	6000	6000	6000	6000						
39	ЉзЊЃµг—®’ж∆ш					NEED_ZHEN_QI	7000	7000	7000	7000	7000	7000						
40	Ќкє«µг—®’ж∆ш					NEED_ZHEN_QI	7000	7000	7000	7000	7000	7000						
41	’э”™µг—®’ж∆ш					NEED_ZHEN_QI	7000	7000	7000	7000	7000	7000						
42	ќђµјµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
43	±Њ…сµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
44	—ф∞„µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
45	ћм≥еµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
46	≥–Ѕйµг—®’ж∆ш					NEED_ZHEN_QI	9000	9000	9000	9000	9000	9000						
47	ƒњі∞µг—®’ж∆ш					NEED_ZHEN_QI	9000	9000	9000	9000	9000	9000						
48	єв√чµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
49	–ь÷”µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
50	ќе аµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
51	…ў≥еµг—®’ж∆ш					NEED_ZHEN_QI	13000	13000	13000	13000	13000	13000						
52	іуЇ’µг—®’ж∆ш					NEED_ZHEN_QI	6000	6000	6000	6000	6000	6000						
53	…ћ«ъµг—®’ж∆ш					NEED_ZHEN_QI	6000	6000	6000	6000	6000	6000						
54	“хґЉµг—®’ж∆ш					NEED_ZHEN_QI	7000	7000	7000	7000	7000	7000						
55	”ƒ√≈µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
56	Їбє«µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
57	ћЂ““µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
58	√§”бµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
59	Ћƒ¬ъµг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
60	÷–„Ґµг—®’ж∆ш					NEED_ZHEN_QI	12000	12000	12000	12000	12000	12000						
61	∆ш—®µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
62	 ѓєЎµг—®’ж∆ш					NEED_ZHEN_QI	12000	12000	12000	12000	12000	12000						
63	Ќ®є»µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
64	єЎ√≈µг—®’ж∆ш					NEED_ZHEN_QI	8000	8000	8000	8000	8000	8000						
65	∆ш≥еµг—®’ж∆ш					NEED_ZHEN_QI	13000	13000	13000	13000	13000	13000						
66	ї™Є«µг—®’ж∆ш					NEED_ZHEN_QI	4000	4000	4000	4000	4000	4000						
67	»ќ¬цЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
68	ґљ¬цЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
69	іш¬цЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
70	≥е¬цЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
71	«ъє«Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
72	÷–ЉЂЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
73	…сЎ Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
74	єЎ‘™Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
75	љ®јпЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
76	рѓќ≤Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
77	лю÷–Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
78	Јз≥ЎЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
79	∞ўјпЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
80	”сћ√Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
81	„ѕєђЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
82	иѓзбЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
83	ЅЃ»™Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
84	ћмЌїЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
85	–ь аЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
86	Їуґ•Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
87	—∆√≈Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
88	√ь√≈Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
89	÷Ѕ—фЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
90	∞ўїбЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
91	÷– аЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
92	…сµјЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
93	…н÷щЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
94	ЈзЄЃЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
95	љоЋхЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
96	—ь”бЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
97	Љє÷–Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
98	Ѕйћ®Њ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
99	іу„µЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
100	“хЅкЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
101	ƒ‘їІЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
102	Њ¶√чЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
103	Ќв«рЊ≥љз–и«у					NEED_JING_JIE	1	2	3	4	5	6						
