ConId	FromNodeId	ToNodeId	PathPos1	PathPos2
Id k’t nËi	Id huy÷t vﬁ ban Æ«u	Id huy÷t vﬁ k’t thÛc	ß≠Íng Æi”m 1 (l÷ch so vÌi FromNode)	ß≠Íng Æi”m 2
1	1	5		
2	5	6		
3	6	7		
4	5	8	0;3	
5	8	9		
6	7	10	1;0	1;-3
7	7	11		
8	10	12		
9	11	12	4;0	4;-3
10	12	14		
11	14	16		
12	14	18	-5;0	-5;-3
13	18	15		
14	16	17		
15	15	66	-3;0	
16	17	66		
17	66	13		
18	2	19	-2;0	-2;-3
19	2	23		
20	2	27	-2;0	-2;3
21	19	20		
22	20	25	-3;0	
23	23	24		
24	24	25		
25	27	28		
26	28	25	-3;0	
27	25	21	-2;0	-2;-3
28	25	26	-2;0	-2;3
29	21	22		
30	26	22	-2;0	-2;-6
31	22	30		
32	22	29	0;-2	4;-2
33	30	31	0;-3	
34	29	31		
35	31	32		
36	32	33		
37	33	34		
38	33	35	0;3	
39	35	36		
40	34	36	2;0	2;3
41	3	37		
42	37	38		
43	38	39	0;-2	
44	38	41	0;2	
45	39	40		
46	41	42		
47	40	43	2;0	2;4
48	42	43		
49	43	44		
50	43	45		
51	45	47	0;-3	
52	45	46	0;-6	
53	47	48	-4;0	
54	46	48		
55	48	49		
56	48	50	-2;0	-2;3
57	49	51		
58	50	51	-3;0	-3;-3
59	4	52		
60	52	53		
61	53	54		
62	54	55	-2;0	-2;-2
63	54	57	-2;0	-2;2
64	57	56		
65	55	58		
66	58	60	0;-3	
67	60	59		
68	60	61		
69	61	62		
70	62	63		
71	62	64	3;0	3;3
72	63	65		
73	64	65	2;0	2;-3
