Id	TypeId	Name	Image	BgImage	Pos	MaxLevel	SkillAttrId	AttrId1	AttrId2	AttrId3	NeedZhenQiAttrId	NeedJingJieAttrId	NeedPreNodeLvAttrId	Script	Rate4	Consume4	Rate5	Consume5	Rate6	Consume6
Id huyÖt vŞ	ID thuéc kinh m¹ch	Tªn huyÖt vŞ	Í¼±ê,Ö»ÌîÎÄ¼şÃû£¬Â·¾¶ÊÇ"\\UImage\\µÚÈı°æ\\j¾­Âö\\node\\"	µ×Í¼£¬Ö»ÌîÎÄ¼şÃû£¬Â·¾¶ÊÇ"\\UImage\\µÚÈı°æ\\j¾­Âö\\node\\"	Täa ®é x;y trªn giao diÖn 	TÇng sè lín nhÊt	Attr Id kü n¨ng mang theo	Thuéc tİnh 1	Thuéc tİnh 2	Thuéc tİnh 3	Ch©n khİ cÇn tiªu hao ®Ó ®iÓm huyÖt	C¶nh giíi cÇn ®Ó kİch ho¹t huyÖt vŞ	TÇng sè huyÖt vŞ ban ®Çu cÇn	½Å±¾ÎÄ¼ş£¬Â·¾¶Îª(\\script\\meridian\\)½Å±¾µÄÏŞÖÆÌõ¼şĞ´ÔÚ½Å±¾ÖĞ						
1	1	NhËm M¹ch	ÄÚ¹¦»áĞÄÂÌ.spr	ÈÎÂöÆæÑ¨µ×.spr	2;12	6		267			1	67	133	node_update_1.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
2	2	§èc M¹ch	Íâ¹¦¹¥»÷»Æ.spr	¶½ÂöÆæÑ¨µ×.spr	46;12	6		268			2	68	134	node_update_2.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
3	3	§íi M¹ch	Íâ¹¦·ÀÓùºì.spr	´øÂöÆæÑ¨µ×.spr	2;29	6		269			3	69	135	node_update_3.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
4	4	Xung M¹ch	ÄÚ¹¦¹¥»÷À¶.spr	³åÂöÆæÑ¨µ×.spr	46;29	6		270			4	70	136	node_update_4.lua	2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
5	1	Khóc Cèt	ÄÚ¹¦·ÀÓùÂÌ.spr		5;12	6		199			5	71	137		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
6	1	Trung Cùc	ÔË¹¦ÂÌ.spr		8;12	6		200			6	72	138		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
7	1	ThÇn QuyÕt	ÅÜËÙÂÌ.spr		12;12	6		201			7	73	139		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
8	1	Quan Nguyªn	¾­ÑéÂÌ.spr		8;15	6		202			8	74	140		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
9	1	KiÕn Li	³éÏóÂÌ.spr		12;15	6		203			9	75	141		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
10	1	C­u VÜ	ÄÚ¹¦ÃüÖĞÂÌ.spr		16;9	6		204			10	76	142		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
11	1	Thiªn Trung	Íâ¹¦ÃüÖĞÂÌ.spr		16;12	6		205			11	77	143		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
12	1	Phong Tr×	ÉÁ±ÜÂÌ.spr		20;9	6		206			12	78	144		2000	jingmailv4	1500	jingmailv5	1000	jingmailv6
