level	exp
1	0 
2	0 
3	0 
4	0 
5	0 
6	0 
7	0 
8	0 
9	0 
10	4134 
11	4884 
12	5860 
13	7120 
14	8228 
15	9075 
16	9947 
17	10799 
18	11586 
19	12258 
20	12422 
21	13043 
22	13206 
23	13506 
24	13928 
25	14464 
26	15110 
27	15865 
28	16733 
29	17717 
30	18825 
31	20063 
32	20919 
33	21930 
34	23096 
35	24424 
36	25922 
37	27600 
38	30505 
39	32602 
40	34931 
41	46189 
42	49035 
43	52223 
44	55776 
45	59724 
46	64100 
47	68943 
48	74295 
49	80205 
50	86726 
51	110635 
52	115954 
53	122100 
54	129100 
55	136997 
56	145847 
57	155717 
58	166688 
59	178852 
60	192316 
61	206107 
62	209787 
63	215488 
64	223030 
65	232323 
66	243338 
67	256094 
68	270645 
69	287077 
70	305504 
71	312704 
72	319904 
73	327104 
74	334304 
75	341504 
76	348704 
77	355904 
78	363104 
79	370304 
80	377504 
81	384704 
82	391904 
83	399104 
84	406304 
85	413504 
86	420704 
87	427904 
88	435104 
89	442304 
90	449504 
91	456704 
92	463904 
93	471104 
94	478304 
95	485504 
96	492704 
97	499904 
98	507104 
99	514304 
