IdLv1	Rate1	IdLv2	Rate2	IdLv3	Rate3	IdLv4	Rate4	IdLv5	Rate5	IdLv6	Rate6	IdLv7	Rate7	IdLv8	Rate8	IdLv9	Rate9	IdLv10	Rate10
	10000based		10000based		10000based		10000based		10000based		10000based		10000based		10000based		10000based		10000based
24	6000	1	7000	4	2500	16	3500	27	1500										
25	3000	2	1500	5	2500	17	3500	28	1500										
26	1000	3	1500	6	2500	18	1500	29	1500										
				7	800	19	500	30	1000										
				8	600	20	400	31	1000										
				9	300	21	300	32	1000										
				10	300	22	200	33	1000										
				11	200	23	100	34	1000										
				12	100			35	250										
				13	100			36	250										
				14	50														
				15	50														
