ID	NpcTemplateId	NpcTemplateName	DefaultPetName	Introduce	Level	MinTianZi	MaxTianZi	Skill1	SkillLv1	Skill2	SkillLv2	Skill3	SkillLv3	Skill4	SkillLv4	ModuleOffsetX	ModuleOffsetY	Scale	GlbMsgFlag	BgImage	Describe
0(demon unuseable)	0(for check)	ThiÕt Gi¸p Trïng	ThiÕt Gi¸p Trïng B¶o B¶o	ThiÕt gi¸p trïng lanh lîi, së tr­êng lµ ®¸nh lĞn kÎ ®Şch, thõa c¬ kÎ ®Şch s¬ hë sÏ tÊn c«ng phÇn ®Çu cña kÎ ®Şch.			90									2	-1	80		\spr\bg.spr	this is a deamon 
1	0	§éc Gi¸p Trïng_Pet	§éc Gi¸p Trïng	§éc gi¸p trïng do Ngò §éc Gi¸o chÕ t¹o ra, th©n h×nh nhá nh­ng ®éc tİnh rÊt m¹nh, khi bŞ tÊn c«ng sÏ phãng thuèc ®éc ®Ó däa kÎ ®Şch.	2	30	40	30090	2							0	-70	100			1
2	0	D¬i_Pet	D¬i	Èn c­ l©u n¨m trong H¾c Phong §éng, cã mét ®«i thiªn lı nh·n, khi kÎ ®Şch ch­a kŞp ®Õn gÇn th× con d¬i ®· tÊn c«ng ®èi ph­¬ng.	2	30	40	30092	2							0	-120	100			2
3	0	Hå Ly_Pet	Hå Ly	Hå ly nhanh nh¹y, së h÷u ®«i tai linh ho¹t, cã thÓ ®Şnh vŞ chİnh x¸c th«ng qua ©m thanh, ®«i ch©n kháe m¹nh ch¹y nhanh tho¨n tho¾t.	2	30	40	30096	2									80			3
4	0	Sãi §iªn_Pet	Sãi ®iªn	Sãi hung b¹o, thİch di chuyÓn trong ®ªm tèi, nÕu cã kÎ x©m ph¹m sÏ lËp tøc tÊn c«ng kÎ ®Şch.	3	35	45	30101	3									80			4
5	0	Qu¹ §en_Pet	Qu¹ §en	Thİch ë nh÷ng n¬i t¨m tèi, tiÕng kªu cã thÓ khiÕn cho kÎ ®Şch bŞ cho¸ng, th­êng khi bŞ tÊn c«ng míi ph¸t ra tiÕng kªu.	3	35	45	30090	3							0	-120	100			5
6	0	C¸ SÊu1_Pet	C¸ sÊu	Sù kiªn nhÉn rÊt m¹nh, cã thÓ bÊt ®éng trong thêi gian dµi, ®Ó bŞ cho r»ng lµ ®· chÕt, nh­ng khi tiÕp cËn th× sÏ bŞ c¾n.	3	35	45	30099	3									100			6
7	0	Cãc 1_Pet	C¸p M«	Sèng ë d­íi n­íc vµ trªn bê, th­êng dïng chiÕc l­ìi võa dµi võa dİnh ®Ó tÊn c«ng kÎ ®Şch.	3	35	45	30090	3									110			7
8	0	D¬i Hót M¸u_Pet	D¬i hót m¸u	D¬i ®Õn tõ Phong Ma §éng, th©n h×nh nhá. Th­êng ho¹t ®éng sau khi trêi tèi, thİch hót m¸u cña nh÷ng ®éng vËt kh¸c nhau.	3	36	45	30101	3							0	-120	100			8
9	0	Bß C¹p_Pet	Bß c¹p	Bä c¹p cã søc m¹nh to lín, së h÷u 2 c¸i cµng s¾c bĞn, khi b¶n th©n bŞ uy hiÕp sÏ dïng vò lùc ®Ó chèng l¹i.	3	40	50	30092	3									80			9
10	0	Ng©n Hå_Pet	Ng©n Hå	Ng©n hå mµu tuyÕt tr¾ng, thİch sù ®éc lËp, cã b¶n lÜnh phi th­êng, khi liªn tôc ph¸t ra tiÕng kªu nghÜa lµ chuÈn bŞ tÊn c«ng.	3	40	50	30094	3									80			10
11	0	Th­¬ng Viªn_Pet	Th­¬ng Viªn	Con v­în ®¸ng yªu, tİnh t×nh hiÒn lµnh, nÕu b¹n ®ång hµnh bŞ tÊn c«ng sÏ x¶ th©n cøu viÖn.	3	40	50	30094	3									100			11
