CÊp	danh väng cao nhÊt	Danh väng m«n ph¸i cao nhÊt	M«n ph¸i_danh väng mçi ngµy cao nhÊt (th­êng)	M«n ph¸i_danh väng mçi ngµy cao nhÊt (cao cÊp)
1	500	50	15	30
2	500	50	15	30
3	500	50	15	30
4	500	50	15	30
5	500	50	15	30
6	500	50	15	30
7	500	50	15	30
8	500	50	15	30
9	500	50	15	30
10	500	50	15	30
11	1000	50	15	30
12	1000	50	15	30
13	1000	50	15	30
14	1000	50	15	30
15	1000	50	15	30
16	1000	50	15	30
17	1000	50	15	30
18	1000	50	15	30
19	1000	50	15	30
20	1000	50	15	30
21	1000	50	15	30
22	1000	50	15	30
23	1000	50	15	30
24	1000	50	15	30
25	1000	50	15	30
26	1000	50	15	30
27	1000	50	15	30
28	1000	50	15	30
29	1000	50	15	30
30	1000	50	15	30
31	9000	50	25	50
32	9000	50	25	50
33	9000	50	25	50
34	9000	50	25	50
35	9000	50	25	50
36	9000	60	25	50
37	9000	70	25	50
38	9000	80	25	50
39	9000	90	25	50
40	9000	100	25	50
41	9000	120	25	50
42	9000	150	25	50
43	9000	170	25	50
44	9000	190	25	50
45	9000	210	25	50
46	9000	230	25	50
47	9000	250	25	50
48	9000	270	25	50
49	9000	290	25	50
50	9000	300	25	50
51	22500	350	35	70
52	22500	400	35	70
53	22500	450	35	70
54	22500	500	35	70
55	22500	550	35	70
56	22500	600	35	70
57	22500	650	35	70
58	22500	700	35	70
59	22500	750	35	70
60	22500	800	35	70
61	22500	1000	45	90
62	22500	1200	45	90
63	22500	1400	45	90
64	22500	1600	45	90
65	22500	1800	45	90
66	22500	2000	45	90
67	22500	2250	45	90
68	22500	2500	45	90
69	22500	2750	45	90
70	22500	3000	50	100
71	45000	3600	50	100
72	45000	4200	50	100
73	45000	4800	50	100
74	45000	5400	50	100
75	45000	6000	50	100
76	45000		50	100
77	45000		50	100
78	45000		50	100
79	45000		50	100
80	45000		50	100
81			50	100
82			50	100
83			50	100
84			50	100
85			50	100
86			50	100
87			50	100
88			50	100
89			50	100
90			50	100
91			50	100
92			50	100
93			50	100
94			50	100
95			50	100
96			50	100
97			50	100
98			50	100
99			50	100
