TaskId	RecycleVersion	AccessCode	ClientModify	_belong_system	_remark

0	0	0	0	old system	NhiÖm vô biÕn l­îng thu håi
1	0	0	0	old system	KD_TASK_CURRENT_VERSION + 1
2	0	0	0	old system	ThiÕt lËp RecycleVersion t­¬ng øng víi nhiÖm vô biÕn l­îng muèn thu håi
3	0	0	0	old system	
4	0	0	0	old system	
5	0	0	0	old system	
6	0	0	0	old system	
7	0	0	0	old system	
8	0	0	0	old system	
9	0	0	0	old system	
10	0	0	0	old system	
11	0	0	0	old system	
12	0	0	0	old system	
13	0	0	0	old system	
14	0	0	0	old system	
15	0	0	0	old system	
16	0	0	0	old system	
17	0	0	0	old system	
18	0	0	0	old system	
19	0	0	0	old system	
20	0	0	0	old system	
21	0	0	0	old system	
22	0	0	0	old system	
23	0	0	0	old system	
24	0	0	0	old system	
25	0	0	0	old system	
26	0	0	0	old system	
27	0	0	0	old system	
28	0	0	0	old system	
29	0	0	0	old system	
30	0	0	0	old system	
31	0	0	0	old system	
32	0	0	0	old system	
33	0	0	0	old system	
34	0	0	0	old system	
35	0	0	0	old system	
36	0	0	0	old system	
37	0	0	0	old system	
38	0	0	0	old system	
39	0	0	0	old system	
40	0	0	0	old system	
41	0	0	0	old system	
42	0	0	0	old system	
43	0	0	0	old system	
44	0	0	0	old system	
45	0	0	0	old system	
46	0	0	0	old system	
47	0	0	0	old system	
48	0	0	0	old system	
49	0	0	0	old system	
50	0	0	0	old system	
51	0	0	0	old system	
52	0	0	0	old system	
53	0	0	0	old system	
54	0	0	0	old system	
55	0	0	0	old system	
56	0	0	0	old system	
57	0	0	0	old system	
58	0	0	0	old system	
59	0	0	0	old system	
60	0	0	0	old system	
61	0	0	0	old system	
62	0	0	0	old system	
63	0	0	0	old system	
64	0	0	0	old system	
65	0	0	0	old system	
66	0	0	0	old system	
67	0	0	0	old system	
68	0	0	0	old system	
69	0	0	0	old system	
70	0	0	0	old system	
71	0	0	0	old system	
72	0	0	0	old system	
73	0	0	0	old system	
74	0	0	0	old system	
75	0	0	0	old system	
76	0	0	0	old system	
77	0	0	0	old system	
78	0	0	0	old system	
79	0	0	0	old system	
80	0	0	0	old system	
81	0	0	0	old system	
82	0	0	0	old system	
83	0	0	0	old system	
84	0	0	0	old system	
85	0	0	0	old system	
86	0	0	0	old system	
87	0	0	0	old system	
88	0	0	0	old system	
89	0	0	0	old system	
90	0	0	0	old system	
91	0	0	0	old system	
92	0	0	0	old system	
93	0	0	0	old system	
94	0	0	0	old system	
95	0	0	0	old system	
96	0	0	0	old system	
97	0	0	0	old system	
98	0	0	0	old system	
99	0	0	0	old system	
100	0	0	0	old system	
101	0	0	0	old system	
102	0	0	0	old system	
103	0	0	0	old system	
104	0	0	0	old system	
105	0	0	0	old system	
106	0	0	0	old system	
107	0	0	0	old system	
108	0	0	0	old system	
109	0	0	0	old system	
110	0	0	0	old system	
111	0	0	0	old system	
112	0	0	0	old system	
113	0	0	0	old system	
114	0	0	0	old system	
115	0	0	0	old system	
116	0	0	0	old system	
117	0	0	0	old system	
118	0	0	0	old system	
119	0	0	0	old system	
120	0	0	0	old system	
121	0	0	0	old system	
122	0	0	0	old system	
123	0	0	0	old system	
124	0	0	0	old system	
125	0	0	0	old system	
126	0	0	0	old system	
127	0	0	0	old system	
128	0	0	0	old system	
129	0	0	0	old system	
130	0	0	0	old system	
131	0	0	0	old system	
132	0	0	0	old system	
133	0	0	0	old system	
134	0	0	0	old system	
135	0	0	0	old system	
136	0	0	0	old system	
137	0	0	0	old system	
138	0	0	0	old system	
139	0	0	0	old system	
140	0	0	0	old system	
141	0	0	0	old system	
142	0	0	0	old system	
143	0	0	0	old system	
144	0	0	0	old system	
145	0	0	0	old system	
146	0	0	0	old system	
147	0	0	0	old system	
148	0	0	0	old system	
149	0	0	0	old system	
150	0	0	0	old system	
151	0	0	0	old system	
152	0	0	0	old system	
153	0	0	0	old system	
154	0	0	0	old system	
155	0	0	0	old system	
156	0	0	0	old system	
157	0	0	0	old system	
158	0	0	0	old system	
159	0	0	0	old system	
160	0	0	0	old system	
161	0	0	0	old system	
162	0	0	0	old system	
163	0	0	0	old system	
164	0	0	0	old system	
165	0	0	0	old system	
166	0	0	0	old system	
167	0	0	0	old system	
168	0	0	0	old system	
169	0	0	0	old system	
170	0	0	0	old system	
171	0	0	0	old system	
172	0	0	0	old system	
173	0	0	0	old system	
174	0	0	0	old system	
175	0	0	0	old system	
176	0	0	0	old system	
177	0	0	0	old system	
178	0	0	0	old system	
179	0	0	0	old system	
180	0	0	0	old system	
181	0	0	0	old system	
182	0	0	0	old system	
183	0	0	0	old system	
184	0	0	0	old system	
185	0	0	0	old system	
186	0	0	0	old system	
187	0	0	0	old system	
188	0	0	0	old system	
189	0	0	0	old system	
190	0	0	0	old system	
191	0	0	0	old system	
192	0	0	0	old system	
193	0	0	0	old system	
194	0	0	0	old system	
195	0	0	0	old system	
196	0	0	0	old system	
197	0	0	0	old system	
198	0	0	0	old system	
199	0	0	0	old system	
200	0	0	0	old system	
201	0	0	0	old system	
202	0	0	0	old system	
203	0	0	0	old system	
204	0	0	0	old system	
205	0	0	0	old system	
206	0	0	0	old system	
207	0	0	0	old system	
208	0	0	0	old system	
209	0	0	0	old system	
210	0	0	0	old system	
211	0	0	0	old system	
212	0	0	0	old system	
213	0	0	0	old system	
214	0	0	0	old system	
215	0	0	0	old system	
216	0	0	0	old system	
217	0	0	0	old system	
218	0	0	0	old system	
219	0	0	0	old system	
220	0	0	0	old system	
221	0	0	0	old system	
222	0	0	0	old system	
223	0	0	0	old system	
224	0	0	0	old system	
225	0	0	0	old system	
226	0	0	0	old system	
227	0	0	0	old system	
228	0	0	0	old system	
229	0	0	0	old system	
230	0	0	0	old system	
231	0	0	0	old system	
232	0	0	0	old system	
233	0	0	0	old system	
234	0	0	0	old system	
235	0	0	0	old system	
236	0	0	0	old system	
237	0	0	0	old system	
238	0	0	0	old system	
239	0	0	0	old system	
240	0	0	0	old system	
241	0	0	0	old system	
242	0	0	0	old system	
243	0	0	0	old system	
244	0	0	0	old system	
245	0	0	0	old system	
246	0	0	0	old system	
247	0	0	0	old system	
248	0	0	0	old system	
249	0	0	0	old system	
250	0	0	0	old system	
251	0	0	0	old system	
252	0	0	0	old system	
253	0	0	0	old system	
254	0	0	0	old system	
255	0	0	0	old system	
256	0	0	0	old system	
257	0	0	0	old system	
258	0	0	0	old system	
259	0	0	0	old system	
260	0	0	0	old system	
261	0	0	0	old system	
262	0	0	0	old system	
263	0	0	0	old system	
264	0	0	0	old system	
265	0	0	0	old system	
266	0	0	0	old system	
267	0	0	0	old system	
268	0	0	0	old system	
269	0	0	0	old system	
270	0	0	0	old system	
271	0	0	0	old system	
272	0	0	0	old system	
273	0	0	0	old system	
274	0	0	0	old system	
275	0	0	0	old system	
276	0	0	0	old system	
277	0	0	0	old system	
278	0	0	0	old system	
279	0	0	0	old system	
280	0	0	0	old system	
281	0	0	0	old system	
282	0	0	0	old system	
283	0	0	0	old system	
284	0	0	0	old system	
285	0	0	0	old system	
286	0	0	0	old system	
287	0	0	0	old system	
288	0	0	0	old system	
289	0	0	0	old system	
290	0	0	0	old system	
291	0	0	0	old system	
292	0	0	0	old system	
293	0	0	0	old system	
294	0	0	0	old system	
295	0	0	0	old system	
296	0	0	0	old system	
297	0	0	0	old system	
298	0	0	0	old system	
299	0	0	0	old system	
300	0	0	0	old system	
301	0	0	0	old system	
302	0	0	0	old system	
303	0	0	0	old system	
304	0	0	0	old system	
305	0	0	0	old system	
306	0	0	0	old system	
307	0	0	0	old system	
308	0	0	0	old system	
309	0	0	0	old system	
310	0	0	0	old system	
311	0	0	0	old system	
312	0	0	0	old system	
313	0	0	0	old system	
314	0	0	0	old system	
315	0	0	0	old system	
316	0	0	0	old system	
317	0	0	0	old system	
318	0	0	0	old system	
319	0	0	0	old system	
320	0	0	0	old system	
321	0	0	0	old system	
322	0	0	0	old system	
323	0	0	0	old system	
324	0	0	0	old system	
325	0	0	0	old system	
326	0	0	0	old system	
327	0	0	0	old system	
328	0	0	0	old system	
329	0	0	0	old system	
330	0	0	0	old system	
331	0	0	0	old system	
332	0	0	0	old system	
333	0	0	0	old system	
334	0	0	0	old system	
335	0	0	0	old system	
336	0	0	0	old system	
337	0	0	0	old system	
338	0	0	0	old system	
339	0	0	0	old system	
340	0	0	0	old system	
341	0	0	0	old system	
342	0	0	0	old system	
343	0	0	0	old system	
344	0	0	0	old system	
345	0	0	0	old system	
346	0	0	0	old system	
347	0	0	0	old system	
348	0	0	0	old system	
349	0	0	0	old system	
350	0	0	0	old system	
351	0	0	0	old system	
352	0	0	0	old system	
353	0	0	0	old system	
354	0	0	0	old system	
355	0	0	0	old system	
356	0	0	0	old system	
357	0	0	0	old system	
358	0	0	0	old system	
359	0	0	0	old system	
360	0	0	0	old system	
361	0	0	0	old system	
362	0	0	0	old system	
363	0	0	0	old system	
364	0	0	0	old system	
365	0	0	0	old system	
366	0	0	0	old system	
367	0	0	0	old system	
368	0	0	0	old system	
369	0	0	0	old system	
370	0	0	0	old system	
371	0	0	0	old system	
372	0	0	0	old system	
373	0	0	0	old system	
374	0	0	0	old system	
375	0	0	0	old system	
376	0	0	0	old system	
377	0	0	0	old system	
378	0	0	0	old system	
379	0	0	0	old system	
380	0	0	0	old system	
381	0	0	0	old system	
382	0	0	0	old system	
383	0	0	0	old system	
384	0	0	0	old system	
385	0	0	0	old system	
386	0	0	0	old system	
387	0	0	0	old system	
388	0	0	0	old system	
389	0	0	0	old system	
390	0	0	0	old system	
391	0	0	0	old system	
392	0	0	0	old system	
393	0	0	0	old system	
394	0	0	0	old system	
395	0	0	0	old system	
396	0	0	0	old system	
397	0	0	0	old system	
398	0	0	0	old system	
399	0	0	0	old system	
400	0	0	0	old system	
401	0	0	0	old system	
402	0	0	0	old system	
403	0	0	0	old system	
404	0	0	0	old system	
405	0	0	0	old system	
406	0	0	0	old system	
407	0	0	0	old system	
408	0	0	0	old system	
409	0	0	0	old system	
410	0	0	0	old system	
411	0	0	0	old system	
412	0	0	0	old system	
413	0	0	0	old system	
414	0	0	0	old system	
415	0	0	0	old system	
416	0	0	0	old system	
417	0	0	0	old system	
418	0	0	0	old system	
419	0	0	0	old system	
420	0	0	0	old system	
421	0	0	0	old system	
422	0	0	0	old system	
423	0	0	0	old system	
424	0	0	0	old system	
425	0	0	0	old system	
426	0	0	0	old system	
427	0	0	0	old system	
428	0	0	0	old system	
429	0	0	0	old system	
430	0	0	0	old system	
431	0	0	0	old system	
432	0	0	0	old system	
433	0	0	0	old system	
434	0	0	0	old system	
435	0	0	0	old system	
436	0	0	0	old system	
437	0	0	0	old system	
438	0	0	0	old system	
439	0	0	0	old system	
440	0	0	0	old system	
441	0	0	0	old system	
442	0	0	0	old system	
443	0	0	0	old system	
444	0	0	0	old system	
445	0	0	0	old system	
446	0	0	0	old system	
447	0	0	0	old system	
448	0	0	0	old system	
449	0	0	0	old system	
450	0	0	0	old system	
451	0	0	0	old system	
452	0	0	0	old system	
453	0	0	0	old system	
454	0	0	0	old system	
455	0	0	0	old system	
456	0	0	0	old system	
457	0	0	0	old system	
458	0	0	0	old system	
459	0	0	0	old system	
460	0	0	0	old system	
461	0	0	0	old system	
462	0	0	0	old system	
463	0	0	0	old system	
464	0	0	0	old system	
465	0	0	0	old system	
466	0	0	0	old system	
467	0	0	0	old system	
468	0	0	0	old system	
469	0	0	0	old system	
470	0	0	0	old system	
471	0	0	0	old system	
472	0	0	0	old system	
473	0	0	0	old system	
474	0	0	0	old system	
475	0	0	0	old system	
476	0	0	0	old system	
477	0	0	0	old system	
478	0	0	0	old system	
479	0	0	0	old system	
480	0	0	0	old system	
481	0	0	0	old system	
482	0	0	0	old system	
483	0	0	0	old system	
484	0	0	0	old system	
485	0	0	0	old system	
486	0	0	0	old system	
487	0	0	0	old system	
488	0	0	0	old system	
489	0	0	0	old system	
490	0	0	0	old system	
491	0	0	0	old system	
492	0	0	0	old system	
493	0	0	0	old system	
494	0	0	0	old system	
495	0	0	0	old system	
496	0	0	0	old system	
497	0	0	0	old system	
498	0	0	0	old system	
499	0	0	0	old system	
500	0	0	0	old system	
501	0	0	0	old system	
502	0	0	0	old system	
503	0	0	0	old system	
504	0	0	0	old system	
505	0	0	0	old system	
506	0	0	0	old system	
507	0	0	0	old system	
508	0	0	0	old system	
509	0	0	0	old system	
510	0	0	0	old system	
511	0	0	0	old system	
512	0	0	0	old system	
513	0	0	0	old system	
514	0	0	0	old system	
515	0	0	0	old system	
516	0	0	0	old system	
517	0	0	0	old system	
518	0	0	0	old system	
519	0	0	0	old system	
520	0	0	0	old system	
521	0	0	0	old system	
522	0	0	0	old system	
523	0	0	0	old system	
524	0	0	0	old system	
525	0	0	0	old system	
526	0	0	0	old system	
527	0	0	0	old system	
528	0	0	0	old system	
529	0	0	0	old system	
530	0	0	0	old system	
531	0	0	0	old system	
532	0	0	0	old system	
533	0	0	0	old system	
534	0	0	0	old system	
535	0	0	0	old system	
536	0	0	0	old system	
537	0	0	0	old system	
538	0	0	0	old system	
539	0	0	0	old system	
540	0	0	0	old system	
541	0	0	0	old system	
542	0	0	0	old system	
543	0	0	0	old system	
544	0	0	0	old system	
545	0	0	0	old system	
546	0	0	0	old system	
547	0	0	0	old system	
548	0	0	0	old system	
549	0	0	0	old system	
550	0	0	0	old system	
551	0	0	0	old system	
552	0	0	0	old system	
553	0	0	0	old system	
554	0	0	0	old system	
555	0	0	0	old system	
556	0	0	0	old system	
557	0	0	0	old system	
558	0	0	0	old system	
559	0	0	0	old system	
560	0	0	0	old system	
561	0	0	0	old system	
562	0	0	0	old system	
563	0	0	0	old system	
564	0	0	0	old system	
565	0	0	0	old system	
566	0	0	0	old system	
567	0	0	0	old system	
568	0	0	0	old system	
569	0	0	0	old system	
570	0	0	0	old system	
571	0	0	0	old system	
572	0	0	0	old system	
573	0	0	0	old system	
574	0	0	0	old system	
575	0	0	0	old system	
576	0	0	0	old system	
577	0	0	0	old system	
578	0	0	0	old system	
579	0	0	0	old system	
580	0	0	0	old system	
581	0	0	0	old system	
582	0	0	0	old system	
583	0	0	0	old system	
584	0	0	0	old system	
585	0	0	0	old system	
586	0	0	0	old system	
587	0	0	0	old system	
588	0	0	0	old system	
589	0	0	0	old system	
590	0	0	0	old system	
591	0	0	0	old system	
592	0	0	0	old system	
593	0	0	0	old system	
