NpcTemplateName	RevivalName	CorpseType	AIType	AIInterval	Level	Life	WalkSpeed	AttackSeries	DefenceSeries	AttackRate	DodgeRate	AttackSpeed	PhysicalAttackMin	PhysicalAttackMax	PhysicalDefencePercent	PhysicalDefence	MagicAttackMin	MagicAttackMax	MagicDefencePercent	MagicDefence	SkillID_1	SkillLevel_1	SkillRate_1	SkillID_2	SkillLevel_2	SkillRate_2	SkillID_3	SkillLevel_3	SkillRate_3	SkillID_4	SkillLevel_4	SkillRate_4	PctCriticalPoint	PctCriticalDamage	PctDefCriticalPoint	PctDefCriticalDamage
Sãi x¸m	Sãi x¸m	0	1	6	1	8000	10	0	0	200	80	18	22	45	30	50	0	0	30	50	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Sãi xanh	Sãi xanh	0	1	6	1	7200	11	0	0	220	88	16	0	0	27	45	25	51	27	45	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Sãi ®iªn	Sãi ®iªn	0	1	6	1	8000	10	0	0	200	80	18	22	45	30	50	0	0	30	50	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Thá tr¾ng	Thá rõng	0	1	6	1	3200	17	0	0	200	160	9	12	24	10	10	0	0	10	10	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Thá x¸m	Thá x¸m	0	1	6	1	4000	14	0	0	200	140	9	0	0	10	10	13	27	10	10	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
M· HÇu	M· HÇu	0	1	6	1	4800	11	0	0	400	104	9	12	24	15	25	0	0	24	40	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Th­¬ng Viªn	Th­¬ng Viªn	0	1	6	1	4800	10	0	0	320	96	10	0	0	21	35	16	33	24	40	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Hå Ly	Hå Ly	0	1	6	1	7200	12	0	0	240	128	15	16	33	27	45	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Yªu Hå 2	Linh Hå	0	1	6	1	6400	13	0	0	240	144	15	0	0	21	35	18	36	24	40	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Ng©n Hå	Ng©n Hå	0	1	6	1	5600	14	0	0	240	160	15	21	42	21	35	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Thùc Nh©n Th¶o	Thùc Nh©n Th¶o	0	1	6	1	8000	10	0	0	200	0	18	0	0	10	90	30	60	10	90	704	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Ng­ Qu¸i1	§«ng H¶i Thñy Téc	0	1	6	1	8800	10	0	0	160	80	18	25	51	12	90	0	0	12	90	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Ng­ Qu¸i2	§«ng H¶i Thñy Téc Binh sÜ	0	1	6	1	8800	10	0	0	180	60	18	27	54	12	90	0	0	12	90	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
TuyÕt Qu¸i1	TuyÕt Qu¸i	0	1	6	1	9600	10	0	0	160	40	24	0	0	15	100	22	45	15	100	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
TuyÕt Qu¸i3	B¨ng Qu¸i	0	1	6	1	9600	10	0	0	160	40	24	0	0	15	100	22	45	15	100	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
TiÓu D· tr­	Heo rõng	0	1	6	1	16000	10	0	0	160	24	22	30	60	45	25	0	0	45	25	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
H¾c Tinh Tinh	H¾c Tinh Tinh	0	1	6	1	16000	10	0	0	200	40	20	0	0	50	10	30	60	50	10	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
D· Mao T­îng	D· Mao T­îng	0	1	6	1	19200	10	0	0	140	0	24	0	0	65	10	34	69	65	10	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Mao Ng­u	Mao Ng­u	0	1	6	1	17600	10	0	0	160	8	24	31	63	60	15	0	0	60	15	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
GÊu x¸m	GÊu x¸m	0	1	6	1	17600	10	0	0	140	8	24	36	72	60	10	0	0	60	10	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Nh·n kÝnh xµ	Nh·n KÝnh Xµ	0	1	6	1	4800	12	0	0	300	120	13	40	81	18	20	0	0	18	20	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
RÕt ®éc	RÕt ®éc	0	1	6	1	4800	11	0	0	260	120	13	0	0	20	20	40	81	20	20	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
NhÖn	NhÖn	0	1	6	1	4800	12	0	0	280	140	12	0	0	15	20	39	78	15	20	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Cãc1	Cãc ®éc	0	1	6	1	4800	10	0	0	300	120	14	0	0	21	30	39	78	21	30	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Bß c¹p	Bß c¹p	0	1	6	1	4800	12	0	0	280	120	13	40	81	30	35	0	0	30	35	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Tö D¹ Hæ	Tö D¹ Hæ	0	1	6	1	10400	17	0	0	300	80	12	0	0	15	20	40	81	15	20	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Hæ	Hæ	0	1	6	1	12000	14	0	0	240	56	15	45	90	21	25	0	0	21	25	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Qu¹ §en	Qu¹ §en	0	1	6	1	6400	22	0	0	220	80	15	21	42	21	35	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
¸c lµ	¸c Lµ	0	1	6	1	7200	22	0	0	240	60	18	0	0	15	20	22	45	15	20	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
D¬i ®éc	D¬i ®éc	0	1	6	1	5600	19	0	0	200	80	16	31	63	15	20	0	0	15	20	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
D¬i hót m¸u	D¬i hót m¸u	0	1	6	1	5600	20	0	0	200	120	15	0	0	21	30	27	54	21	30	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
B¹ch §Çu §iªu	B¹ch §Çu §iªu	0	1	6	1	8000	18	0	0	240	60	18	27	54	28	40	0	0	28	40	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Trïng Qu¸i1	Trïng Qu¸i	0	1	6	1	9600	19	0	0	220	40	18	0	0	21	35	27	54	27	45	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Trïng Qu¸i2	Trïng Qu¸i V­¬ng	0	1	6	1	10400	17	0	0	200	32	22	0	0	21	35	30	60	27	45	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Muçi ®éc	Muçi ®éc	0	1	6	1	4800	19	0	0	200	120	12	0	0	15	10	16	33	15	10	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
§éc Gi¸p Trïng	§éc Gi¸p Trïng	0	1	6	1	5200	19	0	0	200	60	18	0	0	21	30	18	36	21	30	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
ThiÕt Gi¸p	ThiÕt Gi¸p Trïng	0	1	6	1	5600	19	0	0	200	100	18	13	27	24	35	0	0	24	35	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Kim Gi¸p	ThiÕt Gi¸p trïng	0	1	6	1	5600	20	0	0	200	140	15	16	33	21	35	0	0	21	35	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Ong vµng	Ngäc phong	0	1	6	1	4800	22	0	0	200	140	12	0	0	10	10	13	27	10	10	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Ong vµng	Ong vµng	0	1	6	1	4800	20	0	0	200	160	15	13	27	18	25	0	0	18	25	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Ong ®éc	Ong ®éc	0	1	6	1	4800	22	0	0	200	140	18	0	0	15	20	16	33	15	20	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
C¸ sÊu1	C¸ sÊu	0	1	6	1	12800	10	0	0	160	16	22	31	63	39	50	0	0	39	50	701	2	100	719	4	0	719	6	0	777	3		0	0	0	0
§éc TÝch	Cù §éc TÝch	0	1	6	1	12000	10	0	0	160	24	22	0	0	33	50	36	72	33	50	703	2	100	719	4	0	719	6	0	777	3		0	0	0	0
Thô Qu¸i1	Thô Qu¸i	0	1	6	1	14400	10	0	0	160	0	24	0	0	39	50	27	54	39	50	704	2	100	719	4	0	719	6	0	777	3		0	0	0	0
