maplevel	item1	item2	item3	item4	item5	item6	item7	item8	item9	item10	item11	item12	item13	item14	item15	item16	item17	item18	item19	item20
1	2700	2700	2700																	
2				1000	1000		6000													
3						1000				6000										
4										5000			2500	150	150	150	150	150	150	100
5								4000					2000	200	300	300	300	300	300	300
6											3500		1500	200	300	300	300	300	300	300
7									3000				1500	200	300	300	300	300	300	300
8												2500	2500	200	300	300	300	300	300	300
9													2500							
10													2500							
