ID	Name	Type	EffectDesc	BGDesc	AniPlaySpeed	AniBurstSkillOnHorse	AniEndSkillOnHorse	AniBurstSkillNotOnHorse	AniEndSkillNotOnHorse	LauncherBurstSFX_1	LauncherBurstSFXPos_1	LauncherBurstSFXWaittime_1	LauncherBurstSFX_2	LauncherBurstSFXPos_2	LauncherBurstSFXWaittime_2	LauncherEndSFX	LauncherEndSFXPos	LauncherEndSFXWaittime	TargetSFX	TargetSFXPos	PersistSFX_1	PersistSFXPos_1	PersistSFX_2	PersistSFXPos_2	LauncherBurstSound_1	LauncherBurstSoundWaittime_1	LauncherBurstSound_2	LauncherBurstSoundWaittime_2	TargetSound	PersistSound	Blade	BladeAni	BladeMtl	BlurNum	BlurInterval	Icon	Desc	NameColor	SubSkill1Name	SubSkill1Desc	SubSkill2Name	SubSkill2Desc	SubSkillOwnerID
1	Tay kh«ng tÊn c«ng b×nh th­êng				100			¿ÕÊÖ±©»÷,¿ÕÊÖ¹¥»÷03																												ÆÕÍ¨¹¥»÷_È­.spr							
2	QuyÒn tÊn c«ng b×nh th­êng				100			¿ÕÊÖ±©»÷,¿ÕÊÖ¹¥»÷03																												ÆÕÍ¨¹¥»÷_È­.spr							
3	§ao tÊn c«ng b×nh th­êng				100			µ¥ÊÖÀà½£±©»÷,µ¥ÊÖÀà½£¹¥»÷03																							½£.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			ÆÕÍ¨¹¥»÷_µ¶.spr							
4	KiÕm tÊn c«ng b×nh th­êng				100			µ¥ÊÖÀà½£±©»÷,µ¥ÊÖÀà½£¹¥»÷03																							½£.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			ÆÕÍ¨¹¥»÷_½£.spr							
5	C«n tÊn c«ng b×nh th­êng				100			Ë«ÊÖÀà¹÷±©»÷,Ë«ÊÖÀà¹÷¹¥»÷03																	ÆÕÍ¨\¹÷.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			ÆÕÍ¨¹¥»÷_¹÷.spr							
6	Tr­îng tÊn c«ng b×nh th­êng				100			ÎıÕÈ±©»÷,ÎıÕÈ¹¥»÷03																	ÆÕÍ¨\¹÷.wav						³¤¹÷.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			ÆÕÍ¨¹¥»÷_ÕÈ.spr							
7	¸m khİ tÊn c«ng b×nh th­êng				100			°µÆ÷±©»÷,°µÆ÷¹¥»÷01																												ÆÕÍ¨¹¥»÷_°µÆ÷.spr							
8	Bót tÊn c«ng b×nh th­êng				100			µ¥ÊÖÀà±Ê±©»÷,µ¥ÊÖÀà±Ê¹¥»÷03																							±Ê.blade	±ê×¼ÄĞ.Ani	°×É«1.Mtl			ÆÕÍ¨¹¥»÷_±Ê.spr							
9	§µn cÇm tÊn c«ng b×nh th­êng				100			ÇÙ±©»÷,ÇÙ¹¥»÷01																	Phæ th«ng\TÊn c«ng CÇm03.wav-											ÆÕÍ¨¹¥»÷_ÇÙ.spr							
10	§µn cÇm tÊn c«ng néi c«ng b×nh th­êng				100			ÇÙ±©»÷,ÇÙ¹¥»÷01																	Phæ th«ng\TÊn c«ng CÇm03.wav-											ÆÕÍ¨¹¥»÷_ÇÙ.spr							
