level	totalexp	upexp
1	0	54
2	36	54
3	72	54
4	108	54
5	144	54
6	180	54
7	216	54
8	252	54
9	288	54
10	324	54
11	360	108
12	432	108
13	504	108
14	576	108
15	648	108
16	720	108
17	792	108
18	864	108
19	936	108
20	1008	108
21	1080	162
22	1188	162
23	1296	162
24	1404	162
25	1512	162
26	1620	162
27	1728	162
28	1836	162
29	1944	162
30	2052	162
31	2160	216
32	2304	216
33	2448	216
34	2592	216
35	2736	216
36	2880	216
37	3024	216
38	3168	216
39	3312	216
40	3456	216
41	3600	270
42	3780	270
43	3960	270
44	4140	270
45	4320	270
46	4500	270
47	4680	270
48	4860	270
49	5040	270
50	5220	270
51	5400	324
52	5616	324
53	5832	324
54	6048	324
55	6264	324
56	6480	324
57	6696	324
58	6912	324
59	7128	324
60	7344	324
61	7560	378
62	7812	378
63	8064	378
64	8316	378
65	8568	378
66	8820	378
67	9072	378
68	9324	378
69	9576	378
70	9828	378
71	10080	378
72	10080	378
73	10080	378
74	10080	378
75	10080	378
76	10080	378
77	10080	378
78	10080	378
79	10080	378
80	10080	378
81	10080	378
82	10080	378
83	10080	378
84	10080	378
85	10080	378
86	10080	378
87	10080	378
88	10080	378
89	10080	378
90	10080	378
91	10080	378
92	10080	378
93	10080	378
94	10080	378
95	10080	378
96	10080	378
97	10080	378
98	10080	378
99	10080	378
100	10080	378
