level	totalexp	upexp
1	0	0
2	27	81
3	67	120
4	120	159
5	187	201
6	267	240
7	363	288
8	475	336
9	603	384
10	752	447
11	923	513
12	1115	576
13	1328	639
14	1568	720
15	1840	816
16	2144	912
17	2480	1008
18	2848	1104
19	3248	1200
20	3696	1344
21	4176	1440
22	4709	1599
23	5296	1761
24	5936	1920
25	6629	2079
26	7376	2241
27	8176	2400
28	9029	2559
29	9936	2721
30	10896	2880
31	11909	3039
32	13003	3279
33	14176	3519
34	15429	3759
35	16763	3999
36	18176	4239
37	19669	4479
38	21189	4560
39	22789	4800
40	24469	5040
41	26256	5361
42	28149	5679
43	30149	6000
44	32256	6321
45	34469	6639
46	36789	6960
47	39216	7281
48	41749	7599
49	44389	7920
50	47136	8241
51	50043	8721
52	53163	9360
53	56496	9999
54	60043	10641
55	63803	11280
56	67776	11919
57	71963	12561
58	76363	13200
59	80976	13839
60	85803	14481
61	90869	15201
62	96469	16800
63	102603	18399
64	109269	20001
65	116469	21600
66	124203	23199
67	132469	24801
68	141269	26400
69	150603	27999
70	160469	29601
71	170869	31200
72	181803	32799
73	193269	34401
74	205269	36000
75	217803	37599
76	230869	39201
77	244469	40800
78	258603	42399
79	273269	44001
80	288469	45600
81	307403	56799
82	327669	60801
83	349803	66399
84	374069	72801
85	400736	80001
86	430069	87999
87	462336	96801
88	497803	106401
89	536736	116799
90	579403	128001
91	627403	144000
92	683403	168000
93	747403	192000
94	819403	216000
95	899403	240000
96	987403	264000
97	1083403	288000
98	1187403	312000
99	1299403	336000
100	1440000	421791
