level	totalexp	upexp
1	0	80
2	0	80
3	0	80
4	0	80
5	0	80
6	0	80
7	0	80
8	0	80
9	0	80
10	0	80
11	0	120
12	0	120
13	0	120
14	0	120
15	0	120
16	0	120
17	0	120
18	0	120
19	0	120
20	0	120
21	0	240
22	0	240
23	0	240
24	0	240
25	0	240
26	0	240
27	0	240
28	0	240
29	0	240
30	0	240
31	0	480
32	0	480
33	0	480
34	0	480
35	0	480
36	0	480
37	0	480
38	0	480
39	0	480
40	0	480
41	0	960
42	0	960
43	0	960
44	0	960
45	0	960
46	0	960
47	0	960
48	0	960
49	0	960
50	0	960
51	0	1920
52	0	1920
53	0	1920
54	0	1920
55	0	1920
56	0	1920
57	0	1920
58	0	1920
59	0	1920
60	0	1920
61	0	3840
62	0	3840
63	0	3840
64	0	3840
65	0	3840
66	0	3840
67	0	3840
68	0	3840
69	0	3840
70	0	3840
71	0	3840
72	0	3840
73	0	3840
74	0	3840
75	0	3840
76	0	3840
77	0	3840
78	0	3840
79	0	3840
80	0	3840
81	0	3840
82	0	3840
83	0	3840
84	0	3840
85	0	3840
86	0	3840
87	0	3840
88	0	3840
89	0	3840
90	0	3840
91	0	3840
92	0	3840
93	0	3840
94	0	3840
95	0	3840
96	0	3840
97	0	3840
98	0	3840
99	0	3840
