ID	EventType	AttributeCount	TargetType	Time	TimeEnhance	Attribute_0	Value_0	Probability_0	Enhance_0	Attribute_1	Value_1	Probability_1	Enhance_1	Attribute_2	Value_2	Probability_2	Enhance_2
1	life_damage_2_magic	2		9		imme_when_lose_hp_percent	20		1	state_invincibility		100					
2	life_damage_2_magic	2		9		imme_when_lose_hp_percent	15		1	state_invincibility		100					
3	life_damage_2_magic	2				imme_when_lose_hp_percent	1		1	imme_life_percent_add	1	100					
4	be_attacked_2_magic	3	1	90	1	imme_range_limit	300		1	state_sleep	1	100	2	state_deep_sleep	10	100	2
5	be_attacked_2_magic	2	1	54	1	imme_range_limit	200		1	state_slow	5	100	2				
6	be_attacked_2_magic	2		54	1	imme_range_limit	200		1	state_p_attack_percent_add	2	100	2				
7	be_attacked_2_magic	2	1			imme_range_limit	200		1	imme_mana_percent_damage	1	100	2				
8	be_attacked_2_magic	2		90	1	imme_range_limit	800		1	state_slow_immune	100	100	2				
9	be_attacked_2_magic	2	1	36	1	imme_range_limit	200		1	state_magic_parmor_poi_dec	3	100	2				
10	attack_2_magic	2				imme_effect_interval	1		1	imme_life_point_add	15	100	2				
11	attack_2_magic	2	1	90	1	state_p_attack_percent_dec	100	100	2	state_m_attack_percent_dec	100	100	2				
12	attack_2_magic	2		9	1	imme_effect_interval	108			state_skill_casted_when_magic_end	90767361	10	1				
13	attack_2_magic	2		9	1	imme_effect_interval	108			state_skill_casted_when_magic_end	90832897	10	1				
14	attack_2_magic	2		9	1	imme_effect_interval	108			state_skill_casted_when_magic_end	90898433	10	1				
15	attack_2_magic	2		9	1	imme_effect_interval	108			state_skill_casted_when_magic_end	90963969	10	1				
16	attack_2_magic	2		9	1	imme_effect_interval	108			state_skill_casted_when_magic_end	91029505	10	1				
17	attack_2_magic	2		2	1	imme_effect_interval	36			state_skill_casted_when_magic_end	86245377	10	1				
18	attack_2_magic	2		2	1	imme_effect_interval	36			state_skill_casted_when_magic_end	86310913	10	1				
19	attack_2_magic	2		2	1	imme_effect_interval	36			state_skill_casted_when_magic_end	86376449	10	1				
