TaskID	NpcID	EventID	MapIndex	TaskValueBase	TaskValueExt	TaskContribute	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfoA	TaskInfoB	TaskInfoC	TaskInfoD
20010001	Thá rõng	1	301	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>Nçi lo cña n«ng d©n<color>	GÇn ®©y <color=yellow>Thá rõng<color> ph¸ ho¹i mïa mµng rÊt nghiªm träng. H·y ®i tiªu diÖt <color=yellow>10<color> con.	 ngo¹i thµnh	Thá rõng
20020001	Thá x¸m	2	308	0	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>Nçi lo cña n«ng d©n<color>	GÇn ®©y <color=yellow>Thá x¸m<color> tµn ph¸ hoa mµu. H·y ®i b¾t <color=yellow>10<color> con vÒ ®©y!	 ngo¹i thµnh	Thá x¸m
20020002	L­u Manh	3	202	0	0	0	0	0	2500	675	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>tiªu diÖt L­u manh<color>	Quan phñ treo th­ëng tÇm n· <color=yellow>L­u manh<color> g©y rèi ë H¹nh Hoa th«n, h·y ®i b¾t <color=yellow>10<color> tªn	H¹nh Hoa th«n	L­u Manh
20020003	C«n ®å	5	205	0	0	0	0	0	2500	675	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>truy b¾t C«n ®å<color>	Ngoµi thµnh l¹i cã bän <color=yellow>C«n ®å<color> g©y rèi, c­íp tiÒn ng­êi ®i ®­êng, h·y ®i b¾t <color=yellow>10<color> tªn vÒ ®©y!	 ngo¹i thµnh	C«n ®å
20030001	Sãi x¸m	4	209	0	0	0	0	0	0	1480	1000	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>diÖt trõ Sãi x¸m<color>	Ngoµi thµnh <color=yellow>Sãi x¸m<color> ngµy cµng léng hµnh, h·y ®i b¾t <color=yellow>10<color> con!	 ngo¹i thµnh	Sãi x¸m
20030002	Sãi xanh	7	209	0	0	0	0	0	0	1500	1000	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>nçi sî h·i cña lé nh©n<color>	<color=yellow>Sãi xanh<color> xung quanh C¸i bang c¾n kh«ng Ýt du kh¸ch, h·y ®i diÖt <color=yellow>10<color> con.	 ngo¹i thµnh	Sãi xanh
20030003	ThiÕt Gi¸p Trïng	6	202	0	0	0	0	0	0	1500	1000	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>n¹n rÇy s©u<color>	Mïa nµy <color=yellow>Gi¸p trïng<color> ®Î trøng, h·y ®i tiªu diÖt <color=yellow>10<color> con.	H¹nh Hoa th«n	ThiÕt Gi¸p Trïng
20030004	Heo rõng	8	312	0	0	0	0	0	0	1000	1000	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>nçi sî h·i cña lé nh©n<color>	Quanh Vâ §ang, <color=yellow>Heo rõng<color> kh«ng chØ ph¸ n¸t hoa mµu mµ cßn h¹i ng­êi, h·y ®i tiªu diÖt <color=yellow> 10<color> con.	 ngo¹i thµnh	Heo rõng
20030005	Ong vµng	9	202	0	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>Tæ ong chóa<color>	Nghe nãi H¹nh Hoa Th«n cã rÊt nhiÒu <color=yellow>Ong vµng<color> hay chÝch ng­êi, h·y ®i b¾t <color=yellow>10<color> con vÒ ®©y!	H¹nh Hoa th«n	Ong vµng
20040001	M· HÇu	17	303	0	0	0	0	0	0	0	500	1000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>nçi lo cña Nga My<color>	Nga My ph¸i th­êng bÞ <color=yellow>M· HÇu<color> quÊy ph¸, lÊy trém thøc ¨n, c¾n ng­êi ®i ®­êng, h·y ®i b¾t <color=yellow>10<color> con vÒ ®©y!	Nga My s¬n	M· HÇu
20050001	KiÕm Kh¸ch	15	312	0	0	0	0	0	0	0	500	1000	500	0	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>KiÕm Kh¸ch g©y rèi<color>	GÇn ®©y ch©n nói Vâ §ang cã nhiÒu <color=yellow>KiÕm Kh¸ch<color> th­êng quÊy rèi du kh¸ch, h·y ®i trõng trÞ <color=yellow>10<color>  tªn.	Vâ §ang	KiÕm Kh¸ch
20150001	Hå Ly	88	106	0	0	0	0	0	0	0	0	1000	1500	0	0	0	0	0	0	0	0	0	0	0	0	0		GÇn ®©y <color=yellow>Long TuyÒn th«n<color> cã rÊt nhiÒu <color=yellow>Hå ly<color> ¨n trém gµ, phiÒn b»ng h÷u ®i b¾t <color=yellow>10 con<color>!		Hå Ly
20050002	§ao HiÖp	26	312	0	0	0	0	0	0	0	0	700	1500	700	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>§ao kh¸ch g©y rèi<color>	GÇn ®©y ch©n nói <color=yellow>Vâ §ang<color> cã nhiÒu <color=yellow>§ao HiÖp<color> th­êng quÊy rèi du kh¸ch, h·y ®i trõng trÞ <color=yellow>10<color>  tªn.	Vâ §ang	§ao HiÖp
20050003	Hæ	13	218	0	0	0	0	0	0	0	0	650	1500	650	0	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>Hæ d÷ g©y h¹i<color>	GÇn <color=yellow>NhÞ Long S¬n<color> cã nhiÒu <color=yellow>Hæ<color> ¨n thÞt ng­êi, h·y ®i thu phôc <color=yellow>5 con<color>.	ThiÕu L©m Tù hoÆc Linh B¶o s¬n	Hæ
20150002	Th¶o KhÊu	89	106	0	0	0	0	0	0	0	0	0	500	1500	0	0	0	0	0	0	0	0	0	0	0	0		GÇn <color=yellow>Long TuyÒn th«n<color> cã rÊt nhiÒu <color=yellow>Th¶o KhÊu<color> g©y h¹i mäi ng­êi, h·y ®i thu phôc <color=yellow>10 tªn<color>.		Th¶o KhÊu
20060001	N÷ kiÕm kh¸ch	16	303	0	0	0	0	0	0	0	0	0	500	1500	800	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>N÷ KiÕm Kh¸ch bÊt m·n<color>	GÇn ®©y cã rÊt nhiÒu <color=yellow>N÷ KiÕm Kh¸ch<color> bÞ trôc xuÊt khái s­ m«n tô tËp ë Nga My Ph¸i g©y rèi, h·y ®i trõng trÞ <color=yellow>10<color> ¶.	Nga My s¬n	N÷ kiÕm kh¸ch
20060002	TuyÕt Qu¸i	19	315	0	0	0	0	0	0	0	0	0	500	1500	800	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>TuyÕt Qu¸i thÇn bÝ<color>	<color=yellow>B¨ng T©m ®éng<color> sau nói Nga My cã nhiÒu <color=yellow>TuyÕt Qu¸i<color>, khiÕn cho ®Ö tö Nga My c¶m thÊy bÊt an, h·y ®i b¾t <color=yellow>10<color> con.	B¨ng T©m ®éng_1	TuyÕt Qu¸i
20070001	Sãi ®iªn	20	216	0	0	0	0	0	0	0	0	0	0	500	850	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>N¹n Sãi ®iªn<color>	<color=yellow>C¸i Bang T­êng V©n ®éng<color> cã rÊt nhiÒu <color=yellow>Sãi ®iªn<color> hay c¾n ph¸ ng­êi d©n. H·y ®i b¾t <color=yellow>10<color> con.	T­êng V©n ®éng	Sãi ®iªn
20070002	Ng­êi lïn	32	211	0	0	0	0	0	0	0	0	0	0	500	850	0	0	0	0	0	0	0	0	0	0	0	<color=yellow>th«n d©n t¹o ph¶n 1<color>	ë <color=yellow>H¹nh Hoa Th«n D­¬ng Trung ®éng<color> cã nhiÒu th«n d©n t¹o ph¶n, h·y ®i trõng trÞ <color=yellow>10<color> <color=yellow>Ng­êi lïn<color>.	D­¬ng Trung ®éng-2	Ng­êi lïn
20070003	NhÖn	21	216	0	0	0	0	0	0	0	0	0	0	500	850	500	0	0	0	0	0	0	0	0	0	0	<color=yellow>NhÖn ®éc<color>	<color=yellow>C¸i Bang T­êng V©n ®éng<color> cã nhiÒu <color=yellow>NhÖn ®éc<color>, h·y ®i b¾t <color=yellow>10<color> con.	T­êng V©n ®éng	NhÖn
20150003	C¸ sÊu	91	151	0	0	0	0	0	0	0	0	0	0	0	750	500	0	0	0	0	0	0	0	0	0	0		Xung quanh <color=yellow>V©n Méng tr¹ch<color> cã nhiÒu <color=yellow>c¸ sÊu<color> hay ¨n thÞt ng­êi, h·y ®i diÖt <color=yellow>10 con<color>.		C¸ sÊu
20070004	B¸t Phô Hµ §«ng S­	33	211	0	0	0	0	0	0	0	0	0	0	0	750	500	0	0	0	0	0	0	0	0	0	0	<color=yellow>Th«n d©n t¹o ph¶n 2<color>	<color=yellow>TÇng 2 D­¬ng Trung ®éng<color> ë H¹nh Hoa th«n cã nhiÒu th«n d©n t¹o ph¶n, h·y ®i trõng trÞ <color=yellow>10<color> tªn <color=yellow>B¸t Phô Hµ §«ng s­<color>.	D­¬ng Trung ®éng-2	B¸t Phô Hµ §«ng S­
20070005	Quan sø	35	210	0	0	0	0	0	0	0	0	0	0	0	750	500	0	0	0	0	0	0	0	0	0	0	<color=yellow>Quan sø g©y h¹i<color>	tÇng 1 D­¬ng Trung ®éng cã nhiÒu <color=yellow>Quan sø<color>  ®¶ th­¬ng ng­êi d©n v« téi, h·y ®i b¾t <color=yellow>10<color> tªn.	D­¬ng Trung ®éng-1	Quan sø
