Level	Money	Exp	Honor	Popur	StepAdd	StaminaCost
1	0	3	0	0	0	0
2	0	10	0	0	0	0
3	0	22	0	0	0	0
4	0	40	0	0	0	0
5	0	62	0	0	0	0
6	0	90	0	0	0	0
7	0	122	0	0	0	0
8	0	160	0	0	0	0
9	0	202	0	0	0	0
10	0	250	0	0	0	0
11	0	302	0	0	0	0
12	0	360	0	0	0	0
13	0	422	0	0	0	0
14	0	490	0	0	0	0
15	0	562	0	0	0	0
16	0	640	0	0	0	0
17	0	722	0	0	0	0
18	0	810	0	0	0	0
19	0	902	0	0	0	0
20	0	1000	0	0	0	0
21	0	1102	0	0	0	0
22	0	1210	0	0	0	0
23	0	1322	0	0	0	0
24	0	1440	0	0	0	0
25	0	1562	0	0	0	0
26	0	1690	0	0	0	0
27	0	1822	0	0	0	0
28	0	1960	0	0	0	0
29	0	2102	0	0	0	0
30	0	2250	0	0	0	0
31	0	2402	0	0	0	0
32	0	2560	0	0	0	0
33	0	2722	0	0	0	0
34	0	2890	0	0	0	0
35	0	3062	0	0	0	0
36	0	3240	0	0	0	0
37	0	3422	0	0	0	0
38	0	3610	0	0	0	0
39	0	3802	0	0	0	0
40	0	4000	0	0	0	0
41	0	4202	0	0	0	0
42	0	4410	0	0	0	0
43	0	4622	0	0	0	0
44	0	4840	0	0	0	0
45	0	5062	0	0	0	0
46	0	5290	0	0	0	0
47	0	5522	0	0	0	0
48	0	5760	0	0	0	0
49	0	6002	0	0	0	0
50	0	6250	0	0	0	0
51	0	6502	0	0	0	0
52	0	6760	0	0	0	0
53	0	7022	0	0	0	0
54	0	7290	0	0	0	0
55	0	7562	0	0	0	0
56	0	7840	0	0	0	0
57	0	8122	0	0	0	0
58	0	8410	0	0	0	0
59	0	8702	0	0	0	0
60	0	9000	0	0	0	0
61	0	9302	0	0	0	0
62	0	9610	0	0	0	0
63	0	9922	0	0	0	0
64	0	10240	0	0	0	0
65	0	10562	0	0	0	0
66	0	10890	0	0	0	0
67	0	11222	0	0	0	0
68	0	11560	0	0	0	0
69	0	11902	0	0	0	0
70	0	12250	0	0	0	0
71	0	12602	0	0	0	0
72	0	12960	0	0	0	0
73	0	13322	0	0	0	0
74	0	13690	0	0	0	0
75	0	14062	0	0	0	0
76	0	14440	0	0	0	0
77	0	14822	0	0	0	0
78	0	15210	0	0	0	0
79	0	15602	0	0	0	0
80	0	16000	0	0	0	0
81	0	16402	0	0	0	0
82	0	16810	0	0	0	0
83	0	17222	0	0	0	0
84	0	17640	0	0	0	0
85	0	18062	0	0	0	0
86	0	18490	0	0	0	0
87	0	18922	0	0	0	0
88	0	19360	0	0	0	0
89	0	19802	0	0	0	0
90	0	20250	0	0	0	0
91	0	20702	0	0	0	0
92	0	21160	0	0	0	0
93	0	21622	0	0	0	0
94	0	22090	0	0	0	0
95	0	22562	0	0	0	0
96	0	23040	0	0	0	0
97	0	23522	0	0	0	0
98	0	24010	0	0	0	0
99	0	24502	0	0	0	0
