TaskID	NpcID	EventID	Attrib	TaskValueBase	TaskValueExt	TaskRate1	TaskRate2	TaskRate3	TaskRate4	TaskRate5	TaskRate6	TaskRate7	TaskRate8	TaskRate9	TaskRate10	TaskRate11	TaskRate12	TaskRate13	TaskRate14	TaskRate15	TaskRate16	TaskRate17	TaskRate18	TaskRate19	TaskRate20	TaskInfoA	TaskInfoB	TaskInfoC	TaskInfoD
50010001	Thñ khè	1001	11	0	0	250	250	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Thñ khè	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Thñ khè<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010002	Xa phu	1002	11	0	0	250	250	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Xa phu	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Xa Phu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010003	TriÖu Phæ	1003	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	TriÖu Phæ	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>TriÖu Phæ<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010004	Bé ®Çu	1004	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Bé ®Çu	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Bé §Çu<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010005	VÖ binh thµnh m«n	1005	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	VÖ binh thµnh m«n	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>VÖ Binh thµnh m«n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010006	Tµo B©n	1006	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Tµo B©n	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Tµo B©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010007	Binh Bé ThÞ Lang	1007	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Binh Bé ThÞ Lang	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Binh Bé ThÞ Lang<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010008	Binh Bé Thñ vÖ	1008	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	Binh Bé Thñ vÖ	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>Binh Bé ThÞ VÖ<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010009	ThÞ VÖ T­íng phñ	1009	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	ThÞ VÖ T­íng phñ	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>ThÞ VÖ T­íng phñ<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
50010010	CÊm qu©n	1010	11	0	0	0	0	160	160	120	120	95	95	75	75	60	60	45	45	45	45	35	35	35	35	CÊm qu©n	H·y ®Õn <color=yellow>BiÖn Kinh<color> gÆp <color=yellow>CÊm Qu©n<color> nãi hµng ®Õn råi, cã r¶nh ®Õn lÊy.	¤ng chñ Th­¬ng héi nãi hµng ®Õn råi!	C¶m ¬n nhÐ!
