ID	CommandType	TargetMap	TargetDisplayName	ScriptFile	ScriptFunc
1001	0	200	Thñ khè	\script\task\tasklink\talktrigger.lua	talktask
1002	0	200	Xa phu	\script\task\tasklink\talktrigger.lua	talktask
1003	0	200	TriÖu Phæ	\script\task\tasklink\talktrigger.lua	talktask
1004	0	200	Bé ®Çu	\script\task\tasklink\talktrigger.lua	talktask
1005	0	200	VÖ binh thµnh m«n	\script\task\tasklink\talktrigger.lua	talktask
1006	0	200	Tµo B©n	\script\task\tasklink\talktrigger.lua	talktask
1007	0	200	Binh Bé ThŞ Lang	\script\task\tasklink\talktrigger.lua	talktask
1008	0	200	Binh Bé Thñ vÖ	\script\task\tasklink\talktrigger.lua	talktask
1009	0	200	ThŞ VÖ T­íng phñ	\script\task\tasklink\talktrigger.lua	talktask
1010	0	200	CÊm qu©n	\script\task\tasklink\talktrigger.lua	talktask
1011	0	200	LÔ quan	\script\task\tasklink\talktrigger.lua	talktask
1012	0	200	D· TÈu	\script\task\tasklink\talktrigger.lua	talktask
1013	0	200	Chñ TiÖm vò khİ	\script\task\tasklink\talktrigger.lua	talktask
1014	0	200	Chñ D­îc ®iÕm	\script\task\tasklink\talktrigger.lua	talktask
1015	0	200	Chñ T¹p hãa	\script\task\tasklink\talktrigger.lua	talktask
1016	0	200	Chñ TiÖm Nam phôc	\script\task\tasklink\talktrigger.lua	talktask
1017	0	200	Chñ TiÖm N÷ phôc	\script\task\tasklink\talktrigger.lua	talktask
1018	0	200	Chñ töu lÇu	\script\task\tasklink\talktrigger.lua	talktask
1019	0	200	TiÓu nhŞ	\script\task\tasklink\talktrigger.lua	talktask
1020	0	200	Nh©n sÜ giang hå	\script\task\tasklink\talktrigger.lua	talktask
1021	0	200	Tµo §¹i Lùc	\script\task\tasklink\talktrigger.lua	talktask
1022	0	200	Vâ s­	\script\task\tasklink\talktrigger.lua	talktask
1023	0	200	Chñ tiÒn trang	\script\task\tasklink\talktrigger.lua	talktask
1024	0	200	Chñ Kim hoµn	\script\task\tasklink\talktrigger.lua	talktask
1025	0	200	Sø gi¶ m«n ph¸i	\script\task\tasklink\talktrigger.lua	talktask
1026	0	200	Hµng xãm Hµn Trİ Nh­îng	\script\task\tasklink\talktrigger.lua	talktask
1027	0	200	Tiªu s­	\script\task\tasklink\talktrigger.lua	talktask
1028	0	200	Vò N­¬ng	\script\task\tasklink\talktrigger.lua	talktask
1029	0	200	ThÇy bãi	\script\task\tasklink\talktrigger.lua	talktask
1030	0	200	Quan viªn tho¸i nhiÖm	\script\task\tasklink\talktrigger.lua	talktask
1031	0	200	Chñ th­¬ng héi	\script\task\tasklink\talktrigger.lua	talktask
1032	0	200	Hµnh C­íc Th­¬ng Nh©n	\script\task\tasklink\talktrigger.lua	talktask
1033	0	200	B¸ch HiÓu Sinh	\script\task\tasklink\talktrigger.lua	talktask
1034	0	200	Ngù Trï	\script\task\tasklink\talktrigger.lua	talktask
1035	0	200	Chñ Kim hoµn	\script\task\tasklink\talktrigger.lua	talktask
1036	0	200	V©n Du §¹o Nh©n	\script\task\tasklink\talktrigger.lua	talktask
1037	0	219	Xa Th¸i Qu©n	\script\task\tasklink\talktrigger.lua	talktask
1038	0	200	B¸n ngùa	\script\task\tasklink\talktrigger.lua	talktask
1039	0	200	KhÊu ChuÈn	\script\task\tasklink\talktrigger.lua	talktask
1040	0	300	Thñ khè	\script\task\tasklink\talktrigger.lua	talktask
1041	0	300	Xa phu	\script\task\tasklink\talktrigger.lua	talktask
1042	0	300	D· TÈu	\script\task\tasklink\talktrigger.lua	talktask
1043	0	300	A ThŞnh	\script\task\tasklink\talktrigger.lua	talktask
1044	0	300	Sø gi¶ m«n ph¸i	\script\task\tasklink\talktrigger.lua	talktask
1045	0	300	N¹n d©n_Gi¸p	\script\task\tasklink\talktrigger.lua	talktask
1046	0	300	N¹n d©n Êt	\script\task\tasklink\talktrigger.lua	talktask
1047	0	300	N¹n d©n_Bİnh	\script\task\tasklink\talktrigger.lua	talktask
1048	0	300	N¹n d©n_§inh	\script\task\tasklink\talktrigger.lua	talktask
1049	0	300	Chñ TiÖm Nam phôc	\script\task\tasklink\talktrigger.lua	talktask
1050	0	300	Chñ TiÖm N÷ phôc	\script\task\tasklink\talktrigger.lua	talktask
1051	0	300	VÖ binh thµnh m«n	\script\task\tasklink\talktrigger.lua	talktask
