Genre	Detail	Particular	Text
Lo¹i lín	Lo¹i phô	Lo¹i nhá	Tªn vËt phÈm
0	0	8	BÝch Xµ thñ
0	0	9	Kh¸ng Long thñ
0	0	10	T­êng Ph­îng
0	0	11	Né Long
0	0	12	Ngò Ph­¬ng Quû Chóng
0	0	13	Nª Lª ®Þa ngôc
0	2	21	TÝch D­¬ng
0	2	22	HuyÒn §iÖn
0	2	23	Thanh S­¬ng
0	2	24	Dao Quang
0	2	25	BÝch HuyÕt
0	2	26	HuyÒn thiÕt Träng KiÕm
0	5	34	TiÒm Long c«n
0	5	35	Tö Kim L­¬ng
0	5	36	§¶ CÈu bæng
0	5	37	KhÈn Na La Bæng
0	5	38	Thiªn Xµ c«n
0	5	39	Thanh Long c«n
0	1	47	Ngäc Phong ch©m
0	1	48	Tô Lý Cµn Kh«n
0	1	49	Hµm Sa X¹ ¶nh
0	1	50	ThÊt Tinh ThÊu Cèt Ch©m
0	1	51	ThÊt S¸t Thiªn La
0	1	52	Thiªn ngo¹i phi tiªn
0	3	58	Ph¸ S¬n ®ao
0	3	59	Nh©n §å ®ao
0	3	60	Long L©n
0	3	61	B¸ch TÞch
0	3	62	Thiªn S¸t
0	3	63	B¸ V­¬ng
0	10	69	HuyÒn Nhai Phi Béc
0	10	70	H¶i NguyÖt Thanh Huy
0	10	71	Cöu Tiªu Ngäc Béi
0	10	72	HiÖu Chung
0	10	73	Lôc Khëi
0	10	74	Tiªu VÜ
0	9	80	Truy NguyÖt bót
0	9	81	ThÞ Hån bót
0	9	82	Long ThiÖt
0	9	83	R¨ng sãi
0	9	84	Ph¸ Qu©n
0	9	85	Thiªn C¬
0	8	91	NguyÖt Lu©n tr­îng
0	8	92	Kh«ng Minh tr­îng
0	8	93	B¶o Quang tr­îng
0	8	94	§¹i Tù T¹i Tr­îng
0	8	95	§¹i B¸t Nh· Tr­îng
0	8	96	Thiªn PhËt tr­îng
0	6	102	Tó Cèt th­¬ng
0	6	103	XÝch NguyÖt th­¬ng
0	6	104	Ng©n Xµ th­¬ng
0	6	105	Háa Yªn Th­¬ng
0	6	106	Tr­îng B¸t Xµ M©u
0	6	107	Ph¸ Thiªn kÝch
0	4	113	Trôc NguyÖt cung
0	4	114	DiÖt DiÖm cung
0	4	115	Tö Kim
0	4	116	ThÇn Lùc
0	4	117	Xi Nha
0	4	118	Long KhÈu
0	103	10	DËt Èn Qu¸n
0	103	11	Hång L¨ng C©n
