PosID	MapName	MapID	WorldX	WorldY	MapX	MapY
Tra cøu ®Þa ®iÓm	Tªn b¶n ®å	Tra cøu b¶n ®å	Täa ®é X thÕ giíi	Täa ®é Y thÕ giíi	Täa ®é X b¶n ®å	Täa ®é Y b¶n ®å
1	B¨ng T©m ®éng_1	315	1723	3164	215	197
2	B¨ng T©m ®éng_1	315	1859	2910	232	181
3	B¨ng T©m ®éng_1	315	1756	2937	219	183
4	B¨ng T©m ®éng_1	315	1674	2809	209	175
5	B¨ng T©m ®éng_1	315	1582	2882	197	180
6	B¨ng T©m ®éng_2	316	1574	3002	196	187
7	B¨ng T©m ®éng_2	316	1677	3076	209	192
8	B¨ng T©m ®éng_2	316	1679	3038	209	189
9	B¨ng T©m ®éng_2	316	1776	2878	222	179
10	B¨ng T©m ®éng_2	316	1827	2996	228	187
11	Tróc Ty ®éng_1	317	1559	3188	194	199
12	Tróc Ty ®éng_1	317	1409	2913	176	181
13	Tróc Ty ®éng_1	317	1348	2791	168	174
14	Tróc Ty ®éng_1	317	1504	2913	188	182
15	Tróc Ty ®éng_1	317	1577	2814	197	175
16	Tróc Ty ®éng-2	318	1403	3129	175	195
17	Tróc Ty ®éng-2	318	1291	2769	161	173
18	Tróc Ty ®éng-2	318	1471	2777	183	173
19	Tróc Ty ®éng-2	318	1543	2974	192	185
20	Tróc Ty ®éng-2	318	1534	3144	191	196
21	Phong Ma ®éng-1	319	2028	2921	253	182
22	Phong Ma ®éng-1	319	1915	2981	239	186
23	Phong Ma ®éng-1	319	1796	3092	224	193
24	Phong Ma ®éng-1	319	1789	3195	223	199
25	Phong Ma ®éng-1	319	1666	3175	208	198
26	Phong Ma ®éng-2	320	1810	3230	226	201
27	Phong Ma ®éng-2	320	1812	3100	226	193
28	Phong Ma ®éng-2	320	1681	2932	210	183
29	Phong Ma ®éng-2	320	1755	2837	219	177
30	Phong Ma ®éng-2	320	2018	2891	252	180
31	Kim Quang ®éng	321	1670	3627	208	226
32	Kim Quang ®éng	321	1777	3619	222	226
33	Kim Quang ®éng	321	1845	3637	230	227
34	Kim Quang ®éng	321	1902	3468	237	216
35	Kim Quang ®éng	321	1776	3406	222	212
36	Kim Quang ®éng	321	1701	3326	212	207
37	Kim Quang ®éng	321	1665	3230	208	201
38	Kim Quang ®éng	321	1802	3174	225	198
39	ThÊt Tinh ®éng-1	324	1590	2943	198	183
40	ThÊt Tinh ®éng-1	324	1762	2886	220	180
41	ThÊt Tinh ®éng-1	324	1981	2950	247	184
42	ThÊt Tinh ®éng-1	324	1812	3271	226	204
43	ThÊt Tinh ®éng-1	324	1594	3205	199	200
44	ThÊt Tinh ®éng-2	325	1516	3076	189	192
45	ThÊt Tinh ®éng-2	325	1518	2906	189	181
46	ThÊt Tinh ®éng-2	325	1502	3289	187	205
47	ThÊt Tinh ®éng-2	325	1330	3420	166	213
48	ThÊt Tinh ®éng-2	325	1719	3100	214	193
49	D­¬ng Trung ®éng-1	210	1510	3161	188	197
50	D­¬ng Trung ®éng-1	210	1396	3205	174	200
51	D­¬ng Trung ®éng-1	210	1529	3094	191	193
52	D­¬ng Trung ®éng-1	210	1362	2997	170	187
53	D­¬ng Trung ®éng-2	211	1813	3248	229	202
54	D­¬ng Trung ®éng-2	211	1535	3172	191	198
55	D­¬ng Trung ®éng-2	211	1474	3139	184	196
56	D­¬ng Trung ®éng-3	212	1597	3184	199	198
57	D­¬ng Trung ®éng-3	212	1522	3160	190	197
58	D­¬ng Trung ®éng-3	212	1472	3096	184	193
59	Thanh Khª ®éng	111	1666	3128	208	195
60	Thanh Khª ®éng	111	1696	2884	212	180
61	Thiªn S­ ®éng-1	313	1711	3398	213	212
62	Thiªn S­ ®éng-1	313	1360	3192	170	199
63	Thiªn S­ ®éng-1	313	1612	3193	201	199
64	Thiªn S­ ®éng-1	313	1809	3221	226	201
65	Thiªn S­ ®éng-2	314	1760	3059	220	191
66	Thiªn S­ ®éng-2	314	1613	2956	201	184
67	Thiªn S­ ®éng-2	314	1583	2850	197	178
68	Long Hæ ®éng-1	322	1576	3154	197	197
69	Long Hæ ®éng-1	322	1440	3025	180	188
70	Long Hæ ®éng-1	322	1710	2960	213	184
71	Long Hæ ®éng-1	322	1819	3049	227	190
72	Long Hæ ®éng-1	322	1831	3091	228	193
73	Long Hæ ®éng-2	323	1419	3200	177	199
74	Long Hæ ®éng-2	323	1431	3042	178	190
75	Long Hæ ®éng-2	323	1720	3014	215	188
76	Long Hæ ®éng-2	323	1679	3253	209	203
77	Long Hæ ®éng-2	323	1451	3360	181	209
78	H¾c Phong ®éng	215	1791	3272	223	204
79	H¾c Phong ®éng	215	1821	3180	227	198
80	H¾c Phong ®éng	215	1887	3147	235	196
81	H¾c Phong ®éng	215	1877	3076	234	192
82	H¾c Phong ®éng	215	1865	2944	233	183
83	H¾c Phong ®éng	215	1724	3054	215	190
84	H¾c Phong ®éng	215	1524	3012	190	188
85	H¾c Phong ®éng	215	1766	2955	220	184
86	L­ìng Thñy ®éng_1	112	1568	2951	196	184
87	L­ìng Thñy ®éng_1	112	1720	2695	215	168
88	L­ìng Thñy ®éng_1	112	1613	3102	201	193
89	L­ìng Thñy ®éng_1	112	1737	2943	216	183
90	L­ìng Thñy ®éng_1	112	1767	2990	220	186
91	L­ìng Thñy ®éng_2	113	1556	3221	194	201
92	L­ìng Thñy ®éng_2	113	1746	3110	218	194
93	L­ìng Thñy ®éng_2	113	1589	3037	198	189
94	L­ìng Thñy ®éng_2	113	1598	3312	199	206
95	L­ìng Thñy ®éng_2	113	1607	3155	200	197
96	Thanh ¢m ®éng_1	109	1457	2752	182	171
97	Thanh ¢m ®éng_1	109	1398	2730	174	170
98	Thanh ¢m ®éng_1	109	1294	2750	161	171
99	Thanh ¢m ®éng_1	109	1295	2967	161	185
100	Thanh ¢m ®éng_1	109	1591	2957	198	184
101	Thanh ¢m ®éng_2	110	1509	2674	188	167
102	Thanh ¢m ®éng_2	110	1444	2681	180	167
103	Thanh ¢m ®éng_2	110	1325	2704	165	168
104	Thanh ¢m ®éng_2	110	1362	3128	170	195
105	Thanh ¢m ®éng_2	110	1598	3019	199	188
106	§«ng H¶i H¶i T©n 1	103	1640	3100	205	193
107	§«ng H¶i H¶i T©n 1	103	1588	3288	198	205
108	§«ng H¶i H¶i T©n 1	103	1630	3427	203	214
109	§«ng H¶i H¶i T©n 1	103	1619	3263	202	203
110	§«ng H¶i H¶i T©n 1	103	1870	3176	233	198
111	§«ng H¶i H¶i T©n 1	103	1865	3133	233	195
112	§«ng H¶i H¶i T©n 1	103	1787	3093	223	193
113	§«ng H¶i H¶i T©n 2	104	1313	3165	164	197
114	§«ng H¶i H¶i T©n 2	104	1358	3166	169	197
115	§«ng H¶i H¶i T©n 2	104	1348	3042	168	190
116	§«ng H¶i H¶i T©n 2	104	1347	2948	168	184
117	§«ng H¶i H¶i T©n 2	104	1416	3018	177	188
