Level	KillerID	KillerMode
§¼ng cÊp s¸t thñ	Tra cøu s¸t thñ	kiÓu S¸t thñ
10	1000	S¸t thñ10
10	1001	S¸t thñ11
10	1002	S¸t thñ12
10	1003	S¸t thñ13
20	1006	S¸t thñ20
20	1007	S¸t thñ21
20	1008	S¸t thñ22
20	1009	S¸t thñ23
30	1012	S¸t thñ30
30	1013	S¸t thñ31
30	1014	S¸t thñ32
30	1015	S¸t thñ33
40	1018	S¸t thñ40
40	1019	S¸t thñ41
40	1020	S¸t thñ42
40	1021	S¸t thñ43
50	1024	S¸t thñ50
50	1025	S¸t thñ51
50	1026	S¸t thñ52
50	1027	S¸t thñ53
60	1030	S¸t thñ60
60	1031	S¸t thñ61
60	1032	S¸t thñ62
60	1033	S¸t thñ63
70	1036	S¸t thñ70
70	1037	S¸t thñ71
70	1038	S¸t thñ72
70	1039	S¸t thñ73
80	1042	S¸t thñ80
80	1043	S¸t thñ81
80	1044	S¸t thñ82
80	1045	S¸t thñ83
90	1048	S¸t thñ90
90	1049	S¸t thñ91
90	1050	S¸t thñ92
90	1051	S¸t thñ93
