Level	Exp	Money
C p	Ph«n th≠Îng kinh nghi÷m	Ph«n th≠Îng ng©n l≠Óng
10	1293 	129
11	1526 	153
12	1831 	183
13	2225 	223
14	2571 	257
15	2836 	284
16	3109 	311
17	3375 	337
18	3620 	362
19	3830 	383
20	3883 	388
21	4076 	408
22	4128 	413
23	4221 	422
24	4353 	435
25	4520 	452
26	4721 	472
27	4958 	496
28	5229 	523
29	5536 	554
30	5883 	588
31	6270 	627
32	6538 	654
33	6853 	685
34	7218 	722
35	7633 	763
36	8100 	810
37	8625 	862
38	9533 	953
39	10189 	1019
40	10916 	1092
41	11548 	1155
42	12259 	1226
43	13056 	1306
44	13944 	1394
45	14931 	1493
46	16025 	1602
47	17236 	1724
48	18574 	1857
49	20051 	2005
50	21681 	2168
51	23049 	2305
52	24158 	2416
53	25438 	2544
54	26896 	2690
55	28541 	2854
56	30385 	3038
57	32441 	3244
58	34726 	3473
59	37261 	3726
60	40066 	4007
61	42939 	4294
62	43706 	4371
63	44894 	4489
64	46465 	4646
65	48401 	4840
66	50695 	5070
67	53353 	5335
68	56384 	5638
69	59808 	5981
70	63646 	6365
71	67930 	6793
72	72694 	7269
73	77978 	7798
74	83825 	8383
75	90290 	9029
76	97431 	9743
77	105311 	10531
78	114005 	11400
79	121170 	12359
80	123591 	13416
81	127349 	13517
82	131185 	13635
83	134161 	13718
84	134609 	13861
85	137805 	13981
86	140938 	14094
87	144140 	14414
88	147528 	14753
89	151190 	15119
90	155206 	15521
91	275921 	27592
92	354756 	35476
93	388015 	38801
94	431128 	43113
95	436516 	43652
96	446438 	44644
97	460389 	46039
98	478096 	47810
99	499439 	49944
