Level	PosID	MapName	MapID	WorldX	WorldY	MapX	MapY
Khu v˘c Æºng c p	Tra c¯u Æﬁa Æi”m	T™n b∂n ÆÂ	Tra c¯u b∂n ÆÂ	T‰a ÆÈ X th’ giÌi	T‰a ÆÈ Y th’ giÌi	T‰a ÆÈ X b∂n ÆÂ	T‰a ÆÈ Y b∂n ÆÂ
20	1001	…Ÿ¡÷	204	1453	3468	181	216
20	1002	…Ÿ¡÷	204	1652	3461	206	216
20	1003	…Ÿ¡÷	204	1736	3353	217	209
20	1004	…Ÿ¡÷	204	1482	3194	185	199
20	1005	…Ÿ¡÷	204	1364	3240	170	202
20	1006	…Ÿ¡÷	204	1320	3373	165	210
20	1007	…Ÿ¡÷	204	1471	3443	183	215
20	1008	…Ÿ¡÷	204	1546	3447	193	215
20	1009	…Ÿ¡÷	204	1655	3429	206	214
20	1010	…Ÿ¡÷	204	1764	3487	220	217
20	1011	…Ÿ¡÷	204	1766	3371	220	210
20	1012	…Ÿ¡÷	204	1720	3253	215	203
20	1013	…Ÿ¡÷	204	1476	3184	185	199
20	1014	…Ÿ¡÷	204	1359	3232	169	201
20	1015	…Ÿ¡÷	204	1324	3375	165	210
20	1016	…Ÿ¡÷	204	1331	3486	166	217
20	1017	Œ‰µ±	312	1682	3305	210	206
20	1018	Œ‰µ±	312	2011	3181	252	198
20	1019	Œ‰µ±	312	1994	3505	249	218
20	1020	Œ‰µ±	312	1869	3656	233	228
20	1021	Œ‰µ±	312	1586	3810	198	237
20	1022	Œ‰µ±	312	1510	3264	188	203
20	1023	Œ‰µ±	312	1617	3164	202	197
20	1024	Œ‰µ±	312	1515	3337	189	208
20	1025	Œ‰µ±	312	1484	3775	185	235
20	1026	Œ‰µ±	312	1611	3604	201	225
20	1027	Œ‰µ±	312	1768	3707	221	231
20	1028	Œ‰µ±	312	2000	3498	250	218
20	1029	Œ‰µ±	312	1670	3868	208	241
20	1030	Œ‰µ±	312	1777	3879	222	242
20	1031	Œ‰µ±	312	1965	3854	245	240
20	1032	Œ‰µ±	312	2012	3647	251	227
20	1033	∂Î·“	303	1503	3118	188	194
20	1034	∂Î·“	303	1518	3315	190	206
20	1035	∂Î·“	303	1749	3396	218	212
20	1036	∂Î·“	303	1822	3283	228	205
20	1037	∂Î·“	303	1872	3162	234	197
20	1038	∂Î·“	303	1890	3083	236	192
20	1039	∂Î·“	303	1874	3234	234	202
20	1040	∂Î·“	303	1905	3045	238	190
20	1041	∂Î·“	303	1772	3167	221	197
20	1042	∂Î·“	303	1832	3418	229	213
20	1043	∂Î·“	303	1578	3417	197	213
20	1044	∂Î·“	303	1498	3295	187	205
20	1045	∂Î·“	303	1503	3206	187	200
20	1046	∂Î·“	303	1558	3118	194	194
20	1047	∂Î·“	303	1571	3155	196	197
20	1048	∂Î·“	303	1657	3298	207	206
20	1049	ÿ§∞Ô	209	1439	3367	179	210
20	1050	ÿ§∞Ô	209	1486	3289	185	205
20	1051	ÿ§∞Ô	209	1496	3422	187	213
20	1052	ÿ§∞Ô	209	1582	3398	197	212
20	1053	ÿ§∞Ô	209	1638	3319	204	207
20	1054	ÿ§∞Ô	209	1612	3242	201	202
20	1055	ÿ§∞Ô	209	1574	3095	196	193
20	1056	ÿ§∞Ô	209	1508	3091	188	193
20	1057	ÿ§∞Ô	209	1426	3129	178	195
20	1058	ÿ§∞Ô	209	1441	3229	180	201
20	1059	ÿ§∞Ô	209	1547	3271	193	204
20	1060	ÿ§∞Ô	209	1688	3390	210	211
20	1061	ÿ§∞Ô	209	1718	3330	214	208
20	1062	ÿ§∞Ô	209	1716	3215	214	200
20	1063	ÿ§∞Ô	209	1647	3143	205	196
20	1064	ÿ§∞Ô	209	1673	3071	209	191
20	1065	Ã∆√≈	305	1470	2812	183	175
20	1066	Ã∆√≈	305	1442	2868	180	179
20	1067	Ã∆√≈	305	1473	2959	184	184
20	1068	Ã∆√≈	305	1439	3047	179	190
20	1069	Ã∆√≈	305	1510	3132	188	195
20	1070	Ã∆√≈	305	1435	3171	179	198
20	1071	Ã∆√≈	305	1541	3206	192	200
20	1072	Ã∆√≈	305	1616	3189	202	199
20	1073	Ã∆√≈	305	1701	3200	212	199
20	1074	Ã∆√≈	305	1719	3206	214	189
20	1075	Ã∆√≈	305	1735	2931	217	183
20	1076	Ã∆√≈	305	1708	2870	213	179
20	1077	Ã∆√≈	305	1673	2975	209	185
20	1078	Ã∆√≈	305	1643	2964	205	185
20	1079	Ã∆√≈	305	1599	2906	199	181
20	1080	Ã∆√≈	305	1486	3076	185	192
30	1081	¡È±¶…Ω	218	1826	3239	228	202
30	1082	¡È±¶…Ω	218	1731	3234	216	202
30	1083	¡È±¶…Ω	218	1601	3271	200	204
30	1084	¡È±¶…Ω	218	1621	3321	202	207
30	1085	¡È±¶…Ω	218	1603	3503	200	218
30	1086	¡È±¶…Ω	218	1667	3683	208	230
30	1087	¡È±¶…Ω	218	1730	3634	216	227
30	1088	¡È±¶…Ω	218	1808	3582	226	223
30	1089	¡È±¶…Ω	218	1864	3630	233	226
30	1090	¡È±¶…Ω	218	1890	3451	236	215
30	1091	¡È±¶…Ω	218	1876	3340	234	208
30	1092	¡È±¶…Ω	218	1805	3321	225	207
30	1093	¡È±¶…Ω	218	1677	3354	209	209
30	1094	¡È±¶…Ω	218	1665	3501	208	218
30	1095	¡È±¶…Ω	218	1779	3443	222	215
30	1096	“∞÷Ì¡÷	217	1608	3207	201	200
30	1097	“∞÷Ì¡÷	217	1647	3211	205	200
30	1098	“∞÷Ì¡÷	217	1672	3135	209	195
30	1099	“∞÷Ì¡÷	217	1704	3108	213	194
30	1100	“∞÷Ì¡÷	217	1722	3088	215	192
30	1101	“∞÷Ì¡÷	217	1738	3076	217	192
30	1102	“∞÷Ì¡÷	217	1775	3091	221	193
30	1103	“∞÷Ì¡÷	217	1803	3014	225	188
30	1104	“∞÷Ì¡÷	217	1924	2948	240	184
30	1105	“∞÷Ì¡÷	217	1908	2922	238	182
30	1106	“∞÷Ì¡÷	217	1966	2862	245	178
30	1107	¡˙»™¥Â	106	1410	2899	176	181
30	1108	¡˙»™¥Â	106	1503	2928	187	182
30	1109	¡˙»™¥Â	106	1485	3028	185	189
30	1110	¡˙»™¥Â	106	1570	3014	196	188
30	1111	¡˙»™¥Â	106	1576	3082	197	192
30	1112	¡˙»™¥Â	106	1471	3150	183	196
30	1113	¡˙»™¥Â	106	1396	3076	174	192
30	1114	¡˙»™¥Â	106	1292	3050	161	190
30	1115	¡˙»™¥Â	106	1279	2940	159	183
30	1116	¡˙»™¥Â	106	1374	2878	171	179
30	1117	¡˙»™¥Â	106	1462	2883	182	180
30	1118	¡˙»™¥Â	106	1454	3000	181	187
30	1119	¡˙»™¥Â	106	1284	3008	160	187
30	1120	¡˙»™¥Â	106	1288	2920	161	182
30	1121	¡˙»™¥Â	106	1358	3118	169	194
40	1122	Ω£∏Û Òµ¿ Æπo	309	1125	2975	140	185
40	1123	Ω£∏Û Òµ¿ Æπo	309	1157	2910	144	181
40	1124	Ω£∏Û Òµ¿ Æπo	309	1256	2934	157	183
40	1125	Ω£∏Û Òµ¿ Æπo	309	1340	2909	167	181
40	1126	Ω£∏Û Òµ¿ Æπo	309	1457	2952	182	184
40	1127	Ω£∏Û Òµ¿ Æπo	309	1551	2914	193	182
40	1128	Ω£∏Û Òµ¿ Æπo	309	1575	2973	196	185
40	1129	Ω£∏Û Òµ¿ Æπo	309	1549	3031	193	189
40	1130	Ω£∏Û Òµ¿ Æπo	309	1511	3170	188	198
40	1131	Ω£∏Û Òµ¿ Æπo	309	1484	3201	185	200
40	1132	Ω£∏Û Òµ¿ Æπo	309	1386	3180	173	198
40	1133	Ω£∏Û Òµ¿ Æπo	309	1244	3202	155	200
40	1134	Ω£∏Û Òµ¿ Æπo	309	1192	3129	149	195
40	1135	Ω£∏Û Òµ¿ Æπo	309	1159	3077	144	192
40	1136	Ω£∏Û Òµ¿ Æπo	309	1117	3173	139	198
40	1137	—„√≈πÿ	604	1294	3101	161	193
40	1138	—„√≈πÿ	604	1299	2987	162	186
40	1139	—„√≈πÿ	604	1345	2950	168	184
40	1140	—„√≈πÿ	604	1438	3001	179	187
40	1141	—„√≈πÿ	604	1410	2936	176	183
