Index	Level	Genre	Detail	Particular	Text
H­íng dÉn	CÊp	Lo¹i lín	Lo¹i phô	Lo¹i nhá	Tªn vËt phÈm
1000	40	0	0	8	BÝch Xµ thñ
1001	40	0	0	9	Kh¸ng Long thñ
1002	50	0	0	10	T­êng Ph­îng
1003	50	0	0	11	Né Long
1004	60	0	0	12	Ngò Ph­¬ng Quû Chóng
1005	70	0	0	13	Nª Lª ®Þa ngôc
1006	40	0	2	21	TÝch D­¬ng
1007	40	0	2	22	HuyÒn §iÖn
1008	50	0	2	23	Thanh S­¬ng
1009	50	0	2	24	Dao Quang
1010	60	0	2	25	BÝch HuyÕt
1011	70	0	2	26	HuyÒn thiÕt Träng KiÕm
1012	40	0	5	34	TiÒm Long c«n
1013	40	0	5	35	Tö Kim L­¬ng
1014	50	0	5	36	§¶ CÈu bæng
1015	50	0	5	37	KhÈn Na La Bæng
1016	60	0	5	38	Thiªn Xµ c«n
1017	70	0	5	39	Thanh Long c«n
1018	40	0	1	47	Ngäc Phong ch©m
1019	40	0	1	48	Tô Lý Cµn Kh«n
1020	50	0	1	49	Hµm Sa X¹ ¶nh
1021	50	0	1	50	ThÊt Tinh ThÊu Cèt Ch©m
1022	60	0	1	51	ThÊt S¸t Thiªn La
1023	70	0	1	52	Thiªn ngo¹i phi tiªn
1024	40	0	3	58	Ph¸ S¬n ®ao
1025	40	0	3	59	Nh©n §å ®ao
1026	50	0	3	60	Long L©n
1027	50	0	3	61	B¸ch TÞch
1028	60	0	3	62	Thiªn S¸t
1029	70	0	3	63	B¸ V­¬ng
1030	40	0	10	69	HuyÒn Nhai Phi Béc
1031	40	0	10	70	H¶i NguyÖt Thanh Huy
1032	50	0	10	71	Cöu Tiªu Ngäc Béi
1033	50	0	10	72	HiÖu Chung
1034	60	0	10	73	Lôc Khëi
1035	70	0	10	74	Tiªu VÜ
1036	40	0	9	80	Truy NguyÖt bót
1037	40	0	9	81	ThÞ Hån bót
1038	50	0	9	82	Long ThiÖt
1039	50	0	9	83	R¨ng sãi
1040	60	0	9	84	Ph¸ Qu©n
1041	70	0	9	85	Thiªn C¬
1042	40	0	8	91	NguyÖt Lu©n tr­îng
1043	40	0	8	92	Kh«ng Minh tr­îng
1044	50	0	8	93	B¶o Quang tr­îng
1045	50	0	8	94	§¹i Tù T¹i Tr­îng
1046	60	0	8	95	§¹i B¸t Nh· Tr­îng
1047	70	0	8	96	Thiªn PhËt tr­îng
