Index	Level	Genre	Detail	Particular	Text			
Tra c¯u vÀt ph»m	ßºng c p vÀt ph»m	Loπi lÌn	Loπi phÙ	Loπi nh·	T™n vÀt ph»m			
1000	50	0	101	251	Kim Cang D≠¨ng Trang			
1001	70	0	101	271	Kim Cang Dao Trang			
1002	50	0	101	252	Kim Cang D≠¨ng Trang			
1003	70	0	101	272	Kim Cang Dao Trang			
1004	50	0	103	251	Kim Cang D≠¨ng Qu∏n			
1005	70	0	103	271	Kim Cang Dao Qu∏n			
1006	50	0	103	252	Kim Cang D≠¨ng Qu∏n			
1007	70	0	103	272	Kim Cang Dao Qu∏n			
1008	50	0	100	251	Kim Cang D≠¨ng Th≠Íng			
1009	70	0	100	271	Kim Cang Dao Th≠Íng			
1010	50	0	100	252	Kim Cang D≠¨ng Th≠Íng			
1011	70	0	100	272	Kim Cang Dao Th≠Íng			
1012	50	0	102	251	Kim Cang D≠¨ng BÈi			
1013	70	0	102	271	Kim Cang Dao BÈi			
1014	50	0	102	252	Kim Cang D≠¨ng BÈi			
1015	70	0	102	272	Kim Cang Dao BÈi			
1016	50	0	3	251	Kim Cang D≠¨ng ßao			
1017	70	0	3	271	Kim Cang Dao ßao			
1018	50	0	3	252	Kim Cang D≠¨ng ßao			
1019	70	0	3	272	Kim Cang Dao ßao			
1020	50	0	5	251	Kim Cang D≠¨ng C´n			
1021	70	0	5	271	Kim Cang Dao C´n			
1022	50	0	5	252	Kim Cang D≠¨ng C´n			
1023	70	0	5	272	Kim Cang Dao C´n			
1024	50	0	101	351	Nh≠ Lai D≠¨ng Trang			
1025	70	0	101	371	Nh≠ Lai Dao Trang			
1026	50	0	101	352	Nh≠ Lai D≠¨ng Trang			
1027	70	0	101	372	Nh≠ Lai Dao Trang			
1028	50	0	103	351	Nh≠ Lai D≠¨ng Qu∏n			
1029	70	0	103	371	Nh≠ Lai Dao Qu∏n			
1030	50	0	103	352	Nh≠ Lai D≠¨ng Qu∏n			
1031	70	0	103	372	Nh≠ Lai Dao Qu∏n			
1032	50	0	100	351	Nh≠ Lai D≠¨ng Th≠Íng			
1033	70	0	100	371	Nh≠ Lai Dao Th≠Íng			
1034	50	0	100	352	Nh≠ Lai D≠¨ng Th≠Íng			
1035	70	0	100	372	Nh≠ Lai Dao Th≠Íng			
1036	50	0	102	351	Nh≠ Lai D≠¨ng BÈi			
1037	70	0	102	371	Nh≠ Lai Dao BÈi			
1038	50	0	102	352	Nh≠ Lai D≠¨ng BÈi			
1039	70	0	102	372	Nh≠ Lai Dao BÈi			
1040	50	0	8	351	Nh≠ Lai D≠¨ng Tr≠Óng			
1041	70	0	8	371	Nh≠ Lai Dao Tr≠Óng			
1042	50	0	8	352	Nh≠ Lai D≠¨ng Tr≠Óng			
1043	70	0	8	372	Nh≠ Lai Dao Tr≠Óng			
1044	50	0	101	451	La H∏n D≠¨ng Trang			
1045	70	0	101	471	La H∏n Dao Trang			
1046	50	0	101	452	La H∏n D≠¨ng Trang			
1047	70	0	101	472	La H∏n Dao Trang			
1048	50	0	103	451	La H∏n D≠¨ng Qu∏n			
1049	70	0	103	471	La H∏n Dao Qu∏n			
1050	50	0	103	452	La H∏n D≠¨ng Qu∏n			
1051	70	0	103	472	La H∏n Dao Qu∏n			
1052	50	0	100	451	La H∏n D≠¨ng Th≠Íng			
1053	70	0	100	471	La H∏n Dao Th≠Íng			
1054	50	0	100	452	La H∏n D≠¨ng Th≠Íng			
1055	70	0	100	472	La H∏n Dao Th≠Íng			
1056	50	0	102	451	La H∏n D≠¨ng BÈi			
1057	70	0	102	471	La H∏n Dao BÈi			
1058	50	0	102	452	La H∏n D≠¨ng BÈi			
1059	70	0	102	472	La H∏n Dao BÈi			
1060	50	0	0	451	La H∏n D≠¨ng ThÒ			
1061	70	0	0	471	La H∏n Dao ThÒ			
1062	50	0	0	452	La H∏n D≠¨ng ThÒ			
1063	70	0	0	472	La H∏n Dao ThÒ			
1064	50	0	101	651	Hi÷p Kh∏ch D≠¨ng Trang			
1065	70	0	101	671	Hi÷p Kh∏ch Dao Trang			
1066	50	0	101	652	Hi÷p Kh∏ch D≠¨ng Trang			
1067	70	0	101	672	Hi÷p Kh∏ch Dao Trang			
1068	50	0	101	653	Hi÷p Kh∏ch D≠¨ng Trang			
1069	70	0	101	673	Hi÷p Kh∏ch Dao Trang			
1070	50	0	101	654	Hi÷p Kh∏ch D≠¨ng Trang			
1071	70	0	101	674	Hi÷p Kh∏ch Dao Trang			
1072	50	0	103	651	Hi÷p Kh∏ch D≠¨ng Qu∏n			
1073	70	0	103	671	Hi÷p Kh∏ch Dao Qu∏n			
1074	50	0	103	652	Hi÷p Kh∏ch D≠¨ng Qu∏n			
1075	70	0	103	672	Hi÷p Kh∏ch Dao Qu∏n			
1076	50	0	103	653	Hi÷p Kh∏ch D≠¨ng Qu∏n			
1077	70	0	103	673	Hi÷p Kh∏ch Dao Qu∏n			
1078	50	0	103	654	Hi÷p Kh∏ch D≠¨ng Qu∏n			
1079	70	0	103	674	Hi÷p Kh∏ch Dao Qu∏n			
1080	50	0	100	651	Hi÷p Kh∏ch D≠¨ng Th≠Íng			
1081	70	0	100	671	Hi÷p Kh∏ch Dao Th≠Íng			
1082	50	0	100	652	Hi÷p Kh∏ch D≠¨ng Th≠Íng			
1083	70	0	100	672	Hi÷p Kh∏ch Dao Th≠Íng			
1084	50	0	100	653	Hi÷p Kh∏ch D≠¨ng Th≠Íng			
1085	70	0	100	673	Hi÷p Kh∏ch Dao Th≠Íng			
1086	50	0	100	654	Hi÷p Kh∏ch D≠¨ng Th≠Íng			
1087	70	0	100	674	Hi÷p Kh∏ch Dao Th≠Íng			
1088	50	0	102	651	Hi÷p Kh∏ch D≠¨ng BÈi			
1089	70	0	102	671	Hi÷p Kh∏ch Dao BÈi			
1090	50	0	102	652	Hi÷p Kh∏ch D≠¨ng BÈi			
1091	70	0	102	672	Hi÷p Kh∏ch Dao BÈi			
1092	50	0	102	653	Hi÷p Kh∏ch D≠¨ng BÈi			
1093	70	0	102	673	Hi÷p Kh∏ch Dao BÈi			
1094	50	0	102	654	Hi÷p Kh∏ch D≠¨ng BÈi			
1095	70	0	102	674	Hi÷p Kh∏ch Dao BÈi			
1096	50	0	1	651	Hi÷p Kh∏ch D≠¨ng Ch©m			
1097	70	0	1	671	Hi÷p Kh∏ch Dao Ch©m			
1098	50	0	1	652	Hi÷p Kh∏ch D≠¨ng Ch©m			
1099	70	0	1	672	Hi÷p Kh∏ch Dao Ch©m			
1100	50	0	1	653	Hi÷p Kh∏ch D≠¨ng Ch©m			
1101	70	0	1	673	Hi÷p Kh∏ch Dao Ch©m			
1102	50	0	1	654	Hi÷p Kh∏ch D≠¨ng Ch©m			
1103	70	0	1	674	Hi÷p Kh∏ch Dao Ch©m			
1104	50	0	101	853	Quan ¢m D≠¨ng Trang			
1105	70	0	101	873	Quan ¢m Dao Trang			
1106	50	0	101	854	Quan ¢m D≠¨ng Trang			
1107	70	0	101	874	Quan ¢m Dao Trang			
1108	50	0	103	853	Quan ¢m D≠¨ng Qu∏n			
1109	70	0	103	873	Quan ¢m Dao Qu∏n			
1110	50	0	103	854	Quan ¢m D≠¨ng Qu∏n			
1111	70	0	103	874	Quan ¢m Dao Qu∏n			
1112	50	0	100	853	Quan ¢m D≠¨ng Th≠Íng			
1113	70	0	100	873	Quan ¢m Dao Th≠Íng			
1114	50	0	100	854	Quan ¢m D≠¨ng Th≠Íng			
1115	70	0	100	874	Quan ¢m Dao Th≠Íng			
1116	50	0	102	853	Quan ¢m D≠¨ng BÈi			
1117	70	0	102	873	Quan ¢m Dao BÈi			
1118	50	0	102	854	Quan ¢m D≠¨ng BÈi			
1119	70	0	102	874	Quan ¢m Dao BÈi			
1120	50	0	2	853	Quan ¢m D≠¨ng Ki’m			
1121	70	0	2	873	Quan ¢m Dao Ki’m			
1122	50	0	2	854	Quan ¢m D≠¨ng Ki’m			
1123	70	0	2	874	Quan ¢m Dao Ki’m			
1124	50	0	101	953	Ng‰c N˜ D≠¨ng  Trang			
1125	70	0	101	973	Ng‰c N˜ Dao Trang			
1126	50	0	101	954	Ng‰c N˜ D≠¨ng  Trang			
1127	70	0	101	974	Ng‰c N˜ Dao Trang			
