Index	Level	TaskID	TaskValue	TaskInfo
H­íng dÉn	§¼ng cÊp	Sè hiÖu thay ®æi nhiÖm vô	Gi¸ trŞ thay ®æi nhiÖm vô	ThuyÕt minh nhiÖm vô
1	1	390	0	TiÓu hiÖp ®¹t cÊp 10 cã thÓ ®Õn t×m <color=yellow>Chñ Th­¬ng héi<color> nhËn <color=yellow>nhiÖm vô Th­¬ng héi<color>, sau khi hoµn thµnh sÏ nhËn ®­îc ng©n l­îng vµ danh väng.
2	10	336	0	B»ng h÷u ®· vµo m«n ph¸i nµo ch­a? NÕu nh­ ®· gia nhËp m«n ph¸i, sau khi chän hÖ ph¸i tïy ı cã thÓ ®Õn gÆp <color=yellow>ch­ëng m«n<color> nhËn <color=yellow>NhiÖm vô s­ m«n<color>. Hoµn thµnh nhiÖm vô ®Çu tiªn mçi ngµy sÏ nhËn ®­îc <color=yellow>Thİ LuyÖn Qña<color>, ngoµi ®­îc t¨ng ®iÓm kinh cña b¶n th©n cßn nhËn ®­îc mét sè ®iÓm nhÊt ®Şnh cèng hiÕn s­ m«n, nhËn ®­îc <color=yellow>binh khİ quı hiÕm<color> cña s­ m«n, b»ng h÷u cã thêi gian th× h·y thö xem.
3	10	1713	0	B»ng h÷u ®· ®¹t ®Õn cÊp 10, xem ra ®· cã chót kinh nghiÖm trªn giang hå, cã tõng nghe qua ®ua thuyÒn rång ch­a? Bªn c¹nh D· TÈu cã <color=yellow>Long Chu sø gi¶<color>, cã thÓ mêi c¸c vŞ b»ng h÷u cïng tham gia. Cã thÓ dïng ®iÓm tİch lòy thi ®Êu ®æi <color=yellow>b¸nh ch­ng, vò khİ cÊp 76, thó c­ìi cÊp 70, KhuÊt Nguyªn Ngäc Béi<color> vµ c¸c vËt phÈm quı gi¸ kh¸c.
4	10	1925	0	B»ng h÷u ®· ®¹t cÊp10, cã thÓ häc <color=yellow>kü n¨ng sèng<color>. Ng­êi trong giang hå kh«ng cã mét İt së tr­êng th× kh«ng ®­îc ®©u, b»ng h÷u cã thÓ ®Õn t×m <color=yellow>Du Ph­¬ng ®¹i phu (215.225)<color=yellow> ë Thµnh §« häc kü n¨ng sèng liªn quan.
5	40	751	0	B»ng h÷u ®· cã chót kinh nghiÖm trªn giang hå, hiÖn §¹i Tèng vµ Liªu Quèc thÕ bÊt l­ìng lËp, t¹i <color=yellow>Nh¹n M«n Quan<color> th­êng diÔn ra ®¹i chiÕn. B»ng h÷u ®· cã chót c¨n c¬ cã thÓ vµo khu vùc cÊp thÊp cña chiÕn tr­êng ®Ó xem thö kh¶ n¨ng. NÕu theo bªn Tèng th× ®Õn BiÖn Kinh t×m <color=yellow>TriÖu Diªn Niªn (161.179)<color>, theo Liªu Quèc th× ®Õn BiÖn Kinh t×m <color=yellow>Tiªu ViÔn L©u (162.174)<color>.
6	50	1801	0	B»ng h÷u ®· cã chót kinh nghiÖm trªn giang hå, ®· tõng nghe qua <color=yellow>Tµng KiÕm S¬n Trang<color>, s¬n trang nµy lµ mét trong nh÷ng n¬i hiÓm yÕu trong giang hå, ng­êi trong s¬n trang ai nÊy còng vâ c«ng cao c­êng. HiÖn t¹i Trang chñ ®ang chiªu mé anh hïng trong thiªn h¹, chØ cÇn v­ît qua 7 ¶i Tµng KiÕm sÏ ®­îc träng th­ëng, nhËn ®­îc <color=yellow>binh khİ quı hiÕm<color> trong s¬n trang. B»ng h÷u cã thÓ mêi c¸c vŞ b»ng h÷u cïng tham gia v­ît ¶i thö xem.
7	60	750	0	HiÖn Tèng vµ Liªu ®ang ph©n tranh t¹i <color=yellow>Nh¹n M«n Quan<color> th­êng diÔn ra ®¹i chiÕn. B»ng h÷u ®· lµ mét cao thñ cã thÓ vµo khu vùc cao cÊp cña chiÕn tr­êng ®Ó xem thö kh¶ n¨ng. NÕu theo bªn Tèng th× ®Õn BiÖn Kinh t×m <color=yellow>TriÖu Diªn Niªn (161.179)<color>, theo Liªu Quèc th× ®Õn BiÖn Kinh t×m <color=yellow>Tiªu ViÔn L©u (162.174)<color>.
8	75	1782	0	B»ng h÷u ®· cã chót kinh nghiÖm trªn giang hå, cã nghe qua <color=yellow>ThÇn Du Ch©n Nh©n<color> vµ <color=yellow>Th¸i H­ HuyÔn C¶nh<color>, nghe nãi Th¸i H­ HuyÔn C¶nh lµ n¬i Cöu Thiªn HuyÒn N÷ thanh tu, ThÇn Du Ch©n Nh©n ®­a ng­êi trÇn vµo Th¸i H­ HuyÔn C¶nh. B»ng h÷u nÕu cã thêi gian cã thÓ mêi c¸c vŞ b»ng h÷u cïng nhau vµo Th¸i H­ HuyÔn C¶nh tu luyÖn.
9	10	390	0	TiÓu hiÖp ®¹t cÊp 10 cã thÓ ®Õn t×m <color=yellow>Chñ Th­¬ng héi<color> nhËn <color=yellow>nhiÖm vô Th­¬ng héi<color>, sau khi hoµn thµnh sÏ nhËn ®­îc ng©n l­îng vµ danh väng.
