Index	MapID	MapName	NpcName	PosX	PosY
H­íng dÉn	ID khu vùc	Tªn b¶n ®å	Tªn Npc	Tung ®é	Hoµnh ®é
1	200	BiÖn Kinh	D· TÈu	147	176
2	200	BiÖn Kinh	Chñ TiÖm vò khÝ	173	174
3	200	BiÖn Kinh	Chñ D­îc ®iÕm	170	176
4	200	BiÖn Kinh	Chñ T¹p hãa	178	177
5	200	BiÖn Kinh	Chñ TiÖm Nam phôc	167	177
6	200	BiÖn Kinh	Chñ TiÖm N÷ phôc	181	177
7	200	BiÖn Kinh	Chñ Kim hoµn	165	181
8	200	BiÖn Kinh	Chñ tiÒn trang	179	180
9	200	BiÖn Kinh	Thñ khè (§«ng)	186	184
10	200	BiÖn Kinh	Thñ khè (Nam)	162	186
11	200	BiÖn Kinh	Thñ khè (T©y)	159	173
12	200	BiÖn Kinh	Xa phu	183	186
13	200	BiÖn Kinh	Xa phu	157	184
14	200	BiÖn Kinh	Xa phu	158	169
15	200	BiÖn Kinh	Qu¶n lý cöa hiÖu	178	175
16	200	BiÖn Kinh	M¹c §¹i	178	188
17	200	BiÖn Kinh	V©n Du §¹o Nh©n	169	187
18	200	BiÖn Kinh	Ngù Trï	197	180
19	200	BiÖn Kinh	L­u NhÊt Phñ	152	181
20	200	BiÖn Kinh	Thî s¨n Tr­¬ng	168	188
21	200	BiÖn Kinh	Bé ®Çu	174	166
22	200	BiÖn Kinh	LÔ quan	185	172
23	200	BiÖn Kinh	Chñ th­¬ng héi	170	182
24	200	BiÖn Kinh	Hµnh C­íc Th­¬ng Nh©n	177	183
25	200	BiÖn Kinh	Sø gi¶ m«n ph¸i	175	176
26	200	BiÖn Kinh	Sø gi¶	144	177
27	200	BiÖn Kinh	Ch©n Tö §¬n	172	179
28	200	BiÖn Kinh	Sø gi¶ Tµng KiÕm	153	172
29	200	BiÖn Kinh	TriÖu Diªn Niªn	161	179
30	200	BiÖn Kinh	Tiªu ViÔn L©u	162	174
31	200	BiÖn Kinh	Sø gi¶ bang ph¸i	160	175
32	200	BiÖn Kinh	VÖ binh thµnh m«n	155	169
33	200	BiÖn Kinh	VÖ binh thµnh m«n	154	170
34	200	BiÖn Kinh	VÖ binh thµnh m«n	154	187
35	200	BiÖn Kinh	VÖ binh thµnh m«n	155	187
36	200	BiÖn Kinh	VÖ binh thµnh m«n	191	187
37	200	BiÖn Kinh	VÖ binh thµnh m«n	190	188
38	200	BiÖn Kinh	Tµo B©n	196	176
39	200	BiÖn Kinh	Binh Bé ThÞ Lang	194	176
40	200	BiÖn Kinh	Binh Bé Thñ vÖ	193	178
41	200	BiÖn Kinh	Binh Bé Thñ vÖ	193	178
42	200	BiÖn Kinh	TriÖu Phæ	175	166
43	200	BiÖn Kinh	ThÞ VÖ T­íng phñ	172	167
44	200	BiÖn Kinh	CÊm qu©n	183	172
45	200	BiÖn Kinh	CÊm qu©n	185	173
46	200	BiÖn Kinh	CÊm qu©n	182	172
47	200	BiÖn Kinh	CÊm qu©n	187	171
48	200	BiÖn Kinh	KhÊu ChuÈn	177	174
49	200	BiÖn Kinh	Chñ töu lÇu	185	179
50	200	BiÖn Kinh	TiÓu nhÞ	184	179
51	200	BiÖn Kinh	Nh©n sÜ giang hå	184	180
52	200	BiÖn Kinh	Tµo §¹i Lùc	187	180
53	200	BiÖn Kinh	Gi¸o sÜ	166	175
