NpcID	NpcName	NpcMap	MapID
NpcID	Tªn Npc	V¨n tù Map hiÖn t¹i	ID b¶n ®å hiÖn t¹i 
3001	Thñ khè	BiÖn Kinh	200
3002	Xa phu	BiÖn Kinh	200
3003	TriÖu Phæ	BiÖn Kinh	200
3004	Bé ®Çu	BiÖn Kinh	200
3005	VÖ binh thµnh m«n	BiÖn Kinh	200
3006	Tµo B©n	BiÖn Kinh	200
3007	Binh Bé ThÞ Lang	BiÖn Kinh	200
3008	Binh Bé Thñ vÖ	BiÖn Kinh	200
3009	ThÞ VÖ T­íng phñ	BiÖn Kinh	200
3010	CÊm qu©n	BiÖn Kinh	200
3011	LÔ quan	BiÖn Kinh	200
3012	D· TÈu	BiÖn Kinh	200
3013	Chñ TiÖm vò khÝ	BiÖn Kinh	200
3014	Chñ D­îc ®iÕm	BiÖn Kinh	200
3015	Chñ T¹p hãa	BiÖn Kinh	200
3016	Chñ TiÖm Nam phôc	BiÖn Kinh	200
3017	Chñ TiÖm N÷ phôc	BiÖn Kinh	200
3018	Chñ töu lÇu	BiÖn Kinh	200
3019	TiÓu nhÞ	BiÖn Kinh	200
3020	Nh©n sÜ giang hå	BiÖn Kinh	200
3021	Tµo §¹i Lùc	BiÖn Kinh	200
3022	Vâ s­	BiÖn Kinh	200
3023	Chñ tiÒn trang	BiÖn Kinh	200
3024	Chñ Kim hoµn	BiÖn Kinh	200
3025	Sø gi¶ m«n ph¸i	BiÖn Kinh	200
3026	Hµng xãm Hµn TrÝ Nh­îng	BiÖn Kinh	200
3027	Tiªu s­	BiÖn Kinh	200
3028	Vò N­¬ng	BiÖn Kinh	200
3029	ThÇy bãi	BiÖn Kinh	200
3030	Quan viªn tho¸i nhiÖm	BiÖn Kinh	200
3031	Chñ th­¬ng héi	BiÖn Kinh	200
3032	Hµnh C­íc Th­¬ng Nh©n	BiÖn Kinh	200
3033	B¸ch HiÓu Sinh	BiÖn Kinh	200
3034	Ngù Trï	BiÖn Kinh	200
3035	Chñ Kim hoµn	BiÖn Kinh	200
3036	V©n Du §¹o Nh©n	BiÖn Kinh	200
