Index	Level	TaskID	TaskValue	TaskInfo
H­íng dÉn	§¼ng cÊp	Sè hiÖu thay ®æi nhiÖm vô	Gi¸ trÞ thay ®æi nhiÖm vô	ThuyÕt minh nhiÖm vô
1	1	1	100	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u h·y ®Õn gÆp <color=yellow>D· TÈu<color> häc 1 sè kinh nghiÖm giang hå, sÏ rÊt h÷u Ých ®ã.
2	10	1	100	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u vÉn ch­a gÆp D· TÈu µ? <color=yellow>KhÊu ®¹i nh©n<color> ë BiÖn Kinh, <color=yellow>Ph¹m §¹i Nh©n<color> ë Thµnh §«, vµ <color=yellow>¤ng chñ V­¬ng<color> ë TuyÒn Ch©u lµ chç quen biÕt víi «ng Êy, muèn hiÓu râ giang hå h·y mau ®i hái D· TÈu.
3	1	1	1	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Thî rÌn µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
4	1	1	2	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Chñ tiÖm phôc trang µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
5	1	1	3	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Chñ Kim hoµn µ? Cã thÓ xem trªn <color=yellow>b¶n ®ånhá<color>.
6	1	1	4	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Chñ D­îc ®iÕm µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
7	1	1	5	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Chñ tiÖm t¹p hãa µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
8	1	1	6	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ®· ®èi tho¹i víi hä xong, H·y vÒ gÆp <color=yellow>D· TÈu<color>!
9	4	1	7	<color=green>Nh.vô S¬ nhËp<color>: §¹t ®Õn cÊp 4, h·y ®i gÆp <color=yellow>D· TÈu<color>.
10	4	1	8	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp VÖ Binh µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
11	4	1	9	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Vâ S­ µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
12	4	1	10	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ®· häc xong kü n¨ng chiÕn ®Êu, h·y vÒ gÆp <color=yellow>D· TÈu<color>.
13	6	1	11	<color=green>Nh.vô S¬ nhËp<color>: §¹t ®Õn cÊp 6, h·y ®i gÆp <color=yellow>D· TÈu<color>.
14	6	1	12	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Chñ töu lÇu µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
15	6	1	13	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ch­a gÆp Tiªu s­ µ? Cã thÓ xem trªn <color=yellow>B¶n ®å nhá<color>!
16	6	1	14	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ®· biÕt giao thiÖp b»ng h÷u, h·y vÒ gÆp <color=yellow>D· TÈu<color>?
17	6	1	15	<color=green>Nh.vô S¬ nhËp<color>: H·y mêi mét ng­êi tæ ®éi víi m×nh vµ dÉn ®Õn gÆp <color=yellow>D· TÈu<color>.
18	8	1	16	<color=green>Nh.vô S¬ nhËp<color>: §¹t ®Õn cÊp 8, h·y ®i gÆp <color=yellow>D· TÈu<color>.
19	8	1	17	<color=green>Nh.vô S¬ nhËp<color>: B»ng h÷u ®· hiÓu ®Æc s¾c cña mçi m«n ph¸i, h·y vÒ gÆp <color=yellow>D· TÈu<color>.
20	8	1	18	<color=green>Nh.vô S¬ nhËp<color>: Sau khi ®· t×m hiÓu ®Æc thï cña mçi m«n ph¸i, h·y ®i nãi chuyÖn víi <color=yellow>B¸ch HiÓu Sinh<color>
