ID	CommandType	TargetMap	TargetDisplayName	ScriptFile	ScriptFunc
1	0	300	Vâ s­	\script\task\world\ox_quest\five_elements_weapon\step001_001_³É¶¼ĞÂÊÖÎäÊ¦.lua	wq_ox_few_001_001
2	0	300	Chñ l«i ®µi	\script\task\world\ox_quest\five_elements_weapon\step001_002_³É¶¼ÀŞÌ¨ÀÏ°å.lua	wq_ox_few_001_002
3	0	300	VÖ binh thµnh m«n	\script\task\world\ox_quest\five_elements_weapon\step002_001_³É¶¼³ÇÃÅÎÀ±ø.lua	wq_ox_few_002_001
4	0	300	Bé ®Çu	\script\task\world\ox_quest\five_elements_weapon\step002_002_³É¶¼ÑÃÃÅ²¶Í·.lua	wq_ox_few_002_002
5	0	300	Bé ®Çu	\script\task\world\ox_quest\five_elements_weapon\step002_003_³É¶¼ÑÃÃÅ²¶Í·.lua	wq_ox_few_002_003
6	0	300	Bé ®Çu	\script\task\world\ox_quest\five_elements_weapon\step002_005_³É¶¼ÑÃÃÅ²¶Í·.lua	wq_ox_few_002_005
7	0	300	Bé ®Çu	\script\task\world\ox_quest\five_elements_weapon\step003_002_³É¶¼ÑÃÃÅ²¶Í·.lua	wq_ox_few_003_002
8	0	300	Bé ®Çu	\script\task\world\ox_quest\five_elements_weapon\step004_001_³É¶¼ÑÃÃÅ²¶Í·.lua	wq_ox_few_004_001
9	0	304	§éi tr­ëng Binh sÜ	\script\task\world\ox_quest\five_elements_weapon\step004_002_³É¶¼Ê¿±ø¶Ó³¤.lua	wq_ox_few_004_002
10	0	304	Binh sÜ	\script\task\world\ox_quest\five_elements_weapon\step004_003_³É¶¼ÄÏ½¼Ê¿±ø.lua	wq_ox_few_004_003
11	0	304	Binh sÜ	\script\task\world\ox_quest\five_elements_weapon\step004_005_³É¶¼ÄÏ½¼Ê¿±ø.lua	wq_ox_few_004_005
12	0	200	Chñ TiÖm vò khİ	\script\task\world\ox_quest\five_elements_weapon\step005_001_ãê¾©ÎäÆ÷ÀÏ°å.lua	wq_ox_few_005_001
13	0	200	Chñ TiÖm vò khİ	\script\task\world\ox_quest\five_elements_weapon\step005_002_ãê¾©ÎäÆ÷ÀÏ°å.lua	wq_ox_few_005_002
14	0	200	Chñ TiÖm vò khİ	\script\task\world\ox_quest\five_elements_weapon\step005_004_ãê¾©ÎäÆ÷ÀÏ°å.lua	wq_ox_few_005_004

51	0	301	Th«n d©n	\script\task\world\ox_quest\oni_boar_teeth\step001_001_³É¶¼Î÷½¼´åÃñ.lua	wq_ox_obt_001_001
52	0	301	Th«n d©n	\script\task\world\ox_quest\oni_boar_teeth\step001_003_³É¶¼Î÷½¼´åÃñ.lua	wq_ox_obt_001_003
53	0	301	Th«n d©n	\script\task\world\ox_quest\oni_boar_teeth\step001_005_³É¶¼Î÷½¼´åÃñ.lua	wq_ox_obt_001_005
54	0	301	Th«n d©n	\script\task\world\ox_quest\oni_boar_teeth\step001_007_³É¶¼Î÷½¼´åÃñ.lua	wq_ox_obt_001_007

101	0	308	Chñ tiÖm nhá	\script\task\world\ox_quest\the_black_blood\step001_001_³É¶¼±±½¼Ğ¡µêÀÏ°å.lua	wq_ox_tbb_001_001
102	0	308	Chñ tiÖm nhá	\script\task\world\ox_quest\the_black_blood\step001_003_³É¶¼±±½¼Ğ¡µêÀÏ°å.lua	wq_ox_tbb_001_003
105	0	308	§øa bĞ ®¸ng th­¬ng	\script\task\world\ox_quest\the_black_blood\step002_001_³É¶¼±±½¼¿ÉÁ¯Ğ¡º¢.lua	wq_ox_tbb_002_001
106	0	308	LiÖp Hé	\script\task\world\ox_quest\the_black_blood\step002_002_³É¶¼±±½¼ÁÔ»§.lua	wq_ox_tbb_002_002
107	0	308	LiÖp Hé	\script\task\world\ox_quest\the_black_blood\step002_004_³É¶¼±±½¼ÁÔ»§.lua	wq_ox_tbb_002_004

200	0	200	TriÖu Diªn Niªn	\script\task\world\´óÀí\task_trigger.lua	Zhaoyannian_Talk
201	0	350	M¹c Tam	\script\task\world\´óÀí\task_trigger.lua	MoSan_Talk
202	0	219	Xa Th¸i Qu©n	\script\task\world\´óÀí\task_trigger.lua	SheTaiJun_Talk
203	0		B¸ch HiÓu Sinh	\script\task\world\´óÀí\task_trigger.lua	BaiXiaoSheng_Talk

210	0	500	¢u D­¬ng Häa 	\script\task\world\xibei\task_trigger.lua	ouyanghua_talk

2001	0	100	D· TÈu	\script\online\newyear08\bainian_trigger.lua	main
2002	0	100	Chñ TiÖm vò khİ	\script\online\newyear08\bainian_trigger.lua	main
2003	0	100	Chñ D­îc ®iÕm	\script\online\newyear08\bainian_trigger.lua	main
2004	0	100	Chñ T¹p hãa	\script\online\newyear08\bainian_trigger.lua	main
2005	0	100	Chñ TiÖm Nam phôc	\script\online\newyear08\bainian_trigger.lua	main
2006	0	100	Chñ TiÖm N÷ phôc	\script\online\newyear08\bainian_trigger.lua	main
2007	0	100	Chñ Kim hoµn	\script\online\newyear08\bainian_trigger.lua	main
2008	0	100	Chñ tiÒn trang	\script\online\newyear08\bainian_trigger.lua	main
2009	0	100	Thñ khè	\script\online\newyear08\bainian_trigger.lua	main
2010	0	100	Xa phu TuyÒn Ch©u	\script\online\newyear08\bainian_trigger.lua	main
2011	0	100	Qu¶n lı cöa hiÖu	\script\online\newyear08\bainian_trigger.lua	main
2012	0	100	L©m D­îc S­	\script\online\newyear08\bainian_trigger.lua	main
2013	0	100	Lı Phong Thu	\script\online\newyear08\bainian_trigger.lua	main
2014	0	100	Chñ l«i ®µi	\script\online\newyear08\bainian_trigger.lua	main
2015	0	100	ChØ huy sø	\script\online\newyear08\bainian_trigger.lua	main
2016	0	100	Sø gi¶ bang ph¸i	\script\online\newyear08\bainian_trigger.lua	main
2018	0	100	LÔ quan	\script\online\newyear08\bainian_trigger.lua	main
2019	0	100	Bé ®Çu	\script\online\newyear08\bainian_trigger.lua	main
2021	0	100	Hµnh C­íc Th­¬ng Nh©n	\script\online\newyear08\bainian_trigger.lua	main
2022	0	100	Sø gi¶ Tµng KiÕm	\script\online\newyear08\bainian_trigger.lua	main
2023	0	100	Chñ th­¬ng héi	\script\online\newyear08\bainian_trigger.lua	main
2024	0	100	Vâ s­	\script\online\newyear08\bainian_trigger.lua	main
2025	0	100	TiÓu ®ång	\script\online\newyear08\bainian_trigger.lua	main
2026	0	100	§¹i Chİ C­êng	\script\online\newyear08\bainian_trigger.lua	main
2027	0	100	Th¸i thó	\script\online\newyear08\bainian_trigger.lua	main
2028	0	100	VÖ binh thµnh m«n	\script\online\newyear08\bainian_trigger.lua	main
2029	0	100	La Sa	\script\online\newyear08\bainian_trigger.lua	main
2030	0	100	V­¬ng NghiÖp VÜ	\script\online\newyear08\bainian_trigger.lua	main
2031	0	100	Tiªu s­	\script\online\newyear08\bainian_trigger.lua	main
