ID	TriggerType	ScriptFile	ScriptFunc
201	1	\script\task\world\lizhi_汴京\task_trigger.lua	Leave_Game
202	1	\script\task\world\lizhi_泉州\task_trigger.lua	Leave_Game
203	0	\script\online\\春节活动\snowwar\snowwar_head.lua	OnLogin
204	0	\script\结婚\mission\mission_head.lua	OnLogin
205	0	\script\task\killer_hall\mission\mission_head.lua	OnLogin
206	0	\script\missions\tong_mission\mission\mission_head.lua	OnLogin
207	0	\script\gongcheng\mission\mission_head.lua	OnLogin
300	1	\script\task\practice\practice_trigger.lua	Leave_Game
400	1	\script\task\WeekEnd\task_trigger.lua	Leave_Game_Wk
401	1	\script\task\WeekEnd\task_trigger.lua	Leave_Game_Boss
402	1	\script\online\3festival\trigger.lua	OnLogout
403	0	\script\online\3festival\trigger.lua	OnLogin
404	0	\script\missions\tianmenzhen\trigger.lua	OnLogin
1101	1	\script\藏剑山庄\task_script\成都\藏剑使者.lua	Leave_Map
1102	1	\script\藏剑山庄\task_script\汴京\藏剑使者.lua	Leave_Map
1103	1	\script\藏剑山庄\task_script\泉州\藏剑使者.lua	Leave_Map
1104	1	\script\藏剑山庄\task_script\襄阳\藏剑使者.lua	Leave_Map
1105	1	\script\藏剑山庄\task_script\扬州\藏剑使者.lua	Leave_Map
1106	0	\script\太虚幻境\trigger.lua	OnLogin
1107	0	\script\task\faction_back_room\trigger.lua	OnLogin
1108	0	\script\newbattles\trigger.lua	OnLogin
1109	0	\script\biwudahui\tournament\mission\mission_head.lua	OnLogin
1110	0	\script\missions\northwest_mission\mission\mission_head.lua	Ms_on_log_in
1111	0	\script\missions\northwest_mission\dragon_door_feast\mission_head.lua	OnLogin
1112	0	\script\online\qixi08\box\mission.lua	OnLogin
1113	0	\script\online\qixi08\light\mission\mission_head.lua	OnLogin
3001	0	\script\online\jpz_event\first_tong\mission_head.lua	OnLogin
3002	0	\script\online_activites\tiaozhansilingboss\mission_head.lua	OnLogin
3003	0	\script\missions\dragonboat2011\lzz_trigger.lua	OnLogin
3004	1	\script\online_activites\2011_10\activity_03\teacher_day.lua	Leave_Game
3005	1	\script\online_activites\treasure_box\loginout.lua	Leave_Game
3006	1	\script\online_activites\2011_12\qingrenjie\item_chocolate.lua	Leave_Game
3007	1	\script\task\item\战旗.lua	Leave_Game
3008	1	\script\task\item\灭法阵盘.lua	Leave_Game
3009	1	\script\function\zq_battles\zq_head.lua	ZQ_Leave_Game
3010	1	\script\online_activites\201305\plant_flower.lua	Leave_Game
3011	1	\script\missions\siling_trial\slt_head.lua	slt_LeaveGame
