C p	Kinh nghi÷m th®ng c p nh©n vÀt ch≠a chuy”n sinh	ExpAdd0	ßi”m ti“m n®ng lÛc ch≠a trÔng sinh	Kinh nghi÷m th®ng c p cÒa nh©n vÀt chuy”n sinh l«n 1	ExpAdd1	ßi”m ti“m n®ng cÒa chuy”n sinh l«n 1	Kinh nghi÷m th®ng c p cÒa trÔng sinh l«n 2	ExpAdd2	ßi”m ti“m n®ng cÒa trÔng sinh l«n 2
1	0		0	0		0	0		0
2	10		3	20		3	30		3
3	20		3	40		3	60		3
4	40		3	80		3	120		3
5	80		3	160		3	240		3
6	140		3	280		3	420		3
7	245		3	490		3	735		3
8	429		3	858		3	1287		3
9	643		3	1286		3	1929		3
10	965		4	1930		4	2895		4
11	1302		4	2604		4	3906		4
12	1758		4	3516		4	5274		4
13	2373		4	4746		4	7119		4
14	3086		4	6172		4	9258		4
15	3857		4	7714		4	11571		4
16	4725		4	9450		4	14175		4
17	5670		4	11340		4	17010		4
18	6662		4	13324		4	19986		4
19	7661		4	15322		4	22983		4
20	8695		5	17390		5	26085		5
21	9782		5	19564		5	29346		5
22	11005		5	22010		5	33015		5
23	12381		5	24762		5	37143		5
24	13928		5	27856		5	41784		5
25	15669		5	31338		5	47007		5
26	17628		5	35256		5	52884		5
27	19832		5	39664		5	59496		5
28	22311		5	44622		5	66933		5
29	25099		5	50198		5	75297		5
30	28237		6	56474		6	84711		6
31	32049		6	64098		6	96147		6
32	36375		6	72750		6	109125		6
33	41286		6	82572		6	123858		6
34	46860		6	93720		6	140580		6
35	53186		6	106372		6	159558		6
36	60366		6	120732		6	181098		6
37	68515		6	137030		6	205545		6
38	77765		6	155530		6	233295		6
39	88263		6	176526		6	264789		6
40	100178		7	200356		7	300534		7
41	117710		7	235420		7	353130		7
42	138309		7	276618		7	414927		7
43	162513		7	325026		7	487539		7
44	190953		7	381906		7	572859		7
45	224369		7	448738		7	673107		7
46	263634		7	527268		7	790902		7
47	309770		7	619540		7	929310		7
48	363980		7	727960		7	1091940		7
49	427676		7	855352		7	1283028		7
50	502519		8	1005038		8	1507557		8
51	585435		8	1170870		8	1756305		8
52	682032		8	1364064		8	2046096		8
53	794567		8	1589134		8	2383701		8
54	925671		8	1851342		8	2777013		8
55	1078406		8	2156812		8	3235218		8
56	1256343		8	2512686		8	3769029		8
57	1463640		8	2927280		8	4390920		8
58	1705140		8	3410280		8	5115420		8
59	1986489		8	3972978		8	5959467		8
60	2314259		9	4628518		9	6942777		9
61	2672969		9	5345938		9	8018907		9
62	3087280		9	6174560		9	9261840		9
63	3565808		9	7131616		9	10697424		9
64	4118508		9	8237016		9	12355524		9
65	4756877		9	9513754		9	14270631		9
66	5494193		9	10988386		9	16482579		9
67	6345793		9	12691586		9	19037379		9
68	7329390		9	14658780		9	21988170		9
69	8465446		9	16930892		9	25396338		9
70	9777590		10	19555180		10	29777590		10
71	12710867		10	25421734		10	42710867		10
72	16524127		10	33048254		10	66524127		10
73	21481365		10	80000000		10	100000000		10
74	27925775		10	100000000		12	150000000		12
75	37699796		10	120000000		12	200000000		12
76	50894725		10	140000000		12	250000000		14
77	68707878		10	160000000		12	350000000		14
78	92755636		10	180000000		12	500000000		14
79	125220108		10	200000000		12	650000000		14
80	169047146		11	300000000		12	800000000		14
81	196094689		11	400000000		12	1000000000		16
82	227469839		11	500000000		12	1500000000		16
83	263865014		11	600000000		12	2000000000		16
84	306083416		11	700000000		12	500000000	1	16
85	355056762		11	800000000		14	1000000000	1	16
86	411865844		11	900000000		14	1500000000	1	16
87	477764379		11	1000000000		14	0	2	16
88	554206680		11	1100000000		14	1000000000	2	18
89	642879749		11	1200000000		14	0	3	18
90	745740509		12	1400000000		15	1000000000	3	18
91	857601585		12	1600000000		15	0	4	18
92	986241823		12	1800000000		16	1000000000	4	20
93	1134178096		12	2000000000		16	1000000000	5	20
94	1304304811		12	1000000000	1	16	1000000000	6	24
95	1499950532		12	1000000000	2	17	0	8	26
96	1724943112		12	1000000000	5	20	0	10	28
97	1950000000		12	1000000000	7	23	0	18	32
98	1950000000		12	0	11	30	0	23	40
99	1950000000		12	0	25	40	0	50	62
100	2000000000		0	0	30	0	0	50	0
