WeaponEffectId	Attribute_1	Attribute_2	Attribute_3	Attribute_4	Attribute_5	Attribute_6	Attribute_7
1	1,1	2,1	3,1	4,1	5,1	6,1	7,1
2	1,2	2,2	3,2	4,2	5,2	6,2	7,2
3	1,2	2,2	3,2	4,2	5,2	6,2	7,2
4	1,2	2,2	3,2	4,2	5,2	6,2	7,2
5	1,2	2,2	3,2	4,2	5,2	6,2	7,2
6	1,2	2,2	3,2	4,2	5,2	6,2	7,2
7	1,2	2,2	3,2	4,2	5,2	6,2	7,2
8	1,3	2,3	3,3	4,3	5,3	6,3	7,3
9	1,3	2,3	3,3	4,3	5,3	6,3	7,3
10	1,3	2,3	3,3	4,3	5,3	6,3	7,3
11	1,3	2,3	3,3	4,3	5,3	6,3	7,3
12	1,4	2,4	3,4	4,4	5,4	6,4	7,4
13	1,4	2,4	3,4	4,4	5,4	6,4	7,4
14	1,5	2,5	3,5	4,5	5,5	6,5	7,5
15	1,3	2,3	3,3	4,3	5,3	6,3	7,3
