x	y	x	y	x	y	x	y
B¨ng Thiªn TuyÕt §Þa		Giang Nam Xu©n S¾c		Dung Nham §Þa Ngôc		H¹n H¶i Hoµng Sa	
1520	3245	1605	3245	1520	3405	1605	3400
1520	3255	1605	3255	1520	3425	1605	3410
1520	3265	1605	3265	1520	3435	1605	3420
1520	3275	1605	3275	1520	3455	1605	3430
1520	3285	1605	3285	1520	3475	1605	3440
1520	3295	1605	3295	1520	3485	1605	3450
1525	3250	1605	3305	1525	3400	1605	3460
1525	3260	1605	3315	1525	3410	1605	3470
1525	3270	1605	3325	1525	3420	1605	3480
1525	3280	1605	3335	1525	3430	1605	3490
1525	3290	1610	3240	1525	3440	1610	3405
1525	3300	1610	3250	1525	3450	1610	3415
1525	3310	1610	3260	1525	3460	1610	3425
1525	3320	1610	3270	1525	3470	1610	3435
1530	3245	1610	3280	1525	3480	1610	3445
1530	3255	1610	3290	1525	3490	1610	3455
1530	3265	1610	3300	1530	3395	1610	3465
1530	3275	1610	3310	1530	3405	1610	3475
1530	3285	1610	3320	1530	3415	1610	3485
1530	3295	1610	3330	1530	3425	1610	3495
1530	3305	1615	3245	1530	3435	1615	3400
1530	3315	1615	3255	1530	3445	1615	3410
1530	3325	1615	3265	1530	3455	1615	3420
1535	3250	1615	3275	1530	3465	1615	3430
1535	3260	1615	3285	1530	3475	1615	3440
1535	3270	1615	3295	1530	3485	1615	3460
1535	3290	1615	3305	1535	3400	1615	3470
1535	3300	1615	3315	1535	3410	1615	3480
1535	3310	1615	3325	1535	3420	1615	3490
1535	3320	1620	3240	1535	3430	1620	3405
1535	3330	1620	3250	1535	3440	1620	3415
1540	3245	1620	3260	1535	3450	1620	3425
1540	3255	1620	3270	1535	3460	1620	3435
1540	3265	1620	3280	1535	3470	1620	3445
1540	3305	1620	3310	1535	3480	1620	3475
1540	3315	1620	3320	1535	3490	1620	3485
1540	3325	1620	3330	1540	3395	1620	3495
1545	3240	1625	3235	1540	3405	1625	3400
1545	3250	1625	3245	1540	3415	1625	3410
1545	3260	1625	3255	1540	3425	1625	3420
1545	3270	1625	3265	1540	3435	1625	3430
1545	3310	1625	3275	1540	3465	1625	3480
1545	3320	1625	3315	1540	3475	1625	3490
1550	3245	1625	3325	1540	3485	1630	3405
1550	3255	1630	3240	1545	3400	1630	3415
1550	3265	1630	3250	1545	3410	1630	3425
1550	3275	1630	3260	1545	3420	1630	3435
1550	3285	1630	3270	1545	3430	1630	3445
1550	3305	1630	3310	1545	3470	1630	3475
1550	3315	1630	3320	1545	3480	1630	3485
1550	3325	1635	3235	1545	3490	1630	3495
1555	3240	1635	3245	1550	3395	1635	3400
1555	3250	1635	3255	1550	3405	1635	3410
1555	3260	1635	3265	1550	3415	1635	3420
1555	3270	1635	3275	1550	3425	1635	3430
1555	3280	1635	3285	1550	3435	1635	3440
1555	3290	1635	3295	1550	3445	1635	3450
1555	3300	1635	3305	1550	3455	1635	3460
1555	3310	1635	3315	1550	3465	1635	3470
1555	3320	1635	3325	1550	3475	1635	3480
1555	3330	1640	3240	1550	3485	1635	3490
1560	3245	1640	3250	1555	3400	1640	3405
1560	3255	1640	3260	1555	3410	1640	3415
1560	3265	1640	3270	1555	3420	1640	3425
1560	3275	1640	3280	1555	3430	1640	3435
1560	3285	1640	3290	1555	3440	1640	3445
1560	3295	1640	3300	1555	3450	1640	3455
1560	3305	1640	3310	1555	3460	1640	3465
1560	3315	1640	3320	1555	3470	1640	3475
1560	3325	1640	3330	1555	3480	1640	3485
1565	3240	1645	3235	1555	3490	1645	3400
1565	3250	1645	3245	1560	3405	1645	3410
1565	3260	1645	3255	1560	3415	1645	3420
1565	3270	1645	3265	1560	3425	1645	3430
1565	3280	1645	3275	1560	3435	1645	3440
1565	3290	1645	3285	1560	3445	1645	3450
1565	3300	1645	3295	1560	3455	1645	3460
1565	3310	1645	3305	1560	3465	1645	3470
1565	3320	1645	3315	1560	3475	1645	3480
1565	3330	1645	3325	1560	3485	1645	3490
