秈	Ngi b? r韙	S? ki謓	Tr筺g th竔	Lo筰 h譶h o c?	Lo筰 ph? r琲 ra	Lo筰 nh? ph? thu閏	T? l? r琲30	T? l? r琲40	T? l? r琲50	T? l? r琲60	T? l? r琲70	T? l? r琲80	T? l? r琲90
1	藏剑山庄外院总管	1	0	5	2	0	0	0	1000	0	0	0	0
1	藏剑山庄外院总管	1	0	7	2	0	0	0	0	1000	1000	1000	1000
1	藏剑山庄外院总管	1	1	5	2	0	0	0	1000	0	0	0	0
1	藏剑山庄外院总管	1	1	7	2	0	0	0	0	1000	1000	1000	1000
1	藏剑山庄外院总管	4	1	5	2	0	0	0	1000	0	0	0	0
1	藏剑山庄外院总管	4	1	7	2	0	0	0	0	1000	1000	1000	1000
1	看门狗	0	0	5	2	"2,3,11,12"	0	0	5	5	0	0	0
1	看门狗	0	0	7	2	"2,3,11,12"	0	0	0	0	5	5	5
1	看门狗	0	0	5	2	"2,3,11,12"	0	0	5	5	0	0	0
1	看门狗	0	0	7	2	"2,3,11,12"	0	0	0	0	5	5	5
2	山庄内院总管	1	1	5	2	0	0	0	1000	0	0	0	0
2	山庄内院总管	1	1	7	2	0	0	0	0	1000	1000	1000	1000
2	山庄内院总管	2	1	5	2	0	0	0	1000	0	0	0	0
2	山庄内院总管	2	1	7	2	0	0	0	0	1000	1000	1000	1000
2	山庄内院总管	3	1	5	2	0	0	0	1000	0	0	0	0
2	山庄山庄内院总管	3	1	7	2	0	0	0	0	1000	1000	1000	1000
2	山庄教头	0	0	5	2	"6,15,8,9,21"	0	0	5	5	0	0	0
2	山庄教头	0	0	7	2	"6,15,8,9,21"	0	0	0	0	5	5	5
2	看门狗	0	0	5	2	"6,15,8,9,21"	0	0	5	5	0	0	0
2	看门狗	0	0	7	2	"6,15,8,9,21"	0	0	0	0	5	5	5
3	大小姐	2	0	5	2	0	0	0	1000	0	0	0	0
3	大小姐	2	0	7	2	0	0	0	0	1000	1000	1000	1000
3	大小姐	2	1	5	2	0	0	0	1000	0	0	0	0
3	大小姐	2	1	7	2	0	0	0	0	1000	1000	1000	1000
3	大小姐	4	1	5	2	0	0	0	1000	0	0	0	0
3	大小姐	4	1	7	2	0	0	0	0	1000	1000	1000	1000
3	老女仆	0	0	5	2	"4,14,17,18,20"	0	0	5	5	0	0	0
3	老女仆	0	0	7	2	"4,14,17,18,20"	0	0	0	0	5	5	5
3	看门狗	0	0	5	2	"4,14,17,18,20"	0	0	5	5	0	0	0
3	看门狗	0	0	7	2	"4,14,17,18,20"	0	0	0	0	5	5	5
4	大庄主	2	1	5	5	0	0	0	1000	0	0	0	0
4	大庄主	2	1	7	5	0	0	0	0	1000	1000	1000	1000
4	大庄主	3	1	5	5	0	0	0	1000	0	0	0	0
4	大庄主	3	1	7	5	0	0	0	0	1000	1000	1000	1000
4	大庄主	4	1	5	5	0	0	0	1000	0	0	0	0
4	大庄主	4	1	7	5	0	0	0	0	1000	1000	1000	1000
4	高级山庄弟子	0	0	5	5	"2,3,11,12"	0	0	10	10	0	0	0
4	高级山庄弟子	0	0	7	5	"2,3,11,12"	0	0	0	0	10	10	10
5	藏剑阁总管	1	1	5	5	0	0	0	1000	0	0	0	0
5	藏剑阁总管	1	1	7	5	0	0	0	0	1000	1000	1000	1000
5	藏剑阁总管	2	1	5	5	0	0	0	1000	0	0	0	0
5	藏剑阁总管	2	1	7	5	0	0	0	0	1000	1000	1000	1000
5	藏剑阁总管	3	1	5	5	0	0	0	1000	0	0	0	0
5	藏剑阁总管	3	1	7	5	0	0	0	0	1000	1000	1000	1000
5	藏剑阁总管	4	1	5	5	0	0	0	1000	0	0	0	0
5	藏剑阁总管	4	1	7	5	0	0	0	0	1000	1000	1000	1000
5	藏剑阁总管	5	1	5	5	0	0	0	1000	0	0	0	0
5	藏剑阁总管	5	1	7	5	0	0	0	0	1000	1000	1000	1000
5	高级山庄弟子	0	0	5	5	"6,15,8,9,20"	0	0	10	10	0	0	0
5	高级山庄弟子	0	0	7	5	"6,15,8,9,20"	0	0	0	0	10	10	10
5	白银宝箱	0	0	5	5	"6,15,8,9,20"	0	0	10	10	0	0	0
5	黄金宝箱	0	0	7	5	"6,15,8,9,20"	0	0	0	0	10	10	10
8	高级山庄弟子	0	0	7	5	0	0	0	10	10	10	10	10
8	神秘客	0	0	7	5	0	0	0	10	10	10	10	10
9	剑魂	0	0	7	0	0	0	0	1000	1000	1000	1000	1000
9	金剑	0	0	7	5	"4,14,17,18,21"	0	0	15	15	15	15	15
9	木剑	0	0	7	5	"4,14,17,18,21"	0	0	15	15	15	15	15
9	水剑	0	0	7	5	"4,14,17,18,21"	0	0	15	15	15	15	15
9	火剑	0	0	7	5	"4,14,17,18,21"	0	0	15	15	15	15	15
9	土剑	0	0	7	5	"4,14,17,18,21"	0	0	15	15	15	15	15
